dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-B01,beginner,用語の特定,identify,前3000年ころ、メソポタミアにウル・ウルク・ラガシュなどの都市国家を建設した、民族系統不明の人々は？,シュメール人,シュメール人,,,,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-B02,beginner,時期,time,シュメール人がウルなどの都市国家を建設したのはいつ？,前3000年ころ,前3000年ころ,,,前3000年ころ：「燦然と輝くオリエント文明」シュメール人都市国家の形成,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-B03,beginner,内容,content,シュメール人の都市に築かれた、守護神を祭る聖塔は？,ジッグラト,ジッグラト,聖塔,,,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-B04,beginner,内容,content,シュメール人の各都市で行われた、神の権威に基づく政治は？,神権政治,神権政治,,,,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-B05,beginner,結果,result,シュメール人の都市が衰退した後、最初にメソポタミアを統一した民族は？,アッカド人,アッカド人,,,,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-R01,reverse,時期,time,「シュメール人」：都市国家を形成したのはいつ？,**前3000年ころ**。,前3000年ころ,,,前3000年ころ：「燦然と輝くオリエント文明」シュメール人都市国家の形成,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-R02,reverse,複合説明,reverse,「シュメール人」：何をした？,メソポタミアに**ウル・ウルク・ラガシュ**などの都市国家を建設し、ジッグラトを中心とした**神権政治**を行った。都市間の争いや諸民族の侵入で衰退し、全メソポタミアの統一には至らなかった。,ウル・ウルク・ラガシュ|神権政治,,,,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000004,4,共通テスト・必修,民族・身分・社会集団,シュメール人,しゅめーるじん,,古代,西アジア・北アフリカ,メソポタミア,前3000年ころに都市国家を形成,-3000,WH-000004-I01,integrated,統合説明,integrated,「シュメール人」について説明せよ。,**前3000年ころ**、メソポタミアに**ウル・ウルク・ラガシュ**などの都市国家を建設した、民族系統不明の人々。ジッグラトを中心に神権政治を行ったが、都市間の争いや周辺民族の侵入によって衰退した。,前3000年ころ|ウル・ウルク・ラガシュ,,,前3000年ころ：「燦然と輝くオリエント文明」シュメール人都市国家の形成,01_古代オリエント世界の成立(2).md pp.18–19,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000005,92,共通テスト・重要,文化・技術・学問,ジッグラト,じっぐらと,聖塔,古代,西アジア・北アフリカ,メソポタミア（ウルなど）,前3000年ころのシュメール人都市国家,-3000,WH-000005-B01,beginner,用語の特定,identify,シュメール人の都市にあり、守護神を祭る祭壇や洪水時の避難所の役割を持った聖塔は？,ジッグラト,ジッグラト,聖塔,,,01_古代オリエント世界の成立(2).md pp.18,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000005,92,共通テスト・重要,文化・技術・学問,ジッグラト,じっぐらと,聖塔,古代,西アジア・北アフリカ,メソポタミア（ウルなど）,前3000年ころのシュメール人都市国家,-3000,WH-000005-B02,beginner,関係する勢力,actor,ジッグラトを備えたウルなどの都市国家を建設した民族は？,シュメール人,シュメール人,,,,01_古代オリエント世界の成立(2).md pp.18,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000005,92,共通テスト・重要,文化・技術・学問,ジッグラト,じっぐらと,聖塔,古代,西アジア・北アフリカ,メソポタミア（ウルなど）,前3000年ころのシュメール人都市国家,-3000,WH-000005-B03,beginner,地域,place,資料中で、ジッグラトが特に有名とされるシュメール人の都市は？,ウル,ウル,,,,01_古代オリエント世界の成立(2).md pp.18,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000005,92,共通テスト・重要,文化・技術・学問,ジッグラト,じっぐらと,聖塔,古代,西アジア・北アフリカ,メソポタミア（ウルなど）,前3000年ころのシュメール人都市国家,-3000,WH-000005-B04,beginner,関連,relation,ジッグラトに守護神を祭るシュメール人都市国家で行われた政治は？,神権政治,神権政治,,,,01_古代オリエント世界の成立(2).md pp.18,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000005,92,共通テスト・重要,文化・技術・学問,ジッグラト,じっぐらと,聖塔,古代,西アジア・北アフリカ,メソポタミア（ウルなど）,前3000年ころのシュメール人都市国家,-3000,WH-000005-R01,reverse,複合説明,reverse,「ジッグラト」：どの時期・地域の都市を特徴づける？,**前3000年ころ**にシュメール人が都市国家を建設した、**メソポタミア**。,前3000年ころ|メソポタミア,,,,01_古代オリエント世界の成立(2).md pp.18,
世界史探究_第1章_第01回_02_メソポタミア文明,WH-000005,92,共通テスト・重要,文化・技術・学問,ジッグラト,じっぐらと,聖塔,古代,西アジア・北アフリカ,メソポタミア（ウルなど）,前3000年ころのシュメール人都市国家,-3000,WH-000005-R02,reverse,複合説明,reverse,「ジッグラト」：どんな役割を持った？,都市の守護神を祭る祭壇を備えた**聖塔**で、神権政治と結びついていた。**ウル**のものが有名で、突然の洪水に対する避難所にもなった。,聖塔|ウル,,,,01_古代オリエント世界の成立(2).md pp.18,
