dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第16回_03_北宋の滅亡と南宋の成立,WH-160043,140,標準,事件・革命,方臘の乱,ほうろうのらん,,中世,東アジア,中国・江南,北宋末（1127年の滅亡前）,1120,WH-160043-B01,beginner,用語の特定,identify,北宋末に人民の負担増大や自作農の没落が進むなか、江南で起きた代表的な農民反乱は？,方臘の乱(ほうろうのらん),方臘の乱,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262,
第16回_03_北宋の滅亡と南宋の成立,WH-160043,140,標準,事件・革命,方臘の乱,ほうろうのらん,,中世,東アジア,中国・江南,北宋末（1127年の滅亡前）,1120,WH-160043-B02,beginner,地域,place,方臘の乱(ほうろうのらん)が起きた中国の地方は？,江南,江南,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262,
第16回_03_北宋の滅亡と南宋の成立,WH-160043,140,標準,事件・革命,方臘の乱,ほうろうのらん,,中世,東アジア,中国・江南,北宋末（1127年の滅亡前）,1120,WH-160043-B03,beginner,国家・勢力・社会集団,actor,方臘の乱(ほうろうのらん)の主体となった社会層は？,農民,農民,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262,
第16回_03_北宋の滅亡と南宋の成立,WH-160043,140,標準,事件・革命,方臘の乱,ほうろうのらん,,中世,東アジア,中国・江南,北宋末（1127年の滅亡前）,1120,WH-160043-B04,beginner,関連,relation,方臘の乱(ほうろうのらん)が起きた末期の王朝は？,北宋,北宋,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262,
第16回_03_北宋の滅亡と南宋の成立,WH-160043,140,標準,事件・革命,方臘の乱,ほうろうのらん,,中世,東アジア,中国・江南,北宋末（1127年の滅亡前）,1120,WH-160043-R01,reverse,複合説明,reverse,方臘の乱(ほうろうのらん)はどのような状況で起きた？,1127年に滅ぶ**北宋**の末期、中国の**江南**で起きた農民反乱。党争や徽宗(きそう)の浪費で民衆の負担が重くなり、**自作農の没落と地主の大土地所有**が進んでいた。,北宋|江南|自作農の没落と地主の大土地所有,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262,
第16回_03_北宋の滅亡と南宋の成立,WH-160043,140,標準,事件・革命,方臘の乱,ほうろうのらん,,中世,東アジア,中国・江南,北宋末（1127年の滅亡前）,1120,WH-160043-I01,integrated,統合説明,integrated,「方臘の乱(ほうろうのらん)」について説明せよ。,1127年に滅ぶ**北宋**の末期、中国の**江南**で起きた農民反乱。党争や徽宗(きそう)の浪費で民衆の負担が重くなり、**自作農の没落と地主の大土地所有**が進んでいた。,北宋|江南|自作農の没落と地主の大土地所有,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-B01,beginner,用語の特定,identify,金が開封(かいほう)を占領し、上皇の徽宗(きそう)と皇帝の欽宗(きんそう)を北方へ連行して北宋を滅亡させた事件は？,靖康の変(せいこうのへん),靖康の変,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-B02,beginner,時期,time,靖康の変(せいこうのへん)が起きた期間は？,1126〜1127年,1126〜1127年,,,1126：「戦慄にむなしく　北宋滅ぶ」靖康の変,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-B03,beginner,国家・勢力・社会集団,actor,靖康の変(せいこうのへん)で北宋に侵攻した国は？,金,金,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-B04,beginner,地域,place,靖康の変(せいこうのへん)で占領された北宋の都は？,開封(かいほう),開封,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-B05,beginner,中心人物,person,靖康の変(せいこうのへん)で金に連行された上皇と皇帝は？,徽宗(きそう)と欽宗(きんそう),徽宗と欽宗,欽宗と徽宗,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-B06,beginner,結果,result,靖康の変(せいこうのへん)によって滅亡した王朝は？,北宋,北宋,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-R01,reverse,時期,time,靖康の変(せいこうのへん)が起きたのはいつ？,**1126〜1127年**。,1126〜1127年,,,1126：「戦慄にむなしく　北宋滅ぶ」靖康の変,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-R02,reverse,複合説明,reverse,靖康の変(せいこうのへん)では何が起きた？,中国で**金**が北宋の都**開封(かいほう)**を占領し、上皇の**徽宗(きそう)**と皇帝の**欽宗(きんそう)**を北方へ連行した。1127年に**北宋が滅亡**し、江南に逃れた高宗が宋を再興した。,金|開封|徽宗|欽宗|北宋が滅亡,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160044,27,標準,事件・革命,靖康の変,せいこうのへん,,中世,東アジア,中国・開封,1126〜1127年,1126,WH-160044-I01,integrated,統合説明,integrated,「靖康の変(せいこうのへん)」について説明せよ。,1126〜1127年、中国で**金**が北宋の都**開封(かいほう)**を占領し、上皇の**徽宗(きそう)**と皇帝の**欽宗(きんそう)**を北方へ連行した事件。1127年に**北宋が滅亡**し、江南に逃れた高宗が宋を再興した。,金|開封|徽宗|欽宗|北宋が滅亡,,,1126：「戦慄にむなしく　北宋滅ぶ」靖康の変,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262・267,
第16回_03_北宋の滅亡と南宋の成立,WH-160045,28,標準,国家・王朝,南宋,なんそう,,中世,東アジア,中国・江南・臨安,1127〜1279年,1127,WH-160045-B01,beginner,用語の特定,identify,靖康の変(せいこうのへん)ののち、江南に逃れた高宗が臨安(りんあん)を都に再興した宋を何という？,南宋,南宋,,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262–263,
第16回_03_北宋の滅亡と南宋の成立,WH-160045,28,標準,国家・王朝,南宋,なんそう,,中世,東アジア,中国・江南・臨安,1127〜1279年,1127,WH-160045-B02,beginner,中心人物,person,南宋を再興した皇帝は？,高宗,高宗,趙構,,,16_中華世界の変容（五代十国〜宋）(1).md pp.255・262–263,
