"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-23-01-001","1517年に『95か条の論題』を発表し、ドイツの宗教改革の出発点をつくった人物は？","マルティン＝ルター。","贖宥状の販売を神学的な立場から批判した。","人物","一問一答","","23_宗教改革.md","366","34"
"WH-23-01-002","ルターが贖宥状販売の問題点を提起した、1517年の文書は？","『95か条の論題』。","この段階では、教皇権の否定そのものを目的としていなかった。","用語の特定","一問一答","","23_宗教改革.md","366","34"
"WH-23-01-003","ルターが『95か条の論題』を発表し、宗教改革が始まったとされるのは何年か？","1517年。","1520年の『キリスト者の自由』発表とは区別する。","時期","一問一答","","23_宗教改革.md","366","34"
"WH-23-01-004","『95か条の論題』を発表した段階で、ルターは教皇権そのものの否定を主張していたか？","主張していなかった。贖宥状の販売について神学上の問題を提起した段階だった。","のちの教皇権否定に至る展開と、出発点を混同しない。","内容","一問一答","","23_宗教改革.md","366","34"
"WH-23-01-005","ルターが1520年に発表した宗教改革三大文書の一つで、信仰による救いを説いた著作は？","『キリスト者の自由』。","この段階では、教会・教皇の権威への批判が明確になった。","用語の特定","一問一答","","23_宗教改革.md","366","36"
"WH-23-01-006","ルターが主張した「人は信仰によってのみ義とされる」という救済の考え方を何というか？","信仰義認説。","贖宥状の購入などではなく、信仰を救いの根拠とした。","用語の特定","一問一答","","23_宗教改革.md","366","37"
"WH-23-01-007","教会や教皇の判断ではなく、聖書を信仰のよりどころとするルターの立場を何というか？","聖書第一主義。","聖書中心主義・聖書主義とも表現されている。","用語の特定","一問一答","","23_宗教改革.md","366","37"
"WH-23-01-008","ルターが教会の位階制度や教皇権を否定したことに対し、教皇はどのように対応したか？","ルターを破門した。","その後、神聖ローマ皇帝による政治的・法的な弾圧へ進んだ。","結果","一問一答","","23_宗教改革.md","366","39"
"WH-23-01-009","1521年、カール5世がルターを呼び出し、説の撤回を要求した帝国議会は？","ヴォルムス帝国議会。","ルターが撤回を拒否したため、ルター派の禁止と法的保護の取消しが決められた。","用語の特定","一問一答","","23_宗教改革.md","366","40"
"WH-23-01-010","ヴォルムス帝国議会を招集し、ルター派を禁止した神聖ローマ皇帝は？","カール5世。","スペイン王カルロス1世と同一人物である。","人物","一問一答","","23_宗教改革.md","366","40"
"WH-23-01-011","ヴォルムス帝国議会後、カール5世はルターに対してどのような処置をとったか？","ルター派を禁止し、ルターの法的保護を取り消した。","教会の破門と、皇帝による処罰・保護の取消しは区別する。","内容","一問一答","","23_宗教改革.md","366","41"
"WH-23-01-012","ヴォルムス帝国議会後、ルターを保護した諸侯は？","ザクセン選帝侯フリードリヒ。","ヴァルトブルク城にかくまい、皇帝の弾圧から守った。","人物","一問一答","","23_宗教改革.md","366","42"
