dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000020,15,共通テスト基礎,事件・革命,周の東遷,しゅうのとうせん,,古代,東アジア,鎬京から洛邑,前770年,-770,WH-C03-000020-B01,beginner,用語の特定,identify,犬戎(けんじゅう)の侵入などで西周が衰退し、都が鎬京(こうけい)から洛邑(らくゆう)へ移った出来事を何というか？,周の東遷(しゅうのとうせん),周の東遷,,,,08_古代中国①（中国文明〜秦）.md pp.135・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000020,15,共通テスト基礎,事件・革命,周の東遷,しゅうのとうせん,,古代,東アジア,鎬京から洛邑,前770年,-770,WH-C03-000020-B02,beginner,時期,time,周の東遷(しゅうのとうせん)によって春秋時代が始まったのは何年か？,前770年,前770年,,,前770：「七難を避けて　周の東遷」春秋時代の始まり,08_古代中国①（中国文明〜秦）.md pp.135・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000020,15,共通テスト基礎,事件・革命,周の東遷,しゅうのとうせん,,古代,東アジア,鎬京から洛邑,前770年,-770,WH-C03-000020-B03,beginner,場所,place,周の東遷(しゅうのとうせん)によって新たに都となった都市は？,洛邑(らくゆう),洛邑,,,,08_古代中国①（中国文明〜秦）.md pp.135・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000020,15,共通テスト基礎,事件・革命,周の東遷,しゅうのとうせん,,古代,東アジア,鎬京から洛邑,前770年,-770,WH-C03-000020-B04,beginner,主体,actor,周の東遷(しゅうのとうせん)に至る過程で鎬京(こうけい)を奪った勢力は？,犬戎(けんじゅう),犬戎,,,,08_古代中国①（中国文明〜秦）.md pp.135・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000020,15,共通テスト基礎,事件・革命,周の東遷,しゅうのとうせん,,古代,東アジア,鎬京から洛邑,前770年,-770,WH-C03-000020-R01,reverse,内容,content,周の東遷(しゅうのとうせん)では何が起きたか？,前770年、内紛と**犬戎(けんじゅう)**の侵入などで西周が衰退し、中国の周王朝の都が**鎬京(こうけい)から洛邑(らくゆう)**へ移った。以後は東周となり、その前半が**春秋時代**にあたる。,犬戎|鎬京から洛邑|春秋時代,,,前770：「七難を避けて　周の東遷」春秋時代の始まり,08_古代中国①（中国文明〜秦）.md pp.135・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000020,15,共通テスト基礎,事件・革命,周の東遷,しゅうのとうせん,,古代,東アジア,鎬京から洛邑,前770年,-770,WH-C03-000020-I01,integrated,統合説明,integrated,「周の東遷(しゅうのとうせん)」について説明せよ。,前770年、内紛と**犬戎(けんじゅう)**の侵入などで西周が衰退し、中国の周王朝の都が**鎬京(こうけい)から洛邑(らくゆう)**へ移った。以後は東周となり、その前半が**春秋時代**にあたる。,犬戎|鎬京から洛邑|春秋時代,,,前770：「七難を避けて　周の東遷」春秋時代の始まり,08_古代中国①（中国文明〜秦）.md pp.135・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000021,16,共通テスト基礎,時代・歴史区分,春秋時代,しゅんじゅうじだい,,古代,東アジア,中国・黄河流域を中心とする諸国,前770年から,-770,WH-C03-000021-B01,beginner,用語の特定,identify,東周の前半にあたり、周王の実力が衰えても権威は残り、有力諸侯が覇者として争った時代は？,春秋時代,春秋時代,,,,08_古代中国①（中国文明〜秦）.md pp.135〜136・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000021,16,共通テスト基礎,時代・歴史区分,春秋時代,しゅんじゅうじだい,,古代,東アジア,中国・黄河流域を中心とする諸国,前770年から,-770,WH-C03-000021-B02,beginner,時期,time,春秋時代の始まりは何年か？,前770年,前770年,,,前770：「七難を避けて　周の東遷」春秋時代の始まり,08_古代中国①（中国文明〜秦）.md pp.135〜136・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000021,16,共通テスト基礎,時代・歴史区分,春秋時代,しゅんじゅうじだい,,古代,東アジア,中国・黄河流域を中心とする諸国,前770年から,-770,WH-C03-000021-B03,beginner,内容,content,春秋時代に有力諸侯が周王を尊んで異民族を退けるとして唱えた標語は？,尊王攘夷(そんのうじょうい),尊王攘夷,,,,08_古代中国①（中国文明〜秦）.md pp.135〜136・143,
第3章 古代の東アジア｜第8回 古代中国①（中国文明〜秦）｜3 春秋戦国時代,WH-C03-000021,16,共通テスト基礎,時代・歴史区分,春秋時代,しゅんじゅうじだい,,古代,東アジア,中国・黄河流域を中心とする諸国,前770年から,-770,WH-C03-000021-B04,beginner,内容,content,春秋時代に諸侯の同盟の盟主となった有力諸侯を何というか？,覇者,覇者,,,,08_古代中国①（中国文明〜秦）.md pp.135〜136・143,
