dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第6回_03_イタリア半島の統一,WH-020118,82,共通テスト基礎,事件・革命,イタリア半島の統一,いたりあはんとうのとういつ,ローマのイタリア半島統一,古代,地中海世界,イタリア半島,前272年,-272,WH-020118-B01,beginner,用語の特定,identify,ローマがタレントゥムの陥落によって、前272年に完成させた領土統合は？,イタリア半島の統一,イタリア半島の統一,ローマのイタリア半島統一,,,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020118,82,共通テスト基礎,事件・革命,イタリア半島の統一,いたりあはんとうのとういつ,ローマのイタリア半島統一,古代,地中海世界,イタリア半島,前272年,-272,WH-020118-B02,beginner,時期,time,ローマによるイタリア半島の統一が完成したのはいつ？,前272年,前272年,,,前272年：「無難にイタリア統一」ローマのイタリア半島統一,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020118,82,共通テスト基礎,事件・革命,イタリア半島の統一,いたりあはんとうのとういつ,ローマのイタリア半島統一,古代,地中海世界,イタリア半島,前272年,-272,WH-020118-B03,beginner,地域,place,イタリア半島の統一を完成させる最後の征服地となった、南部のギリシア人植民市は？,タレントゥム,タレントゥム,,,,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020118,82,共通テスト基礎,事件・革命,イタリア半島の統一,いたりあはんとうのとういつ,ローマのイタリア半島統一,古代,地中海世界,イタリア半島,前272年,-272,WH-020118-B04,beginner,内容,content,ローマがイタリア半島の統一後、都市の権利と義務に差をつけて団結を防いだ支配方法は？,分割統治,分割統治,,,,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020118,82,共通テスト基礎,事件・革命,イタリア半島の統一,いたりあはんとうのとういつ,ローマのイタリア半島統一,古代,地中海世界,イタリア半島,前272年,-272,WH-020118-R01,reverse,複合説明,reverse,ローマによるイタリア半島の統一は、どのように進んだ？,ローマが前4世紀後半から領土を広げ、ラテン人諸都市、**サムニウム人**、エトルリア人を従え、前272年の**タレントゥム陥落**で完成させたイタリア半島の統一。国内の不満を対外進出に向け、征服後は都市を**分割統治**するとともに、ギリシア文化を取り入れた。,サムニウム人|タレントゥム陥落|分割統治,,,前272年：「無難にイタリア統一」ローマのイタリア半島統一,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020118,82,共通テスト基礎,事件・革命,イタリア半島の統一,いたりあはんとうのとういつ,ローマのイタリア半島統一,古代,地中海世界,イタリア半島,前272年,-272,WH-020118-I01,integrated,統合説明,integrated,「イタリア半島の統一」について説明せよ。,ローマが前4世紀後半から領土を広げ、ラテン人諸都市、**サムニウム人**、エトルリア人を従え、前272年の**タレントゥム陥落**で完成させたイタリア半島の統一。国内の不満を対外進出に向け、征服後は都市を**分割統治**するとともに、ギリシア文化を取り入れた。,サムニウム人|タレントゥム陥落|分割統治,,,前272年：「無難にイタリア統一」ローマのイタリア半島統一,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020119,195,共通テスト標準,戦争,サムニウム戦争,さむにうむせんそう,,古代,地中海世界,イタリア半島中部・南部,前4世紀後半からのイタリア征服期,-350,WH-020119-B01,beginner,用語の特定,identify,ローマがイタリア半島の中部・南部の住民を屈服させ、アッピア街道建設の契機ともなった戦争は？,サムニウム戦争,サムニウム戦争,,,,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020119,195,共通テスト標準,戦争,サムニウム戦争,さむにうむせんそう,,古代,地中海世界,イタリア半島中部・南部,前4世紀後半からのイタリア征服期,-350,WH-020119-B02,beginner,地域,place,サムニウム戦争でローマが征服したサムニウム人は、イタリア半島の主にどの地域にいた？,中部・南部,中部・南部,,,,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020119,195,共通テスト標準,戦争,サムニウム戦争,さむにうむせんそう,,古代,地中海世界,イタリア半島中部・南部,前4世紀後半からのイタリア征服期,-350,WH-020119-B03,beginner,関連,relation,サムニウム戦争の際に建設が始まった有名なローマの道路は？,アッピア街道,アッピア街道,,,,06_ローマ共和政(3).md p.99,
第2章_第6回_03_イタリア半島の統一,WH-020119,195,共通テスト標準,戦争,サムニウム戦争,さむにうむせんそう,,古代,地中海世界,イタリア半島中部・南部,前4世紀後半からのイタリア征服期,-350,WH-020119-R01,reverse,複合説明,reverse,サムニウム戦争は、ローマの拡大でどんな位置を占める？,前4世紀後半から進んだローマの征服活動で、イタリア半島中部・南部の**サムニウム人**を屈服させた戦争。イタリア半島統一の一段階となり、この戦争の際に**アッピア街道**の建設が始まった。,サムニウム人|アッピア街道,,,,06_ローマ共和政(3).md p.99,
