dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130201,108,共通テスト基礎・重要,制度・政策・法律,皇帝教皇主義,こうていきょうこうしゅぎ,,中世,ヨーロッパ,ビザンツ帝国／コンスタンティノープル,8世紀・レオン3世の治世,717,WH-130201-B01,beginner,用語の特定,identify,ビザンツ帝国で皇帝が「神の代理人」として教会も管轄し、コンスタンティノープル総主教を任免する体制は？,皇帝教皇主義,皇帝教皇主義,,,,13_ビザンツ帝国と中世の東欧(1).md pp.214,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130201,108,共通テスト基礎・重要,制度・政策・法律,皇帝教皇主義,こうていきょうこうしゅぎ,,中世,ヨーロッパ,ビザンツ帝国／コンスタンティノープル,8世紀・レオン3世の治世,717,WH-130201-B02,beginner,内容,content,皇帝教皇主義で皇帝が任免権を握った東方教会の最高位の聖職者は？,コンスタンティノープル総主教,コンスタンティノープル総主教,,,,13_ビザンツ帝国と中世の東欧(1).md pp.214,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130201,108,共通テスト基礎・重要,制度・政策・法律,皇帝教皇主義,こうていきょうこうしゅぎ,,中世,ヨーロッパ,ビザンツ帝国／コンスタンティノープル,8世紀・レオン3世の治世,717,WH-130201-B03,beginner,中心人物,person,皇帝教皇主義に基づく体制を整えた、8世紀の皇帝として資料に登場する人物は？,レオン3世,レオン3世,,,,13_ビザンツ帝国と中世の東欧(1).md pp.214,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130201,108,共通テスト基礎・重要,制度・政策・法律,皇帝教皇主義,こうていきょうこうしゅぎ,,中世,ヨーロッパ,ビザンツ帝国／コンスタンティノープル,8世紀・レオン3世の治世,717,WH-130201-R01,reverse,核心内容,reverse,「皇帝教皇主義」：どんな制度？,8世紀の**レオン3世**の時代などのビザンツ帝国で、皇帝が「**神の代理人**」として政治だけでなく教会も管轄した体制。皇帝は**コンスタンティノープル総主教の任免権**を持ち、宗教政策を主導した。,レオン3世|神の代理人|コンスタンティノープル総主教の任免権,,,,13_ビザンツ帝国と中世の東欧(1).md pp.214,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130201,108,共通テスト基礎・重要,制度・政策・法律,皇帝教皇主義,こうていきょうこうしゅぎ,,中世,ヨーロッパ,ビザンツ帝国／コンスタンティノープル,8世紀・レオン3世の治世,717,WH-130201-I01,integrated,統合説明,integrated,「皇帝教皇主義」について説明せよ。,8世紀の**レオン3世**の時代などのビザンツ帝国で、皇帝が「**神の代理人**」として政治だけでなく教会も管轄した体制。皇帝は**コンスタンティノープル総主教の任免権**を持ち、宗教政策を主導した。,レオン3世|神の代理人|コンスタンティノープル総主教の任免権,,,,13_ビザンツ帝国と中世の東欧(1).md pp.214,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130202,109,共通テスト基礎・重要,文化・技術・学問,イコン,いこん,聖画像,中世,ヨーロッパ,ビザンツ帝国の東方教会,726年に崇拝禁止・843年に復活,726,WH-130202-B01,beginner,用語の特定,identify,ビザンツ帝国で崇拝され、聖像禁止令の対象にもなった、イエスや聖母マリアなどを描く聖画像は？,イコン,イコン,聖画像,,,13_ビザンツ帝国と中世の東欧(1).md pp.215,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130202,109,共通テスト基礎・重要,文化・技術・学問,イコン,いこん,聖画像,中世,ヨーロッパ,ビザンツ帝国の東方教会,726年に崇拝禁止・843年に復活,726,WH-130202-B02,beginner,中心人物,person,イコンの制作や崇拝を726年に禁じた皇帝は？,レオン3世,レオン3世,,,,13_ビザンツ帝国と中世の東欧(1).md pp.215,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130202,109,共通テスト基礎・重要,文化・技術・学問,イコン,いこん,聖画像,中世,ヨーロッパ,ビザンツ帝国の東方教会,726年に崇拝禁止・843年に復活,726,WH-130202-B03,beginner,関連,relation,イコンの制作や崇拝を禁じた726年の法令は？,聖像禁止令,聖像禁止令,,,,13_ビザンツ帝国と中世の東欧(1).md pp.215,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130202,109,共通テスト基礎・重要,文化・技術・学問,イコン,いこん,聖画像,中世,ヨーロッパ,ビザンツ帝国の東方教会,726年に崇拝禁止・843年に復活,726,WH-130202-B04,beginner,時期,time,イコンの崇拝が聖像禁止令の解除によって復活した年は？,843年,843年,,,,13_ビザンツ帝国と中世の東欧(1).md pp.215,
世界史探究 第4章 第13回-2 中期ビザンツ帝国〜イスラームの圧迫と西欧との対立〜,WH-130202,109,共通テスト基礎・重要,文化・技術・学問,イコン,いこん,聖画像,中世,ヨーロッパ,ビザンツ帝国の東方教会,726年に崇拝禁止・843年に復活,726,WH-130202-B05,beginner,内容,content,イコンを描いた画像とは別に、東方教会がもともと禁止していた聖像の形態は？,立体の彫像,立体の彫像,,,,13_ビザンツ帝国と中世の東欧(1).md pp.215,
