dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,rule_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_original,example_kundoku,example_kakikudashi,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
漢文 Deck4 漢文ルール 100項目,CC-000701,701,Deck4 漢文ルール・全範囲,訓読,基本用語,訓読,くんどく,なし,基本用語,定義=漢文を日本語の語順・文法に合わせて読むこと,CC-000701-C01,meaning,用語から定義,漢文の用語「訓読」とは何か。,漢文を日本語の語順・文法に合わせて読むこと,漢文を日本語の語順・文法に合わせて読むこと,漢文の語順や語法を日本語に合わせて読み直す方法をいう。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000701,701,Deck4 漢文ルール・全範囲,訓読,基本用語,訓読,くんどく,なし,基本用語,定義=漢文を日本語の語順・文法に合わせて読むこと,CC-000701-C02,term_from_meaning,定義から用語,漢文を日本語の語順・文法に合わせて読むことを何というか。,訓読,訓読,漢文の語順や語法を日本語に合わせて読み直す方法をいう。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000702,702,Deck4 漢文ルール・全範囲,訓読,基本用語,白文,はくぶん,なし,基本用語,定義=句読点・返り点・送り仮名などの訓点が付いていない漢文,CC-000702-C01,meaning,用語から定義,漢文の用語「白文」とは何か。,句読点・返り点・送り仮名などの訓点が付いていない漢文,句読点・返り点・送り仮名などの訓点が付いていない漢文,訓読のための記号や仮名をまだ加えていない原文をいう。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000702,702,Deck4 漢文ルール・全範囲,訓読,基本用語,白文,はくぶん,なし,基本用語,定義=句読点・返り点・送り仮名などの訓点が付いていない漢文,CC-000702-C02,term_from_meaning,定義から用語,返り点や送り仮名などを付けていない漢文を何というか。,白文,白文,訓読のための記号や仮名をまだ加えていない原文をいう。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000703,703,Deck4 漢文ルール・全範囲,訓読,基本用語,訓点,くんてん,なし,基本用語,定義=漢文を訓読するために加える句読点・返り点・送り仮名など,CC-000703-C01,meaning,用語から定義,漢文の用語「訓点」とは何か。,漢文を訓読するために加える句読点・返り点・送り仮名など,漢文を訓読するために加える句読点・返り点・送り仮名など,白文を日本語として読めるように加える記号・仮名の総称である。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000703,703,Deck4 漢文ルール・全範囲,訓読,基本用語,訓点,くんてん,なし,基本用語,定義=漢文を訓読するために加える句読点・返り点・送り仮名など,CC-000703-C02,term_from_meaning,定義から用語,漢文を訓読するために加える句読点・返り点・送り仮名などを何というか。,訓点,訓点,白文を日本語として読めるように加える記号・仮名の総称である。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000704,704,Deck4 漢文ルール・全範囲,訓読,基本用語,書き下し文,かきくだしぶん,なし,基本用語,定義=漢文を日本語の語順に直し、仮名を補って書いた文,CC-000704-C01,meaning,用語から定義,漢文の用語「書き下し文」とは何か。,漢文を日本語の語順に直し、送り仮名・助詞・助動詞などを補って書いた文,漢文を日本語の語順に直し、送り仮名・助詞・助動詞などを補って書いた文,現代語訳ではなく、訓読した形を日本語として表記した文である。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000704,704,Deck4 漢文ルール・全範囲,訓読,基本用語,書き下し文,かきくだしぶん,なし,基本用語,定義=漢文を日本語の語順に直し、仮名を補って書いた文,CC-000704-C02,term_from_meaning,定義から用語,漢文を日本語の語順に直し、仮名を補って書いた文を何というか。,書き下し文,書き下し文,現代語訳ではなく、訓読した形を日本語として表記した文である。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000705,705,Deck4 漢文ルール・全範囲,訓読,基本用語,送り仮名,おくりがな,なし,基本用語,定義=漢字の読み方・活用などを示すために添える仮名,CC-000705-C01,meaning,用語から定義,漢文の用語「送り仮名」とは何か。,漢字の読み方・活用などを示すために添える仮名,漢字の読み方・活用などを示すために添える仮名,訓読で必要な活用語尾などを漢字に添えて示す。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文 Deck4 漢文ルール 100項目,CC-000705,705,Deck4 漢文ルール・全範囲,訓読,基本用語,送り仮名,おくりがな,なし,基本用語,定義=漢字の読み方・活用などを示すために添える仮名,CC-000705-C02,term_from_meaning,定義から用語,漢字の読み方や活用を示すために添える仮名を何というか。,送り仮名,送り仮名,訓読で必要な活用語尾などを漢字に添えて示す。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」／国立国語研究所「漢文の訓読はいつから始まりましたか」,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf｜https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
