dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,date_basis,display_period,start_year,end_year,sort_year,date_precision,date_note,question_count,q1_type,q1_question,q1_answer,q1_keywords,q2_type,q2_question,q2_answer,q2_keywords,q3_type,q3_question,q3_answer,q3_keywords,q4_type,q4_question,q4_answer,q4_keywords,integrated_question,total_explanation,total_keywords,relation_edges,source_1,source_2,verification_status
大学受験・最重要,WH-000001,20,大学受験・最重要,時代・歴史区分,新石器革命,しんせっきかくめい,農耕革命|食料生産革命,先史,複数地域,西アジアを先頭に中国・南アジア・中米など,農耕・牧畜の開始と普及時期,前1万年頃〜前4000年頃,-10000,-4000,-10000,approximate_range,地域差が大きいため、西アジアでの先行開始から主要地域への普及期を設定,3,core,何が起きた？,狩猟採集中心から**農耕・牧畜**へ移り、定住村落・人口増加・階層化が進んで、都市文明の土台ができた。,農耕・牧畜,time,農耕・牧畜が始まり広がったのはいつ？,前1万年頃〜前4000年頃,,place,主にどこで始まった？,西アジアの**肥沃な三日月地帯**で早く始まり、中国・南アジア・中米などでも独自に進んだ。,肥沃な三日月地帯,,,,,「新石器革命」について説明せよ。,前1万年頃から、西アジアの**肥沃な三日月地帯**などで**農耕・牧畜**が始まり、定住・人口増加・社会の階層化が進んで都市文明の土台となった。,肥沃な三日月地帯|農耕・牧畜,前提>農耕・牧畜||結果>定住生活||結果>人口増加||影響>メソポタミア文明,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/2-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Neolithic+Revolution,単一資料確認
大学受験・最重要,WH-000002,42,大学受験・最重要,時代・歴史区分,メソポタミア文明,めそぽたみあぶんめい,,古代,西アジア,ティグリス川・ユーフラテス川流域,都市文明の成立から古代オリエント統合まで,前3500年頃〜前539年,-3500,-539,-3500,approximate_range,シュメール都市文明の成立から新バビロニア滅亡までを代表範囲とした,3,time,栄えたのはいつ？,前3500年頃〜前539年,,place,どこ？,西アジアのティグリス川・ユーフラテス川流域。,,core,何を築いた？,灌漑農業を基盤に**都市国家**を築き、**楔形文字**・暦・法典を発達させ、シュメール・アッカド・バビロニアなどの国家が興亡した。,都市国家|楔形文字,,,,,「メソポタミア文明」について説明せよ。,前3500年頃からティグリス川・ユーフラテス川流域で発達し、灌漑農業を基盤に**都市国家**、**楔形文字**、法典などを生み出した古代文明。,都市国家|楔形文字,前提>新石器革命||地域>ティグリス川・ユーフラテス川||文化>楔形文字||関係>ハンムラビ法典,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/3-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Mesopotamia,単一資料確認
大学受験・最重要,WH-000003,43,大学受験・最重要,時代・歴史区分,エジプト文明,えじぷとぶんめい,古代エジプト文明,古代,アフリカ,ナイル川流域,統一王朝の存続期間,前3100年頃〜前30年,-3100,-30,-3100,approximate_range,上下エジプト統一からローマによる併合までを設定,3,time,栄えたのはいつ？,前3100年頃〜前30年,,place,どこ？,北東アフリカのナイル川流域。,,core,何を築いた？,**ファラオ**を頂点とする統一国家を築き、ナイルの定期的氾濫を利用した農業、**神聖文字**、ピラミッドなどを発達させた。,ファラオ|神聖文字,,,,,「エジプト文明」について説明せよ。,前3100年頃からナイル川流域で栄え、**ファラオ**を頂点とする王権、灌漑農業、**神聖文字**、ピラミッドなどを発達させた古代文明。,ファラオ|神聖文字,前提>新石器革命||地域>ナイル川||制度>ファラオ||文化>神聖文字,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/3-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Ancient+Egypt,単一資料確認
大学受験・最重要,WH-000004,44,大学受験・最重要,時代・歴史区分,インダス文明,いんだすぶんめい,ハラッパー文明,古代,南アジア,インダス川流域・現在のパキスタン北西部,成熟期,前2600年頃〜前1900年頃,-2600,-1900,-2600,approximate_range,モヘンジョ＝ダーロとハラッパーが繁栄した成熟期を設定,3,time,栄えたのはいつ？,前2600年頃〜前1900年頃,,place,どこ？,インダス川流域を中心とする現在のパキスタン北西部。,,core,何を築いた？,**モヘンジョ＝ダーロ**や**ハラッパー**など、計画道路・排水設備を備えた都市を築き、メソポタミアとも交易した。,モヘンジョ＝ダーロ|ハラッパー,,,,,「インダス文明」について説明せよ。,前2600年頃からインダス川流域で栄え、**モヘンジョ＝ダーロ**や**ハラッパー**に計画都市と高度な排水設備を築いた文明。,モヘンジョ＝ダーロ|ハラッパー,地域>インダス川||都市>モヘンジョ＝ダーロ||都市>ハラッパー||交易>メソポタミア文明,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/3-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Indus+Valley+Civilization,単一資料確認
大学受験・最重要,WH-000005,45,大学受験・最重要,制度・政策・法律,ハンムラビ法典,はんむらびほうてん,ハムラビ法典,古代,西アジア,古バビロニア王国・メソポタミア,編纂時期,前1750年頃,-1750,-1750,-1750,approximate_year,ハンムラビ王治世末期の編纂時期を代表年とした,3,time,編纂されたのはいつ？,前1750年頃,,place,どこに関係する法典？,メソポタミアの**古バビロニア王国**。,古バビロニア王国,content,何が書かれている？,身分ごとに異なる刑罰や契約・家族・財産の規定をまとめ、王が秩序と正義を守ることを示した成文法。,,,,,,「ハンムラビ法典」について説明せよ。,前1750年頃、メソポタミアの**古バビロニア王国**で編纂され、刑罰・契約・家族・財産などを身分秩序に沿って定めた成文法典。,古バビロニア王国,関係人物>ハンムラビ王||国家>古バビロニア王国||前提>メソポタミア文明||制度>成文法,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/4-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Code+of+Hammurabi,単一資料確認
大学受験・最重要,WH-000006,99,大学受験・最重要,国家・王朝,殷,いん,商,古代,東アジア,黄河中下流域・中国,存続期間,前1600年頃〜前1046年頃,-1600,-1046,-1600,approximate_range,考古学的年代に幅があるため概算範囲を設定,3,time,存在したのはいつ？,前1600年頃〜前1046年頃,,place,どこ？,中国の黄河中下流域。,,core,何をした？,王が祭祀と政治を担い、**甲骨文字**を用いて占いを記録し、青銅器文化を発達させた。,甲骨文字,,,,,「殷」について説明せよ。,前1600年頃から黄河中下流域に栄え、王権・祭祀・青銅器文化を発達させ、**甲骨文字**を残した中国最古級の実在王朝。,甲骨文字,文化>甲骨文字||文化>青銅器||継承>周||地域>黄河,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/5-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Shang+dynasty,単一資料確認
大学受験・最重要,WH-000007,100,大学受験・最重要,国家・王朝,周,しゅう,周王朝,古代,東アジア,黄河流域・中国,存続期間,前1046年頃〜前256年,-1046,-256,-1046,approximate_range,西周成立から東周滅亡までを設定,3,time,存在したのはいつ？,前1046年頃〜前256年,,place,どこ？,中国の黄河流域。,,core,何をした？,諸侯に土地と人民を与える**封建制**で支配し、王朝交代を正当化する**天命思想**を示した。後半は春秋・戦国時代となった。,封建制|天命思想,,,,,「周」について説明せよ。,前1046年頃に殷を倒して成立し、黄河流域を**封建制**で支配し、王朝交代を正当化する**天命思想**を生んだ王朝。,封建制|天命思想,前王朝>殷||制度>封建制||思想>天命思想||結果>春秋・戦国時代,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/5-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Zhou+dynasty,単一資料確認
大学受験・最重要,WH-000008,96,大学受験・最重要,運動,バントゥー系民族の移動,ばんとぅーけいみんぞくのいどう,バントゥー人の移動|バントゥー拡大,複数時代,アフリカ,西・中央アフリカから東・南アフリカ,長期的な移住・拡散期,前1000年頃〜15世紀頃,-1000,1500,-1000,approximate_range,一度の移動ではなく長期的な人口・言語拡散を設定,3,time,広がったのはいつ？,前1000年頃〜15世紀頃,,place,どこからどこへ？,西・中央アフリカから東アフリカ・南アフリカへ。,,core,何が起きた？,農耕・製鉄技術を持つ人々が移住し、**バントゥー諸語**と農耕文化がサハラ以南アフリカの広い範囲へ広がった。,バントゥー諸語,,,,,「バントゥー系民族の移動」について説明せよ。,前1000年頃から、西・中央アフリカの人々が東・南へ長期的に移住し、農耕・製鉄技術と**バントゥー諸語**をサハラ以南に広げた。,バントゥー諸語,地域>サハラ以南アフリカ||普及>バントゥー諸語||普及>製鉄||影響>アフリカ社会,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/9-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Bantu+expansion,単一資料確認
大学受験・最重要,WH-000009,46,大学受験・最重要,宗教・宗派,ユダヤ教,ゆだやきょう,,古代,西アジア,パレスチナを中心とする西アジア,成立・体系化時期,前10〜前5世紀頃,-1000,-401,-1000,approximate_range,古代イスラエルの信仰形成からバビロン捕囚後の体系化までを設定,3,time,成立・体系化したのはいつ？,前10〜前5世紀頃,,place,どこで成立した？,パレスチナを中心とする西アジア。,,core,どんな宗教？,唯一神**ヤハウェ**との契約を重視する一神教で、律法をまとめた**旧約聖書**を聖典とし、キリスト教・イスラーム教に大きな影響を与えた。,ヤハウェ|旧約聖書,,,,,「ユダヤ教」について説明せよ。,前10〜前5世紀頃のパレスチナを中心に成立・体系化し、唯一神**ヤハウェ**との契約と律法を重視して、**旧約聖書**を聖典とした一神教。,ヤハウェ|旧約聖書,聖典>旧約聖書||思想>一神教||影響>キリスト教||影響>イスラーム教,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/4-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Judaism,単一資料確認
大学受験・最重要,WH-000010,41,大学受験・最重要,地域・都市,ポリス,ぽりす,都市国家,古代,ヨーロッパ,エーゲ海沿岸・古代ギリシア,成立・繁栄時期,前8〜前4世紀,-800,-301,-800,century,ギリシアの都市国家が成立しマケドニアに征服されるまでを設定,3,time,成立し栄えたのはいつ？,前8〜前4世紀,,place,どこ？,エーゲ海沿岸を中心とする古代ギリシア。,,core,何を築いた？,城壁都市と周辺農地からなる**都市国家**を築き、アテネでは市民民主政、スパルタでは軍国的体制が発達した。,都市国家,,,,,「ポリス」について説明せよ。,前8〜前4世紀の古代ギリシアで発達した**都市国家**。アテネの市民民主政やスパルタの軍国的体制など、多様な政治社会を生んだ。,都市国家,地域>古代ギリシア||例>アテネ||例>スパルタ||結果>ギリシア文化,"OpenStax『World History Volume 1, to 1500』｜https://openstax.org/books/world-history-volume-1/pages/6-introduction",World History Encyclopedia検索｜https://www.worldhistory.org/search/?q=Greek+polis,単一資料確認
