dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-B01,beginner,用語の特定,identify,無産市民の政治参加を広げ、アテネ民主政を完成させた政治家は？,ペリクレス,ペリクレス,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-B02,beginner,時期,time,ペリクレスがアテネを指導した時代は？,前443〜前429年,前443〜前429年,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-B03,beginner,内容,content,ペリクレスの時代、アテネの最高議決機関とされたものは？,民会,民会,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-B04,beginner,内容,content,ペリクレスが権力の基盤とした、選挙で選ばれる公職は？,将軍,将軍,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-B05,beginner,内容,content,ペリクレスの民主政で、貧しい市民が公職に就くことを支えた金銭的な仕組みは？,公職への手当,公職への手当,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-B06,beginner,関連,relation,ペリクレスの時代のアテネの繁栄を支えた、他のポリスも拠出した資金は？,デロス同盟の資金,デロス同盟の資金,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-R01,reverse,時期,time,ペリクレスがアテネを指導したのはいつ？,前443〜前429年。,,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-R02,reverse,複合説明,reverse,ペリクレスは何をした？,アテネで**無産市民**にも政治参加を広げ、**民会**を最高議決機関とする民主政を完成させた。公職を市民に開放し、**手当**を支給して参加を支え、自らは選挙で選ばれる**将軍**として指導した。,無産市民|民会|手当|将軍,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-R03,reverse,複合説明,reverse,ペリクレスの時代の繁栄には、どんな問題があった？,**デロス同盟の資金**をアクロポリス再建などに流用したため、資金を拠出する他のポリスはアテネへの反感を強めた。,デロス同盟の資金,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020054,24,共通テスト基礎,人物,ペリクレス,ぺりくれす,,古代,地中海世界,アテネ,前443〜前429年,-443,WH-020054-I01,integrated,統合説明,integrated,「ペリクレス」について説明せよ。,前443〜前429年のアテネを指導し、**無産市民**にも政治参加を広げて民主政を完成させた政治家。**民会**を最高議決機関とし、公職の開放や**手当**によって貧しい市民の参加を支え、自らは選挙で選ばれる**将軍**職に就いた。**デロス同盟の資金**を用いたアクロポリスの再建などで全盛期を築いたが、他のポリスの反感も招いた。,無産市民|民会|手当|将軍|デロス同盟の資金,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80〜81,
第2章_第5回_01_アテネ民主政の完成,WH-020055,25,共通テスト基礎,組織・政党,民会,みんかい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020055-B01,beginner,用語の特定,identify,ペリクレス時代のアテネで、全男性市民が参加する最高議決機関は？,民会,民会,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020055,25,共通テスト基礎,組織・政党,民会,みんかい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020055-B02,beginner,関係する勢力・集団,actor,ペリクレス時代のアテネの民会に参加できたのは、どのような市民？,18歳以上の男性市民,18歳以上の男性市民,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020055,25,共通テスト基礎,組織・政党,民会,みんかい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020055-B03,beginner,内容,content,ペリクレス時代のアテネの民会では、政策をどのような方法で決めた？,多数決,多数決,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020055,25,共通テスト基礎,組織・政党,民会,みんかい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020055-B04,beginner,内容,content,ペリクレス時代のアテネの民会で、抽選ではなく選挙で選ばれた主な公職を2つ挙げよ。,将軍と財務官,将軍と財務官,財務官と将軍,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020055,25,共通テスト基礎,組織・政党,民会,みんかい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020055-R01,reverse,複合説明,reverse,ペリクレス時代のアテネの民会は、どんな機関？,前443〜前429年のペリクレス時代のアテネで、**18歳以上の男性市民**が参加した最高議決機関。政策を**多数決**で決め、将軍や財務官を選挙で選んだが、**外国人・女性・奴隷**に参政権は認められなかった。,18歳以上の男性市民|多数決|外国人・女性・奴隷,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020055,25,共通テスト基礎,組織・政党,民会,みんかい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020055-I01,integrated,統合説明,integrated,「民会」について説明せよ。,前443〜前429年のペリクレス時代のアテネで、**18歳以上の男性市民**が参加した最高議決機関。政策を**多数決**で決め、将軍や財務官を選挙で選んだが、**外国人・女性・奴隷**に参政権は認められなかった。,18歳以上の男性市民|多数決|外国人・女性・奴隷,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020056,189,共通テスト標準,制度・政策・法律,民衆裁判所,みんしゅうさいばんしょ,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020056-B01,beginner,用語の特定,identify,ペリクレス時代のアテネで、民衆から選ばれた陪審員が判決を出した裁判機関は？,民衆裁判所,民衆裁判所,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020056,189,共通テスト標準,制度・政策・法律,民衆裁判所,みんしゅうさいばんしょ,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020056-B02,beginner,関係する勢力・集団,actor,アテネの民衆裁判所で、判決を出したのはどのような人びと？,民衆から選ばれた陪審員,民衆から選ばれた陪審員,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020056,189,共通テスト標準,制度・政策・法律,民衆裁判所,みんしゅうさいばんしょ,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020056-R01,reverse,複合説明,reverse,アテネの民衆裁判所はどんな仕組み？,前443〜前429年のペリクレス時代のアテネで、**民衆から選ばれた陪審員**が判決を出す裁判の仕組み。民会による政策決定とともに、市民自身が政治や裁判に参加する**民主政**を構成した。,民衆から選ばれた陪審員|民主政,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020056,189,共通テスト標準,制度・政策・法律,民衆裁判所,みんしゅうさいばんしょ,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020056-I01,integrated,統合説明,integrated,「民衆裁判所」について説明せよ。,前443〜前429年のペリクレス時代のアテネで、**民衆から選ばれた陪審員**が判決を出す裁判の仕組み。民会による政策決定とともに、市民自身が政治や裁判に参加する**民主政**を構成した。,民衆から選ばれた陪審員|民主政,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020057,190,共通テスト標準,民族・身分・社会集団,メトイコイ,めといこい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020057-B01,beginner,用語の特定,identify,アテネで、参政権を持たない外国人を指した呼称は？,メトイコイ,メトイコイ,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020057,190,共通テスト標準,民族・身分・社会集団,メトイコイ,めといこい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020057-B02,beginner,内容,content,アテネのメトイコイには、参政権のほかにどのような財産上の権利が認められなかった？,土地所有,土地所有,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020057,190,共通テスト標準,民族・身分・社会集団,メトイコイ,めといこい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020057-B03,beginner,関連,relation,メトイコイが参政権を持たなかったペリクレス時代のアテネでは、市民権を得るために両親についてどんな条件があった？,両親ともにアテネ人であること,両親ともにアテネ人であること,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020057,190,共通テスト標準,民族・身分・社会集団,メトイコイ,めといこい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020057-R01,reverse,複合説明,reverse,メトイコイは、アテネでどのような立場に置かれた？,前443〜前429年のペリクレス時代のアテネで、**参政権も土地所有も認められなかった外国人**。市民権は**両親ともにアテネ人の者**に制限されており、市民の政治参加拡大は外国人まで含むものではなかった。,参政権も土地所有も認められなかった外国人|両親ともにアテネ人の者,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
第2章_第5回_01_アテネ民主政の完成,WH-020057,190,共通テスト標準,民族・身分・社会集団,メトイコイ,めといこい,,古代,地中海世界,アテネ,前443〜前429年のペリクレス時代,-443,WH-020057-I01,integrated,統合説明,integrated,「メトイコイ」について説明せよ。,前443〜前429年のペリクレス時代のアテネで、**参政権も土地所有も認められなかった外国人**。市民権は**両親ともにアテネ人の者**に制限されており、市民の政治参加拡大は外国人まで含むものではなかった。,参政権も土地所有も認められなかった外国人|両親ともにアテネ人の者,,,,05_ポリス社会の崩壊とヘレニズム(3).md p.80,
