dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-B01,beginner,用語の特定,identify,主君が家臣に封土(ほうど)を与え、家臣が忠誠・軍役・貢納(こうのう)を負う、個人的で双務的な主従関係は？,封建制,封建制,封建的主従関係,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-B02,beginner,内容,content,封建制で主君が家臣に与える土地を何という？,封土(ほうど),封土,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-B03,beginner,関連,relation,封建制の成立につながった古代ゲルマン人の主従関係は？,従士制,従士制,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-B04,beginner,関連,relation,封建制の成立につながった古代ローマの土地を介する制度は？,恩貸地制(おんたいちせい),恩貸地制,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-B05,beginner,内容,content,封建制で、国王の課税や役人の立ち入りを拒める領主の権利は？,不輸不入権(ふゆふにゅうけん),不輸不入権,インムニテート,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-B06,beginner,内容,content,封建制の個人的な契約関係を背景に生まれた、勇武や信義を重視する道徳は？,騎士道精神,騎士道精神,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-B07,beginner,内容,content,封建制の契約について、主君と家臣の双方に義務がある性格を何という？,双務的,双務的,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-R01,reverse,核心内容,reverse,「封建制」：どんな制度？,西ヨーロッパで、主君が**封土(ほうど)**を与え、家臣が忠誠を誓って**軍役・貢納(こうのう)**を負う、**個人的・双務的な契約関係**。古代ゲルマン人の**従士制**と古代ローマの**恩貸地制(おんたいちせい)**が結びついて成立した。,封土|軍役・貢納|個人的・双務的な契約関係|従士制|恩貸地制,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-R02,reverse,関連・背景,reverse,「封建制」：なぜ形成された？,8世紀ころからの**外敵の侵入**と**フランク王国の分裂**による王権の弱体化を背景に、地方領主が有力者の保護を求めて主従関係を結んだため。,外敵の侵入|フランク王国の分裂,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
世界史探究 第4章 第12回-2 封建社会の形成,WH-120201,65,共通テスト基礎・重要,制度・政策・法律,封建制,ほうけんせい,封建的主従関係,中世,ヨーロッパ,西ヨーロッパ,8世紀ころからの外敵侵入・王権弱体化を背景に形成,800,WH-120201-I01,integrated,統合説明,integrated,「封建制」について説明せよ。,西ヨーロッパで、主君が**封土(ほうど)**を与え、家臣が忠誠を誓って**軍役・貢納(こうのう)**を負う、**個人的・双務的な契約関係**。古代ゲルマン人の**従士制**と古代ローマの**恩貸地制(おんたいちせい)**が結びついて成立した。8世紀ころからの**外敵の侵入**と**フランク王国の分裂**による王権の弱体化を背景に、地方領主が有力者の保護を求めて主従関係を結んだため。,封土|軍役・貢納|個人的・双務的な契約関係|従士制|恩貸地制|外敵の侵入|フランク王国の分裂,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.202–203,
