dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-B01,beginner,用語の特定,identify,教会・修道院の付属学校などで発展し、キリスト教の教義を理論的に体系化しようとした学問は？,スコラ学,スコラ学,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-B02,beginner,内容,content,スコラ学が理論的に体系化しようとしたものは？,キリスト教の教義,キリスト教の教義,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-B03,beginner,用語の特定,identify,スコラ学で普遍と個物の関係をめぐって起きた論争は？,普遍論争,普遍論争,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-B04,beginner,人物,person,『神学大全』を著してスコラ学を大成した人物は？,トマス＝アクィナス,トマス＝アクィナス,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-B05,beginner,用語の特定,identify,スコラ学の発展や大学の誕生を含む、12世紀の西欧文化の発展を何という？,12世紀ルネサンス,12世紀ルネサンス,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-R01,reverse,内容,content,スコラ学は、どのような学問か？,中世西ヨーロッパの教会・修道院の付属学校などで発展した、**キリスト教の教義を理論的に体系化**しようとする学問。信仰と理性、普遍と個物の関係などが論じられた。,キリスト教の教義を理論的に体系化,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-R02,reverse,関係,relation,スコラ学は、古典文化とどのように結びついて発展したか？,12世紀ルネサンス期、イスラーム世界などに保存されていた**ギリシア哲学**が西欧へ流入した。トマス＝アクィナスは**アリストテレス哲学**を用いて『神学大全』を著し、スコラ学を大成した。,ギリシア哲学|アリストテレス哲学,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T001,179,共通テスト高得点対策,文化・技術・学問,スコラ学,すこらがく,,中世,ヨーロッパ,西ヨーロッパ,中世・12世紀ルネサンス期に発展,1100,WH-C04-L14-S04-T001-I01,integrated,統合説明,integrated,「スコラ学」について説明せよ。,中世西ヨーロッパで、教会・修道院の付属学校などを基盤に発展した、**キリスト教の教義を理論的に体系化**する学問。12世紀ルネサンス期の古典文化流入などで発展し、普遍論争を経て、**トマス＝アクィナス**がアリストテレス哲学を用いた**『神学大全』**で大成した。,キリスト教の教義を理論的に体系化|トマス＝アクィナス|『神学大全』,,,,14_十字軍と封建社会の変容.md pp.236–239,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-B01,beginner,用語の特定,identify,中世のスコラ学で、共通の普遍が実在するか、個々の存在との関係をどう考えるかについて争われた論争は？,普遍論争,普遍論争,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-B02,beginner,内容,content,普遍論争で、普遍は実在するとした立場は？,実在論,実在論,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-B03,beginner,内容,content,普遍論争で、実在するのは個物で普遍は名称であるとした立場は？,唯名論(ゆいめいろん),唯名論,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-B04,beginner,人物,person,普遍論争で、資料が実在論の代表として挙げるカンタベリ大司教は？,アンセルムス,アンセルムス,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-B05,beginner,人物,person,普遍論争で、資料が唯名論(ゆいめいろん)の代表として挙げるフランスの学者は？,アベラール,アベラール,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-R01,reverse,内容,content,普遍論争では、何が問題になったか？,西ヨーロッパのスコラ学で、共通の**普遍**と個々の**個物**の関係をめぐり、**実在論と唯名論(ゆいめいろん)**が対立した。資料では、学問と信仰が矛盾した場合に信仰と理性のどちらを優先するかという問題と結びつけて説明される。,普遍|個物|実在論と唯名論,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-R02,reverse,結果,result,普遍論争をめぐる学問は、どのように展開したか？,**トマス＝アクィナス**はアリストテレス哲学を用いて神学中心の体系化を進めた。その後も論争は続き、**信仰と理性の分離**を主張する学者たちが現れた。,トマス＝アクィナス|信仰と理性の分離,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T002,180,共通テスト高得点対策,文化・技術・学問,普遍論争,ふへんろんそう,,中世,ヨーロッパ,西ヨーロッパ,中世のスコラ学の時代,1100,WH-C04-L14-S04-T002-I01,integrated,統合説明,integrated,「普遍論争」について説明せよ。,中世西ヨーロッパのスコラ学で、共通の**普遍**と個々の**個物**の関係をめぐって行われた論争。**実在論と唯名論(ゆいめいろん)**が対立し、信仰と理性の関係も問題となった。トマス＝アクィナスによる体系化の後も議論は続き、信仰と理性の分離を求める立場へ展開した。,普遍|個物|実在論と唯名論,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T003,181,共通テスト高得点対策,思想・主義,実在論,じつざいろん,,中世,ヨーロッパ,西ヨーロッパ・イングランド,中世の普遍論争期,1100,WH-C04-L14-S04-T003-B01,beginner,用語の特定,identify,普遍論争で、普遍は実在し、個物より先にあるとする立場は？,実在論,実在論,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T003,181,共通テスト高得点対策,思想・主義,実在論,じつざいろん,,中世,ヨーロッパ,西ヨーロッパ・イングランド,中世の普遍論争期,1100,WH-C04-L14-S04-T003-B02,beginner,人物,person,資料で実在論の代表とされる、カンタベリ大司教は？,アンセルムス,アンセルムス,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T003,181,共通テスト高得点対策,思想・主義,実在論,じつざいろん,,中世,ヨーロッパ,西ヨーロッパ・イングランド,中世の普遍論争期,1100,WH-C04-L14-S04-T003-B03,beginner,内容,content,実在論で、個物より先に存在するとされるものは？,普遍,普遍,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T003,181,共通テスト高得点対策,思想・主義,実在論,じつざいろん,,中世,ヨーロッパ,西ヨーロッパ・イングランド,中世の普遍論争期,1100,WH-C04-L14-S04-T003-R01,reverse,内容,content,中世の普遍論争における実在論は、どのような考えか？,共通の**普遍が実在し、個物より先にある**とする考え。資料ではイングランドの**アンセルムス**が代表とされ、信仰を優先する立場と結びつけられる。,普遍が実在し、個物より先にある|アンセルムス,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T003,181,共通テスト高得点対策,思想・主義,実在論,じつざいろん,,中世,ヨーロッパ,西ヨーロッパ・イングランド,中世の普遍論争期,1100,WH-C04-L14-S04-T003-I01,integrated,統合説明,integrated,「実在論」について説明せよ。,中世西ヨーロッパの普遍論争において、**普遍が実在し、個物より先にある**とした立場。資料ではイングランドの**アンセルムス**を代表とし、信仰を優先する立場として説明される。,普遍が実在し、個物より先にある|アンセルムス,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T004,182,共通テスト高得点対策,思想・主義,唯名論,ゆいめいろん,,中世,ヨーロッパ,西ヨーロッパ・フランス・イングランド,中世の普遍論争期,1100,WH-C04-L14-S04-T004-B01,beginner,用語の特定,identify,普遍論争で、実在するのは個物であり、普遍は名称であるとする立場は？,唯名論(ゆいめいろん),唯名論,,,,14_十字軍と封建社会の変容.md pp.236–237,
第4章 中世ヨーロッパ｜第14回 4 中世西ヨーロッパ文化,WH-C04-L14-S04-T004,182,共通テスト高得点対策,思想・主義,唯名論,ゆいめいろん,,中世,ヨーロッパ,西ヨーロッパ・フランス・イングランド,中世の普遍論争期,1100,WH-C04-L14-S04-T004-B02,beginner,人物,person,資料で唯名論(ゆいめいろん)の代表とされる、フランスの学者は？,アベラール,アベラール,,,,14_十字軍と封建社会の変容.md pp.236–237,
