"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-16-03-001","一問一答","用語の特定","金が開封を占領し、北宋の皇帝らを北方へ連行した事件は？","靖康の変。","資料の総覧では1126〜1127年の事件とされる。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L61-L62"
"WHSO-05-16-03-002","一問一答","主体","靖康の変で北宋を滅ぼした王朝は？","金。","女真族が建てた王朝。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L61-L62"
"WHSO-05-16-03-003","一問一答","人物","靖康の変で北方へ連行された上皇と皇帝を答えなさい。","上皇の徽宗と、皇帝の欽宗。","高宗は江南に逃れて宋を再興した。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L62"
"WHSO-05-16-03-004","一問一答","時期","資料の総覧で、北宋が滅亡した年は何年か？","1127年。","靖康の変の開始年である1126年と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L62"
"WHSO-05-16-03-005","一問一答","人物","江南に逃れ、南宋を成立させた欽宗の弟は？","高宗（趙構）。","北宋の皇統を受け継いで宋を再興した。","","16_中華世界の変容（五代十国〜宋）.md","p.255;p.262","L63;L325"
"WHSO-05-16-03-006","一問一答","場所","南宋の都はどこか？","臨安（杭州）。","北宋の都の開封と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L63"
"WHSO-05-16-03-007","一問一答","原因","北宋末期に人民の負担や農村の不安が増した背景は何か？","党争による政治混乱や徽宗の浪費が重なり、自作農の没落と地主の大土地所有が進んだこと。","財政・政治と農村社会をつなげて説明する。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L307"
"WHSO-05-16-03-008","一問一答","用語の特定","北宋末期、江南地方で起こった代表的な農民反乱は？","方臘の乱。","紅巾の乱は元末の反乱であり、時代が異なる。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L307"
"WHSO-05-16-03-009","一問一答","原因","北宋の徽宗が、女真族の金と同盟した主な目的は？","キタイから燕雲十六州を取り戻すため。","従来歳幣を贈っていたキタイに対抗した。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L309"
"WHSO-05-16-03-010","一問一答","内容","北宋は金との同盟にあたり、従来キタイに払っていた歳幣をどうすると約束したか？","キタイにかわって金に支払うと約束した。","燕雲十六州の回復を目指した交渉条件の一つ。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L309"
"WHSO-05-16-03-011","一問一答","関係","キタイを攻撃した際、北宋軍と金軍の戦況はどう異なったか？","金軍は勝利を重ねたが、北宋軍は敗北を重ね、金に援助を求めた。","北宋の軍事的な弱さが明らかになった。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L309"
"WHSO-05-16-03-012","一問一答","原因","資料では、同盟していた金が北宋に攻め込んだ直接の理由をどう説明しているか？","北宋が約束を破り、金からさらに領土を奪おうとしたため。","資料の説明に即して、同盟から対立への転換を問う。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L311"
"WHSO-05-16-03-013","一問一答","人物","南宋で金への抗戦と開封奪回を主張した主戦派の武将は？","岳飛。","和平派の宰相秦檜と対立した。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L325"
"WHSO-05-16-03-014","一問一答","人物","南宋で和平派を率い、金との和議を主導した宰相は？","秦檜。","主戦派の岳飛との対立が重要。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L325"
"WHSO-05-16-03-015","一問一答","用語の特定","秦檜の主導で南宋と金が結んだ和議は？","紹興の和議。","両国の国境や君臣関係、歳貢を定めた。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L325"
"WHSO-05-16-03-016","一問一答","場所","紹興の和議で、南宋と金の国境とされた河川は？","淮河。","黄河や長江と取り違えない。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L325"
"WHSO-05-16-03-017","一問一答","内容","紹興の和議で、南宋は金に対してどのような地位を認めたか？","金に臣下の礼をとり、金を君、南宋を臣とする関係を認めた。","南宋から金への贈与は歳貢とされた。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L325"
"WHSO-05-16-03-018","一問一答","内容","紹興の和議で、南宋が金に贈った主な品とその名目は？","絹と銀を歳貢として贈った。","毎年、絹25万疋・銀25万両と定められた。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L325"
"WHSO-05-16-03-019","一問一答","関係","澶淵の盟と紹興の和議では、宋と相手国の関係がどう異なるか？","澶淵の盟では宋が兄・キタイが弟、紹興の和議では南宋が臣・金が君となった。","同じ絹・銀の贈与でも、歳幣と歳貢では関係が異なる。","","16_中華世界の変容（五代十国〜宋）.md","p.262;p.260","L325;L237"
"WHSO-05-16-03-020","一問一答","結果","紹興の和議の後、主戦派の岳飛はどうなったか？","処刑された。","資料では、主戦派の勢いを封じるためと説明される。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L327"
"WHSO-05-16-03-021","一問一答","原因","南宋期に江南の開発が進んだ背景を、人口移動と技術から説明しなさい。","金の支配を嫌った漢民族が江南へ移住し、華北の進んだ技術が導入されたため。","南宋自身も金に対抗して江南開発を進めた。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L329"
"WHSO-05-16-03-022","一問一答","結果","南宋時代、人口と経済の中心は中国の南北でどう変化したか？","南方の人口が北方を上回り、経済の中心も華北から江蘇・浙江などの江南へ移った。","人口・技術・生産の変化をまとめて押さえる。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L329"
"WHSO-05-16-03-023","一問一答","原因","南宋が華北を失っても存続できた経済的な理由は？","江南の開発と経済発展によって、国家を支える基盤を確保できたため。","領土縮小だけで国家の経済力は判断できない。","","16_中華世界の変容（五代十国〜宋）.md","p.262","L329"
