dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-B01,beginner,用語の特定,identify,1791年憲法のもとで制限選挙により選出され、8月10日事件後に王権停止を宣言した議会は？,立法議会,立法議会,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-B02,beginner,関連語,relation,フランス革命期の立法議会の成立の根拠となった憲法は？,1791年憲法,1791年憲法,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-B03,beginner,内容,content,フランス革命期の立法議会を選出した選挙制度は？,制限選挙,制限選挙,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-B04,beginner,国家・勢力,actor,フランス革命期の立法議会でフィヤン派と対立した穏健共和派は？,ジロンド派,ジロンド派,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-B05,beginner,結果,result,フランス革命期の立法議会が8月10日事件後に宣言した、国王の権限に関する措置は？,王権の停止,王権の停止,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-B06,beginner,結果,result,フランス革命期の立法議会が解散して招集を決めた新しい議会は？,国民公会,国民公会,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-R01,reverse,時期,time,活動したのはいつ？,1791〜1792年,,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-R02,reverse,複合説明,reverse,何をした？,1791〜1792年のフランスで、**1791年憲法**に基づき制限選挙で選出された議会。**フィヤン派とジロンド派**が対立し、**8月10日事件**後に王権停止と男子普通選挙による**国民公会**の招集を決めて解散した。,1791年憲法|フィヤン派とジロンド派|8月10日事件|国民公会,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280301,434,共通テスト基礎,組織・政党,立法議会,りっぽうぎかい,,近世〜近代,ヨーロッパ,フランス,1791〜1792年,1791,WH-280301-I01,integrated,統合説明,integrated,「立法議会」について説明せよ。,1791〜1792年のフランスで、**1791年憲法**に基づき制限選挙で選出された議会。**フィヤン派とジロンド派**が対立し、**8月10日事件**後に王権停止と男子普通選挙による**国民公会**の招集を決めて解散した。,1791年憲法|フィヤン派とジロンド派|8月10日事件|国民公会,,,,28_フランス革命(1).md p.452–455,
世界史探究_第28回_03_立法議会の時代,WH-280302,435,共通テスト基礎,組織・政党,ジロンド派,じろんどは,,近世〜近代,ヨーロッパ,フランス,1791〜1793年,1791,WH-280302-B01,beginner,用語の特定,identify,フランス革命で富裕市民を基盤とし、制限選挙を支持した穏健共和派は？,ジロンド派,ジロンド派,,,,28_フランス革命(1).md p.453・455–456,
世界史探究_第28回_03_立法議会の時代,WH-280302,435,共通テスト基礎,組織・政党,ジロンド派,じろんどは,,近世〜近代,ヨーロッパ,フランス,1791〜1793年,1791,WH-280302-B02,beginner,国家・勢力,actor,ジロンド派の基盤となった富裕な市民階級は？,ブルジョワジー,ブルジョワジー,,,,28_フランス革命(1).md p.453・455–456,
世界史探究_第28回_03_立法議会の時代,WH-280302,435,共通テスト基礎,組織・政党,ジロンド派,じろんどは,,近世〜近代,ヨーロッパ,フランス,1791〜1793年,1791,WH-280302-B03,beginner,内容,content,ジロンド派が支持した選挙制度は？,制限選挙,制限選挙,,,,28_フランス革命(1).md p.453・455–456,
