"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-27-03-001","産業革命後、工場を経営して経済を動かす存在となった人々を何というか？","産業資本家。","地主階級に加え、工業生産を担う資本家が社会で大きな役割を持つようになった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","435","200"
"WH-27-03-002","産業革命で工業都市に増え、工場で賃金を得て働く人々を何というか？","都市労働者。","農村からの人口移動が、その増加を支えた。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","435","200"
"WH-27-03-003","産業革命は、農村と都市の人口分布をどう変えたか？","農村から工業都市への移住が進み、都市人口が増加した。","工場の集積は、住宅や衛生などの都市問題にもつながった。","結果","一問一答","","27_産業革命とアメリカ独立革命.md","435","200"
"WH-27-03-004","ランカシャー地方で木綿工業の中心となり、人口が急増した都市は？","マンチェスター。","リヴァプールはその外港として、商業都市に発展した。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","435","200"
"WH-27-03-005","イギリスで鉄鋼業を中心に発展した代表的な二つの工業都市は？","バーミンガムとシェフィールド。","木綿工業のマンチェスターと産業を対応させて区別する。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","435","200"
"WH-27-03-006","マンチェスターの外港として発展した、大商業都市は？","リヴァプール。","工業都市と港湾都市の結びつきが、貿易の拡大を支えた。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","435","200"
"WH-27-03-007","産業革命後のイギリスで、利害が対立する三大階級となったのは？","地主階級、産業資本家、労働者。","産業資本家と労働者だけでなく、地主階級も政治・社会で力を持った。","主体","一問一答","","27_産業革命とアメリカ独立革命.md","435","202"
"WH-27-03-008","産業資本家が自由主義改革を求め、地主階級中心の政府と対立した理由は？","工業製品の輸出や経済活動を拡大したかったため。","地主・産業資本家・労働者では、経済的な利害が異なった。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","435","202"
"WH-27-03-009","産業革命期の工業都市で、生活環境や衛生状態が悪化した背景は？","都市人口が急増したのに、住宅や上下水道などの整備が追いつかなかったため。","石炭のばい煙や貧困、伝染病の問題も重なった。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","436","208"
"WH-27-03-010","産業革命期に深刻になった、工場労働の問題を挙げなさい。","低賃金、長時間労働、女性労働・児童労働などの問題。","生産の増加が、そのまま労働者の生活改善につながったわけではない。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","436","208"
"WH-27-03-011","機械化によって職を失った職人らが、機械を破壊した初期の労働運動は？","ラダイト運動（機械打ちこわし）。","労働条件をめぐる反発が、機械そのものへの攻撃となった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","208"
"WH-27-03-012","ラダイト運動で機械が攻撃されたのはなぜか？","職を失った職人たちが、機械に仕事を奪われたと考えたため。","初期の労働運動として、後の労働組合による運動と区別する。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","436","208"
"WH-27-03-013","『イギリスにおける労働者階級の状態』を著し、労働者の生活を描いた人物は？","エンゲルス。","ドイツの社会主義者で、産業革命の社会的影響を考える際の著者として登場する。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","208"
"WH-27-03-014","エンゲルスが、産業革命期のイギリス労働者の状況を述べた著書は？","『イギリスにおける労働者階級の状態』。","労働・住宅・貧困など、工業化の社会問題と結びつけて覚える。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","208"
"WH-27-03-015","政府が労働者の団結を警戒し、組織化を抑えるために制定した法は？","団結禁止法。","労働者の結集が暴動につながることへの警戒が背景とされる。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","214"
"WH-27-03-016","紡績工場を経営しながら労働環境を改善し、社会改革を進めたイギリスの人物は？","ロバート＝オーウェン。","理想的共同体の建設や、工場法・労働組合の運動にも取り組んだ。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","214"
"WH-27-03-017","ロバート＝オーウェンがアメリカで理想の工場を実現しようとして建設したのは？","ニューハーモニー。","計画は失敗したが、その後も労働環境の改善に取り組んだ。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","214"
"WH-27-03-018","オーウェンがニューハーモニーを建設した国は？","アメリカ。","帰国後は、イギリスで工場法や労働組合運動に尽力した。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","436","214"
"WH-27-03-019","オーウェンらが制定に尽力した、工場の労働条件の改善を目指す法は？","工場法。","労働者の団結を禁じる団結禁止法とは、役割が異なる。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","214"
"WH-27-03-020","イギリスで一般工場法が制定されたのは何年か？","1833年。","その後も改正が重ねられ、労働環境の改善が進められた。","時期","一問一答","","27_産業革命とアメリカ独立革命.md","436","214"
"WH-27-03-021","オーウェンが結成に関わった、全国的な労働組合組織は？","全国労働組合大連合。","個別工場の改善から、労働者の組織的な運動へ取り組みを広げた。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","214"
"WH-27-03-022","産業革命による労働問題を背景に、経済的な平等や社会の改革を追求して現れた思想は？","社会主義。","イギリスだけでなく、フランスでも多様な思想が生まれた。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-023","能力を自由に発揮できる、平等な産業社会の実現を目指したフランスの思想家は？","サン＝シモン。","初期の社会主義思想家として紹介されている。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-024","人々が助け合う共同組合的な理想社会「ファランジュ」を主張した人物は？","フーリエ。","社会問題に対して、協同的な生活・生産のあり方を構想した。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-025","フーリエが構想した、共同組合的な理想社会の名称は？","ファランジュ。","オーウェンがアメリカで建設したニューハーモニーと区別する。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-026","少数の革命家による暴力的な権力奪取を主張した人物は？","ブランキ。","初期社会主義者のなかでも、改革の実現方法に違いがあった。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-027","国家権力を否定する無政府主義思想を広めた人物は？","プルードン。","政府による人民の搾取を問題にした。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-028","プルードンが広めた、国家権力を否定する思想を何というか？","無政府主義思想。","共同体建設や国家を通じた改革を目指す考えとは区別する。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-029","二月革命後の臨時政府に参加した、初期の社会主義者として本文に挙げられる人物は？","ルイ＝ブラン。","本文では国立作業場に関わる記述とともに登場する。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-030","二月革命後のフランスの臨時政府について、本文に登場する労働施設の名称は？","国立作業場。","本資料では、ルイ＝ブランが参加した臨時政府の説明で扱われている。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-031","初期の社会主義思想を「空想的社会主義」と批判した思想家は？","マルクス。","資料では、既存の構想では根本的解決にならないと批判した人物として登場する。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
"WH-27-03-032","マルクスが初期の社会主義思想に対して用いた、批判的な呼び名は？","空想的社会主義。","当事者の統一的な自己名称ではなく、資料ではマルクスによる評価として説明される。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","436","216"
