dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-B01,beginner,用語の特定,identify,イオニア植民市の反乱を契機に、ギリシアのポリスとアケメネス朝が戦った一連の戦争は？,ペルシア戦争,ペルシア戦争,,,,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-B02,beginner,時期,time,ペルシア戦争が続いた期間は？,前500〜前449年,前500〜前449年,,,前500年：「号令をかけて　ペルシア戦争」ペルシア戦争の始まり,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-B03,beginner,原因,cause,ペルシア戦争の契機となった、アナトリアのギリシア人による反乱は？,イオニア植民市の反乱,イオニア植民市の反乱,,,,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-B04,beginner,中心人物,person,ペルシア戦争の第1回・第2回の遠征を行ったアケメネス朝の王は？,ダレイオス1世,ダレイオス1世,,,,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-B05,beginner,中心人物,person,ペルシア戦争の第3回の侵攻を率いた王は？,クセルクセス1世,クセルクセス1世,,,,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-B06,beginner,関連,relation,ペルシア戦争を前449年に正式に終結させた和約は？,カリアスの和約,カリアスの和約,,,,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-B07,beginner,結果,result,ペルシア戦争のサラミスの海戦で活躍し、アテネで発言力を強めた市民層は？,無産市民,無産市民,下層市民,,,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-R01,reverse,時期,time,ペルシア戦争はいつ戦われた？,前500〜前449年。,,,,前500年：「号令をかけて　ペルシア戦争」ペルシア戦争の始まり,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-R02,reverse,複合説明,reverse,ペルシア戦争はなぜ起きた？,アナトリアのギリシア人諸都市がアケメネス朝支配に反発し、**イオニア植民市の反乱**を起こした。**アテネ**が支援し、服従要求も拒否したため、**ダレイオス1世**が侵攻した。,イオニア植民市の反乱|アテネ|ダレイオス1世,,,,04_古代ギリシア世界の成立(3).md p.75〜78,
第2章_第4回_05_ペルシア戦争,WH-020041,17,共通テスト基礎,戦争,ペルシア戦争,ぺるしあせんそう,,古代,地中海世界,ギリシア・エーゲ海・アナトリア,前500〜前449年,-500,WH-020041-R03,reverse,複合説明,reverse,ペルシア戦争では何が起き、何につながった？,ダレイオス1世に続き**クセルクセス1世**も侵攻したが、ギリシア側はマラトン・**サラミス**・プラタイアなどで勝利し、**カリアスの和約**で終戦した。アテネでは艦船の漕ぎ手となった**無産市民**の発言力が高まった。,クセルクセス1世|サラミス|カリアスの和約|無産市民,,,,04_古代ギリシア世界の成立(3).md p.75〜78,
