dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120301,161,共通テスト標準,制度・政策・法律,私有教会制,しゆうきょうかいせい,,中世,ヨーロッパ,西ヨーロッパの領主の所領,11世紀以降の教会改革の背景,1000,WH-120301-B01,beginner,用語の特定,identify,領主が自分の所領に教会や修道院を建設し、その聖職者を任命した制度は？,私有教会制,私有教会制,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205–206,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120301,161,共通テスト標準,制度・政策・法律,私有教会制,しゆうきょうかいせい,,中世,ヨーロッパ,西ヨーロッパの領主の所領,11世紀以降の教会改革の背景,1000,WH-120301-B02,beginner,勢力・対象,actor,私有教会制で、所領の教会に聖職者を任命したのは誰か？,領主,領主,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205–206,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120301,161,共通テスト標準,制度・政策・法律,私有教会制,しゆうきょうかいせい,,中世,ヨーロッパ,西ヨーロッパの領主の所領,11世紀以降の教会改革の背景,1000,WH-120301-B03,beginner,内容,content,私有教会制のもとで領主が所領内に建設した宗教施設を二つ挙げると？,教会と修道院,教会と修道院,修道院と教会,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205–206,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120301,161,共通テスト標準,制度・政策・法律,私有教会制,しゆうきょうかいせい,,中世,ヨーロッパ,西ヨーロッパの領主の所領,11世紀以降の教会改革の背景,1000,WH-120301-B04,beginner,関連,relation,私有教会制などの世俗権力による介入に伴い問題となった、聖職を金銭で扱う行為は？,聖職売買,聖職売買,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205–206,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120301,161,共通テスト標準,制度・政策・法律,私有教会制,しゆうきょうかいせい,,中世,ヨーロッパ,西ヨーロッパの領主の所領,11世紀以降の教会改革の背景,1000,WH-120301-R01,reverse,核心内容,reverse,「私有教会制」：どんな制度？,領主が西ヨーロッパの自分の所領に**教会や修道院**を建て、その**聖職者を任命する**制度。世俗権力の教会への介入は聖職売買などの腐敗と結びつき、11世紀以降に進む**教会改革**の背景となった。,教会や修道院|聖職者を任命する|教会改革,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205–206,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120301,161,共通テスト標準,制度・政策・法律,私有教会制,しゆうきょうかいせい,,中世,ヨーロッパ,西ヨーロッパの領主の所領,11世紀以降の教会改革の背景,1000,WH-120301-I01,integrated,統合説明,integrated,「私有教会制」について説明せよ。,領主が西ヨーロッパの自分の所領に**教会や修道院**を建て、その**聖職者を任命する**制度。世俗権力の教会への介入は聖職売買などの腐敗と結びつき、11世紀以降に進む**教会改革**の背景となった。,教会や修道院|聖職者を任命する|教会改革,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205–206,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120302,82,共通テスト基礎・重要,民族・身分・社会集団,聖界諸侯,せいかいしょこう,,中世,ヨーロッパ,神聖ローマ帝国／西ヨーロッパ,10世紀のオットー1世以降,950,WH-120302-B01,beginner,用語の特定,identify,大司教や司教などで、世俗の諸侯と同様に領地を支配した高位聖職者を何という？,聖界諸侯,聖界諸侯,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205・207（オットー1世は第11回p.195）,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120302,82,共通テスト基礎・重要,民族・身分・社会集団,聖界諸侯,せいかいしょこう,,中世,ヨーロッパ,神聖ローマ帝国／西ヨーロッパ,10世紀のオットー1世以降,950,WH-120302-B02,beginner,内容,content,聖界諸侯となった高位聖職者の例を、資料から二つ挙げると？,大司教と司教,大司教と司教,司教と大司教,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205・207（オットー1世は第11回p.195）,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120302,82,共通テスト基礎・重要,民族・身分・社会集団,聖界諸侯,せいかいしょこう,,中世,ヨーロッパ,神聖ローマ帝国／西ヨーロッパ,10世紀のオットー1世以降,950,WH-120302-B03,beginner,関連,relation,聖界諸侯に領地を与え、その任免権を帝国統治に利用した政策は？,帝国教会政策,帝国教会政策,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205・207（オットー1世は第11回p.195）,
世界史探究 第4章 第12回-3 カトリック教会の発展と教皇権の確立,WH-120302,82,共通テスト基礎・重要,民族・身分・社会集団,聖界諸侯,せいかいしょこう,,中世,ヨーロッパ,神聖ローマ帝国／西ヨーロッパ,10世紀のオットー1世以降,950,WH-120302-B04,beginner,勢力・対象,actor,聖界諸侯を帝国教会政策に組み込み、大諸侯に対抗した世俗の支配者は？,神聖ローマ皇帝,神聖ローマ皇帝,,,,12_封建社会の形成とカトリック教会の発展(1).md pp.205・207（オットー1世は第11回p.195）,
