dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第28回_01_革命の勃発,WH-280101,415,共通テスト基礎,事件・革命,フランス革命,ふらんすかくめい,,近世〜近代,ヨーロッパ,フランス,1789〜1799年,1789,WH-280101-B01,beginner,用語の特定,identify,旧体制の危機と全国三部会の招集を背景に1789年に始まり、統領政府の成立で終わった革命は？,フランス革命,フランス革命,,,,28_フランス革命(1).md p.445–448,
世界史探究_第28回_01_革命の勃発,WH-280101,415,共通テスト基礎,事件・革命,フランス革命,ふらんすかくめい,,近世〜近代,ヨーロッパ,フランス,1789〜1799年,1789,WH-280101-B02,beginner,時期,time,フランス革命が勃発したのはいつ？,1789年,1789年,,,1789：「非難爆発　フランス革命」フランス革命勃発,28_フランス革命(1).md p.445–448,
世界史探究_第28回_01_革命の勃発,WH-280101,415,共通テスト基礎,事件・革命,フランス革命,ふらんすかくめい,,近世〜近代,ヨーロッパ,フランス,1789〜1799年,1789,WH-280101-B03,beginner,国家・勢力,actor,フランス革命の初期に免税特権の維持を求めた階層は？,貴族,貴族,,,,28_フランス革命(1).md p.445–448,
世界史探究_第28回_01_革命の勃発,WH-280101,415,共通テスト基礎,事件・革命,フランス革命,ふらんすかくめい,,近世〜近代,ヨーロッパ,フランス,1789〜1799年,1789,WH-280101-B04,beginner,内容,content,フランス革命で農民が目指したのは、領主制の廃止と何の獲得？,土地,土地,,,,28_フランス革命(1).md p.445–448,
世界史探究_第28回_01_革命の勃発,WH-280101,415,共通テスト基礎,事件・革命,フランス革命,ふらんすかくめい,,近世〜近代,ヨーロッパ,フランス,1789〜1799年,1789,WH-280101-B05,beginner,結果,result,フランス革命の終結とされる1799年に成立した政府は？,統領政府,統領政府,,,,28_フランス革命(1).md p.445–448,
世界史探究_第28回_01_革命の勃発,WH-280101,415,共通テスト基礎,事件・革命,フランス革命,ふらんすかくめい,,近世〜近代,ヨーロッパ,フランス,1789〜1799年,1789,WH-280101-R01,reverse,複合説明,reverse,何が起きた？,1789〜1799年のフランスで、財政難と身分間の対立から始まった革命。**貴族・ブルジョワジー・都市民衆・農民**の異なる要求が重なって**旧体制**と王政が変革され、**統領政府**の成立で終結した。,貴族・ブルジョワジー・都市民衆・農民|旧体制|統領政府,,,1789：「非難爆発　フランス革命」フランス革命勃発,28_フランス革命(1).md p.445–448,
世界史探究_第28回_01_革命の勃発,WH-280101,415,共通テスト基礎,事件・革命,フランス革命,ふらんすかくめい,,近世〜近代,ヨーロッパ,フランス,1789〜1799年,1789,WH-280101-I01,integrated,統合説明,integrated,「フランス革命」について説明せよ。,1789〜1799年のフランスで、財政難と身分間の対立から始まった革命。**貴族・ブルジョワジー・都市民衆・農民**の異なる要求が重なって**旧体制**と王政が変革され、**統領政府**の成立で終結した。,貴族・ブルジョワジー・都市民衆・農民|旧体制|統領政府,,,1789：「非難爆発　フランス革命」フランス革命勃発,28_フランス革命(1).md p.445–448,
世界史探究_第28回_01_革命の勃発,WH-280102,416,共通テスト基礎,条約・会議,全国三部会,ぜんこくさんぶかい,三部会,近世〜近代,ヨーロッパ,フランスのヴェルサイユ,1789年,1789,WH-280102-B01,beginner,用語の特定,identify,1789年、聖職者・貴族・平民の代表が集まり、身分別か個人別かという議決方式で対立した会議は？,全国三部会,全国三部会,三部会,,,28_フランス革命(1).md p.446–448,
世界史探究_第28回_01_革命の勃発,WH-280102,416,共通テスト基礎,条約・会議,全国三部会,ぜんこくさんぶかい,三部会,近世〜近代,ヨーロッパ,フランスのヴェルサイユ,1789年,1789,WH-280102-B02,beginner,時期,time,フランス革命の発端となった全国三部会が招集されたのはいつ？,1789年,1789年,,,,28_フランス革命(1).md p.446–448,
世界史探究_第28回_01_革命の勃発,WH-280102,416,共通テスト基礎,条約・会議,全国三部会,ぜんこくさんぶかい,三部会,近世〜近代,ヨーロッパ,フランスのヴェルサイユ,1789年,1789,WH-280102-B03,beginner,地域,place,フランス革命の発端となった全国三部会が開催された宮殿は？,ヴェルサイユ宮殿,ヴェルサイユ宮殿,,,,28_フランス革命(1).md p.446–448,
