dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140301,223,共通テスト基礎・重要,経済・交易,貨幣地代,かへいちだい,,中世,ヨーロッパ,西ヨーロッパの農村,13世紀の商業発展以降,1200,WH-140301-B01,beginner,用語の特定,identify,商業や貨幣経済の発展に伴い、農民が生産物の代わりに一定額の貨幣で納めるようになった地代は？,貨幣地代,貨幣地代,,,,14_十字軍と封建社会の変容(1).md pp.232–233,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140301,223,共通テスト基礎・重要,経済・交易,貨幣地代,かへいちだい,,中世,ヨーロッパ,西ヨーロッパの農村,13世紀の商業発展以降,1200,WH-140301-B02,beginner,関連,relation,貨幣地代の普及以前に、農民が収穫物で納めていた地代は？,生産物地代,生産物地代,,,,14_十字軍と封建社会の変容(1).md pp.232–233,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140301,223,共通テスト基礎・重要,経済・交易,貨幣地代,かへいちだい,,中世,ヨーロッパ,西ヨーロッパの農村,13世紀の商業発展以降,1200,WH-140301-B03,beginner,原因,cause,貨幣地代への変化の背景となった、商業発展とともに普及した経済のあり方は？,貨幣経済,貨幣経済,,,,14_十字軍と封建社会の変容(1).md pp.232–233,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140301,223,共通テスト基礎・重要,経済・交易,貨幣地代,かへいちだい,,中世,ヨーロッパ,西ヨーロッパの農村,13世紀の商業発展以降,1200,WH-140301-B04,beginner,結果,result,貨幣地代の普及によって、領主と農民の関係はどのような関係に近づいた？,契約関係,契約関係,,,,14_十字軍と封建社会の変容(1).md pp.232–233,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140301,223,共通テスト基礎・重要,経済・交易,貨幣地代,かへいちだい,,中世,ヨーロッパ,西ヨーロッパの農村,13世紀の商業発展以降,1200,WH-140301-R01,reverse,内容と影響,reverse,「貨幣地代」：どんな地代？,13世紀の商業発展以降、西ヨーロッパの農村で**貨幣経済**の普及に伴い、生産物の代わりに定額の貨幣で納めるようになった地代。領主と農民の関係は小作人のような**契約関係**に近づいた。,貨幣経済|契約関係,,,,14_十字軍と封建社会の変容(1).md pp.232–233,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140301,223,共通テスト基礎・重要,経済・交易,貨幣地代,かへいちだい,,中世,ヨーロッパ,西ヨーロッパの農村,13世紀の商業発展以降,1200,WH-140301-I01,integrated,統合説明,integrated,「貨幣地代」について説明せよ。,13世紀の商業発展以降、西ヨーロッパの農村で**貨幣経済**の普及に伴い、生産物の代わりに定額の貨幣で納めるようになった地代。領主と農民の関係は小作人のような**契約関係**に近づいた。,貨幣経済|契約関係,,,,14_十字軍と封建社会の変容(1).md pp.232–233,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140302,224,共通テスト基礎・重要,事件・革命,黒死病,こくしびょう,ペスト,中世,ヨーロッパ,ヨーロッパ全土,14世紀半ば,1350,WH-140302-B01,beginner,用語の特定,identify,14世紀半ばのヨーロッパで大流行し、飢饉・戦争とともに人口激減をもたらした伝染病は？,黒死病,黒死病,ペスト,,,14_十字軍と封建社会の変容(1).md pp.233–234,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140302,224,共通テスト基礎・重要,事件・革命,黒死病,こくしびょう,ペスト,中世,ヨーロッパ,ヨーロッパ全土,14世紀半ば,1350,WH-140302-B02,beginner,時期,time,黒死病がヨーロッパ全土で大流行したのはいつ？,14世紀半ば,14世紀半ば,,,,14_十字軍と封建社会の変容(1).md pp.233–234,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140302,224,共通テスト基礎・重要,事件・革命,黒死病,こくしびょう,ペスト,中世,ヨーロッパ,ヨーロッパ全土,14世紀半ば,1350,WH-140302-B03,beginner,関連,relation,黒死病と並んで農村人口を減らした、食糧不足による災害は？,飢饉,飢饉,,,,14_十字軍と封建社会の変容(1).md pp.233–234,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140302,224,共通テスト基礎・重要,事件・革命,黒死病,こくしびょう,ペスト,中世,ヨーロッパ,ヨーロッパ全土,14世紀半ば,1350,WH-140302-B04,beginner,結果,result,黒死病などによる農村人口の激減で、領主が農民確保のため引き下げたものは？,地代,地代,,,,14_十字軍と封建社会の変容(1).md pp.233–234,
世界史探究 第4章 第14回-3 封建制の危機と教皇権の失墜,WH-140302,224,共通テスト基礎・重要,事件・革命,黒死病,こくしびょう,ペスト,中世,ヨーロッパ,ヨーロッパ全土,14世紀半ば,1350,WH-140302-B05,beginner,結果,result,黒死病後の農民の地位上昇とともに、イングランドに増えた独立自営農民は？,ヨーマン,ヨーマン,,,,14_十字軍と封建社会の変容(1).md pp.233–234,
