"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-18-02-001","一問一答","人物","永楽帝の命令で南海諸国への大艦隊を率いた人物は？","鄭和。","イスラーム教徒の宦官であり、朝貢国を増やす任務を担った。","","18_中華帝国の繁栄（明・清）.md","p.282;p.285","L46;L165"
"WHSO-05-18-02-002","一問一答","時期","鄭和の南海諸国遠征は、いつからいつまでおこなわれたか？","1405〜1433年。","永楽帝の在位中に始まり、遠征全体は7回に及んだ。","","18_中華帝国の繁栄（明・清）.md","p.282","L46;L39"
"WHSO-05-18-02-003","一問一答","内容","鄭和の南海諸国遠征は、全部で何回おこなわれたか？","7回。","永楽帝のモンゴル親征5回とは区別する。","","18_中華帝国の繁栄（明・清）.md","p.282;p.285","L46;L165"
"WHSO-05-18-02-004","一問一答","用語の特定","明が苦しんだ、北方のモンゴル勢力の侵入と沿岸の倭寇の活動をあわせて何というか？","北虜南倭。","資料では、明による貿易制限への反発という共通点から説明される。","","18_中華帝国の繁栄（明・清）.md","p.282;p.287","L47;L210"
"WHSO-05-18-02-005","一問一答","主体","15世紀半ば、エセン＝ハンのもとで強大化したモンゴル高原西方の勢力は？","オイラト（瓦剌）。","16世紀に強大化した東方のタタールと区別する。","","18_中華帝国の繁栄（明・清）.md","p.282;p.287","L49;L208"
"WHSO-05-18-02-006","一問一答","人物","土木の変で明の皇帝を捕虜とした、オイラトの指導者は？","エセン＝ハン。","明に対して朝貢貿易の拡大を求めていた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.287","L49-L50;L208"
"WHSO-05-18-02-007","一問一答","用語の特定","1449年、明の正統帝がオイラト軍に捕らえられた事件は？","土木の変。","オイラトの指導者はエセン＝ハンであった。","","18_中華帝国の繁栄（明・清）.md","p.282","L50"
"WHSO-05-18-02-008","一問一答","人物","土木の変で捕虜となった明の皇帝は？","正統帝（英宗）。","永楽帝や万暦帝とは区別する。","","18_中華帝国の繁栄（明・清）.md","p.282","L50;L39;L58"
"WHSO-05-18-02-009","一問一答","人物","明代、東方のタタールが強大化するきっかけとなった指導者は？","ダヤン＝ハン。","本文の総覧では、その後にアルタン＝ハンの対明侵入が続く。","","18_中華帝国の繁栄（明・清）.md","p.282","L51"
"WHSO-05-18-02-010","一問一答","人物","16世紀、明に朝貢貿易の再開を要求し、北京まで侵入したタタールの指導者は？","アルタン＝ハン。","オイラトのエセン＝ハンとの混同に注意する。","","18_中華帝国の繁栄（明・清）.md","p.282;p.287","L52;L210"
