"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-19-03-001","一問一答","人物","南宋征服後、東南アジアやインド洋への進出を図ったモンゴルの君主は？","クビライ。","南宋から得た造船技術や航海の知識を利用した。","","19_東南アジア世界.md","p.307","L170"
"WHSO-05-19-03-002","一問一答","原因","クビライが南宋征服後に東南アジアへ遠征した目的は？","東南アジアの通商ルートを押さえ、インド洋へも進出するため。","領土拡大だけでなく、交易路の確保という視点で理解する。","","19_東南アジア世界.md","p.307","L170"
"WHSO-05-19-03-003","一問一答","内容","南宋の征服によって、クビライは海上進出に必要な何を得たか？","中国人の造船技術や航海の知識。","騎馬軍団による陸上征服とは異なる技術が必要であった。","","19_東南アジア世界.md","p.307","L170"
"WHSO-05-19-03-004","一問一答","用語の特定","資料の「13世紀の東南アジア」の図で、チャンパーに併記される別名は？","占城。","第1節では林邑という別名も示されている。","","19_東南アジア世界.md","p.307;p.304","L181;L93"
"WHSO-05-19-03-005","一問一答","主体","クビライの遠征で弱体化し、その後滅亡したビルマの王朝は？","バガン朝。","滅亡後、ビルマは長い分裂時代に入った。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-006","一問一答","結果","バガン朝の滅亡後、ビルマの政治状況はどうなったか？","北部のシャン人や南部のモン人の勢力が争う分裂状態となった。","次にビルマを再統一するのは16世紀のタウングー朝である。","","19_東南アジア世界.md","p.307;p.309","L186;L254"
"WHSO-05-19-03-007","一問一答","関係","バガン朝滅亡後のアヴァ朝とペグー朝は、本文では地域と民族がどう対応するか？","アヴァ朝は北部のシャン人、ペグー朝は南部のモン人。","ここでは資料の地域・民族の対応にもとづいて整理する。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-008","一問一答","主体","タイ人がアンコール朝の支配から自立し、初めて半島部に建てた国家は？","スコータイ朝。","13世紀の東南アジアの変化を代表するタイ人の国家である。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-009","一問一答","主体","スコータイ朝を建てたタイ人が、もともと支配を受けていた王朝は？","アンコール朝。","クメール人の支配からの自立として説明される。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-010","一問一答","結果","モンゴル遠征の影響は、スコータイ朝の勢力にどう作用したか？","周辺の小国がその傘下に入り、勢力が拡大した。","同じモンゴル遠征でも、すべての国が滅亡したわけではない。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-011","一問一答","人物","スコータイ朝の全盛期を築き、タイ文字を制定した第3代の王は？","ラームカムヘーン王（ラーマカムヘン王）。","上座部仏教の導入でも知られる。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-012","一問一答","用語の特定","ラームカムヘーン王が制定し、碑文に刻んだ文字は？","タイ文字（シャム文字）。","ベトナムの字喃とは区別する。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-013","一問一答","内容","スコータイ朝のラームカムヘーン王が導入した仏教の系統は？","上座部仏教。","後のアユタヤ朝でも保護された。","","19_東南アジア世界.md","p.307;p.309","L186;L244"
"WHSO-05-19-03-014","一問一答","統合説明","スコータイ朝の成立とラームカムヘーン王の業績を説明しなさい。","タイ人がアンコール朝から自立して建国し、ラームカムヘーン王のもとで全盛期を迎え、タイ文字の制定と上座部仏教の導入を進めた。","成立の主体・前の支配勢力・文化政策をまとめる。","","19_東南アジア世界.md","p.307","L186"
"WHSO-05-19-03-015","一問一答","主体","13世紀前半にベトナムで成立し、元の攻撃を撃退した王朝は？","陳朝。","李朝と同じく大越国を称し、紅河デルタの農業を基盤とした。","","19_東南アジア世界.md","p.307","L190;L166"
"WHSO-05-19-03-016","一問一答","原因","陳朝の人口や農業生産が増加した背景は？","紅河デルタを大規模に開拓したこと。","元への抵抗の背景となる国力と、農業生産を関連づける。","","19_東南アジア世界.md","p.307","L190"
"WHSO-05-19-03-017","一問一答","内容","陳朝は、元の遠征軍にどのように対抗したか？","水軍で海から来た元軍を破り、陸からの攻撃にもゲリラ戦術で抵抗した。","海上と陸上の双方の攻撃を退けたと説明される。","","19_東南アジア世界.md","p.307;p.308","L190;L208"
"WHSO-05-19-03-018","一問一答","結果","陳朝が元の攻撃を撃退したことは、ベトナムの意識や文化にどのような影響を与えたか？","民族意識が高まり、独自の文字や歴史書が生まれた。","字喃や『大越史記』の成立と結びつける。","","19_東南アジア世界.md","p.308","L208"
"WHSO-05-19-03-019","一問一答","用語の特定","陳朝の時代に作られた、漢字をもとにしたベトナム独自の文字は？","字喃（チュノム）。","元への抵抗を経た民族意識の高まりと、独自の文字の成立を関連づける。","","19_東南アジア世界.md","p.308;p.312","L208;L357"
"WHSO-05-19-03-020","一問一答","用語の特定","陳朝で編纂された、ベトナムの歴史書は？","『大越史記』。","元を撃退した後の民族意識の高まりと結びつけて説明される。","","19_東南アジア世界.md","p.308","L208"
"WHSO-05-19-03-021","一問一答","原因","陳朝がチャンパーを攻撃し、ベトナム南部へ勢力を伸ばした目的は？","南シナ海の海上貿易へ進出するため。","北部の紅河デルタを基盤とする政権が、南の交易地域へ進出した。","","19_東南アジア世界.md","p.308","L208"
"WHSO-05-19-03-022","一問一答","主体","13世紀前半、ジャワ島東部でクディリ朝の王位を奪って成立した王朝は？","シンガサリ朝。","その後、朝貢をめぐって元と対立した。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-023","一問一答","原因","クビライがジャワ島へ遠征軍を送ったきっかけは、本文では何とされるか？","シンガサリ朝の王が、朝貢を求める元の使者の顔を傷つけて追い返したこと。","本文では使者への行為を伝聞として記している。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-024","一問一答","内容","元軍がジャワに到着した時、シンガサリ朝はどうなっていたか？","すでに内紛によって滅亡していた。","シンガサリ朝を元軍が直接滅ぼした、と混同しない。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-025","一問一答","人物","元軍を利用して対抗勢力を破り、その後元軍を追い出してマジャパヒト王国を建てた人物は？","ウィジャヤ。","元の遠征を、現地勢力が利用した例である。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-026","一問一答","内容","ウィジャヤはジャワに来た元軍を、どのように利用したか？","協力するふりをして対抗勢力を破らせ、その後に元軍をジャワから追い出した。","元軍の到来と現地の王朝交替が結びついた。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-027","一問一答","主体","元軍を追い出したウィジャヤが建てた、ジャワの王国は？","マジャパヒト王国。","ジャワで最後のヒンドゥー教国と説明される。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-028","一問一答","内容","マジャパヒト王国は建国後、元との関係をどのようにしたか？","元と通商し、朝貢した。","元軍を撃退したことと、その後の交易関係は区別する。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-029","一問一答","場所","14世紀のマジャパヒト王国が勢力を伸ばした、ジャワ以外の代表的な地域は？","スマトラ島やマレー半島。","広い海上交易圏を押さえる国家に発展した。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-030","一問一答","内容","マジャパヒト王国は、ジャワの宗教史上どのような位置づけを持つか？","ジャワ島で最後のヒンドゥー教国。","その後、北岸の港市を中心にイスラーム教が広がった。","","19_東南アジア世界.md","p.308","L210"
"WHSO-05-19-03-031","一問一答","関係","モンゴルの遠征に対し、バガン朝・陳朝・ジャワの勢力は、それぞれどうなったか？","バガン朝は弱体化して滅亡し、陳朝は元軍を撃退し、ジャワではウィジャヤが元軍を追い出してマジャパヒト王国を建てた。","遠征の影響を「すべて征服された」と一括しない。","","19_東南アジア世界.md","p.308;p.307","L210;L186;L190;L208"
