"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-17-04-001","一問一答","内容","14世紀、元の社会不安を強めた自然環境上の要因を答えなさい。","気候の寒冷化や天候不順、飢饉、黄河の氾濫、地震など。","政治や財政の混乱だけが衰退要因ではなかった。","","17_モンゴル帝国の時代.md","p.279","L367"
"WHSO-05-17-04-002","一問一答","用語の特定","モンゴル時代の交易圏の拡大とともに、各地で流行したとされる疫病は？","ペスト（黒死病）。","資料は14世紀の広域的な危機の一因に挙げる。","","17_モンゴル帝国の時代.md","p.279","L367"
"WHSO-05-17-04-003","一問一答","原因","元で皇位継承をめぐる混乱が起きやすかった制度上の背景は？","クリルタイによる皇位継承を続け、後継者をめぐる争いが繰り返されたため。","宮廷の混乱と自然災害が重なった。","","17_モンゴル帝国の時代.md","p.279","L367"
"WHSO-05-17-04-004","一問一答","人物","クビライに重用され、パクパ文字の作成でも知られるチベット仏教の僧は？","パクパ（パスパ）。","元のラマ教保護と関わる人物。","","17_モンゴル帝国の時代.md","p.279","L369"
"WHSO-05-17-04-005","一問一答","用語の特定","元が保護し、豪華な寺院建設の対象となった宗教は？","ラマ教（チベット仏教）。","本文では寺院建設などによる財政負担が問題とされる。","","17_モンゴル帝国の時代.md","p.279","L369"
"WHSO-05-17-04-006","一問一答","用語の特定","クビライに重用されたチベット仏教僧が作った文字は？","パクパ文字。","北方民族の契丹文字・西夏文字・女真文字と区別する。","","17_モンゴル帝国の時代.md","p.279","L369"
"WHSO-05-17-04-007","一問一答","原因","資料では、ラマ教の保護が元の財政悪化につながった理由をどう説明しているか？","皇帝や貴族が豪華な寺院を競って建て、支出が増大したため。","信仰そのものと、保護のための財政支出を分けて捉える。","","17_モンゴル帝国の時代.md","p.279","L369"
"WHSO-05-17-04-008","一問一答","内容","財政が悪化した元は、どのような対応で民衆の負担を増やしたか？","重税や専売制の強化を行い、交鈔を大量に発行した。","紙幣の濫発は物価上昇につながった。","","17_モンゴル帝国の時代.md","p.279;p.280","L369;L386"
"WHSO-05-17-04-009","一問一答","結果","元による交鈔の濫発は、どのような経済現象を引き起こしたか？","激しいインフレーション。","紙幣の増発が貨幣と物価の安定を損なった。","","17_モンゴル帝国の時代.md","p.280","L386"
"WHSO-05-17-04-010","一問一答","統合説明","元の衰退要因を、自然環境・政治・財政からまとめなさい。","災害や飢饉、皇位継承争い、寺院建設などの支出と財政悪化、交鈔濫発による物価上昇が重なった。","資料は複数の要因が重なる過程として説明する。","","17_モンゴル帝国の時代.md","p.280;p.279","L386;L367;L369"
"WHSO-05-17-04-011","一問一答","用語の特定","元末、弥勒下生による救済を説き、農民反乱を結びつけた宗教は？","白蓮教。","紅巾の乱の宗教的な基盤。","","17_モンゴル帝国の時代.md","p.280","L390"
"WHSO-05-17-04-012","一問一答","逆向きの説明","元末の白蓮教が説いた「弥勒下生」とは、どのような考え方か？","弥勒菩薩がこの世に現れ、人びとを救うという考え方。","苦境にあった農民たちの反乱と結びついた。","","17_モンゴル帝国の時代.md","p.280","L390"
"WHSO-05-17-04-013","一問一答","人物","「天下大乱、弥勒下生」を唱え、元末の反乱の中心となった人物は？","韓山童。","のちに息子の韓林児が中心となった。","","17_モンゴル帝国の時代.md","p.280","L390"
"WHSO-05-17-04-014","一問一答","用語の特定","白蓮教を基盤に元末の農民たちが起こした大反乱は？","紅巾の乱。","そのなかから朱元璋が台頭した。","","17_モンゴル帝国の時代.md","p.280","L390"
"WHSO-05-17-04-015","一問一答","原因","紅巾の乱の背景にあった、江南の農民の生活状況は？","天候不順と飢饉が続き、農民の生活が極度に悪化していた。","宗教的な救済への期待と生活苦が結びついた。","","17_モンゴル帝国の時代.md","p.280","L390"
"WHSO-05-17-04-016","一問一答","人物","紅巾の乱から台頭し、明を建国した人物は？","朱元璋。","皇帝としては洪武帝と呼ばれる。","","17_モンゴル帝国の時代.md","p.280","L390;L392"
"WHSO-05-17-04-017","一問一答","内容","朱元璋は、反乱軍に加わるまでにどのような生活を送っていたか？","貧しい農民の出身で、寺に入って僧となったのち、紅巾の乱に加わった。","資料では貧困と反乱参加の経緯が説明される。","","17_モンゴル帝国の時代.md","p.280","L392"
"WHSO-05-17-04-018","一問一答","主体","南京に進出した朱元璋に期待を寄せ、教養を教えて支えた人びとは？","知識人や地主たち。","元にかわる新しい国家の建設を期待した。","","17_モンゴル帝国の時代.md","p.280","L392"
"WHSO-05-17-04-019","一問一答","内容","知識人・地主の支持を受けた朱元璋は、どのような国家づくりを掲げたか？","儒学に基づく中華王朝の建設。","朱子学などの教養と支配理念を取り入れた。","","17_モンゴル帝国の時代.md","p.280","L392"
"WHSO-05-17-04-020","一問一答","人物","朱元璋が倒した、紅巾の乱の指導者で韓山童の息子は？","韓林児。","朱元璋は反乱勢力の内部でも主導権を確立した。","","17_モンゴル帝国の時代.md","p.280","L392"
"WHSO-05-17-04-021","一問一答","場所","1368年、朱元璋が皇帝に即位して明を建国した都市は？","南京。","大都はこの時点ではまだ元が支配していた。","","17_モンゴル帝国の時代.md","p.280","L392"
"WHSO-05-17-04-022","一問一答","人物","明の建国者朱元璋を、皇帝として何と呼ぶか？","洪武帝。","人物名と皇帝としての呼称を対応させる。","","17_モンゴル帝国の時代.md","p.280","L392"
"WHSO-05-17-04-023","一問一答","時期","朱元璋が明を建国したのは何年か？","1368年。","元から大都を奪う前に、南京で皇帝に即位した。","","17_モンゴル帝国の時代.md","p.280","L392"
"WHSO-05-17-04-024","一問一答","関係","明の建国時点で、江南と華北はそれぞれどの勢力が支配していたか？","江南は明、華北の大都周辺は元。","明の建国と元の中国支配の終わりは経緯を分けて捉える。","","17_モンゴル帝国の時代.md","p.280","L394"
"WHSO-05-17-04-025","一問一答","原因","元が江南を失ったことが、国家財政に大きな打撃となったのはなぜか？","財政を支えた塩の専売について、その重要な産地を失ったため。","領土喪失と専売収入の減少を結びつける。","","17_モンゴル帝国の時代.md","p.280","L394"
"WHSO-05-17-04-026","一問一答","用語の特定","明に大都を奪われ、モンゴル高原へ退いた元の政権を何というか？","北元。","中国からの退却後も政権は続いたと説明される。","","17_モンゴル帝国の時代.md","p.280","L394"
"WHSO-05-17-04-027","一問一答","内容","明による北方進出の後、元はどのような経過をたどったか？","大都を失ってモンゴル高原へ退き、北元となったのち、資料では20年後に洪武帝に滅ぼされたとする。","元の中国支配の終わりと北元の最期を区別する。","","17_モンゴル帝国の時代.md","p.280","L394"
"WHSO-05-17-04-028","一問一答","時期","資料の年号欄で、紅巾の乱が始まったのは何年か？","1351年。","1368年の明建国に先行する。","","17_モンゴル帝国の時代.md","p.280","L404"
