dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-B01,beginner,用語の特定,identify,カスティリャとアラゴンが王家の結婚によって統合され、国王夫妻が共同統治した国は？,スペイン王国,スペイン王国,イスパニア王国,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-B02,beginner,関係する勢力,actor,スペイン王国の成立で統合された二つの王国は？,カスティリャ王国・アラゴン王国,カスティリャ王国・アラゴン王国,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-B03,beginner,中心人物,person,スペイン王国を共同統治した国王夫妻は？,フェルナンド2世・イサベル,フェルナンド2世・イサベル,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-B04,beginner,地域,place,スペイン王国が1492年に征服したナスル朝の都は？,グラナダ,グラナダ,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-B05,beginner,結果,result,スペイン王国がグラナダを征服したことで完成した運動は？,レコンキスタ,レコンキスタ,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-B06,beginner,関連,relation,スペイン王国がレコンキスタを完成した年に、コロンブスが到達した地域は？,西インド諸島,西インド諸島,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-R01,reverse,成立,reverse,「スペイン王国」：どのように成立した？,15世紀後半のイベリア半島で、**カスティリャ王国とアラゴン王国**がイサベルとフェルナンド2世の結婚により統合され、国王夫妻が共同統治する国となった。,カスティリャ王国とアラゴン王国,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-R02,reverse,展開,reverse,「スペイン王国」：何をした？,1492年にナスル朝の都**グラナダ**を征服してレコンキスタを完成し、同年の**コロンブスの西インド諸島到達**によって大航海時代へ進んだ。,グラナダ|コロンブスの西インド諸島到達,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150401,324,共通テスト基礎・重要,国家・王朝,スペイン王国,すぺいんおうこく,イスパニア王国,中世,ヨーロッパ,イベリア半島,15世紀後半成立・1492年レコンキスタ完成,1479,WH-150401-I01,integrated,統合説明,integrated,「スペイン王国」について説明せよ。,15世紀後半のイベリア半島で、**カスティリャ王国とアラゴン王国**がイサベルとフェルナンド2世の結婚により統合され、国王夫妻が共同統治する国となった。1492年にナスル朝の都**グラナダ**を征服してレコンキスタを完成し、同年の**コロンブスの西インド諸島到達**によって大航海時代へ進んだ。,カスティリャ王国とアラゴン王国|グラナダ|コロンブスの西インド諸島到達,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150402,325,共通テスト基礎・重要,国家・王朝,ムラービト朝,むらーびとちょう,,中世,ヨーロッパ・北アフリカ,イベリア半島,11世紀後半以降のレコンキスタ,1086,WH-150402-B01,beginner,用語の特定,identify,カスティリャ王国がトレドを奪還した後、そのさらなる南下を阻止したイスラーム王朝は？,ムラービト朝,ムラービト朝,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150402,325,共通テスト基礎・重要,国家・王朝,ムラービト朝,むらーびとちょう,,中世,ヨーロッパ・北アフリカ,イベリア半島,11世紀後半以降のレコンキスタ,1086,WH-150402-B02,beginner,関係する勢力,actor,ムラービト朝がレコンキスタで南下を阻止したキリスト教王国は？,カスティリャ王国,カスティリャ王国,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150402,325,共通テスト基礎・重要,国家・王朝,ムラービト朝,むらーびとちょう,,中世,ヨーロッパ・北アフリカ,イベリア半島,11世紀後半以降のレコンキスタ,1086,WH-150402-B03,beginner,地域,place,ムラービト朝との対立に先立ち、カスティリャ王国が奪還した都市は？,トレド,トレド,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150402,325,共通テスト基礎・重要,国家・王朝,ムラービト朝,むらーびとちょう,,中世,ヨーロッパ・北アフリカ,イベリア半島,11世紀後半以降のレコンキスタ,1086,WH-150402-B04,beginner,関連,relation,ムラービト朝が対抗した、キリスト教徒による国土回復運動は？,レコンキスタ,レコンキスタ,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
世界史探究 第4章 第15回-4 レコンキスタとスペイン王国の成立,WH-150402,325,共通テスト基礎・重要,国家・王朝,ムラービト朝,むらーびとちょう,,中世,ヨーロッパ・北アフリカ,イベリア半島,11世紀後半以降のレコンキスタ,1086,WH-150402-R01,reverse,活動,reverse,「ムラービト朝」：何をした？,11世紀後半にイベリア半島でカスティリャ王国が**トレド**を奪還した後、同王国の南下を阻止したイスラーム王朝。**レコンキスタ**の進展に対抗した。,トレド|レコンキスタ,,,,15_中世の西ヨーロッパ諸国(1).md pp.251–252,
