dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第26回_04_ロシア帝国の台頭,WH-260401,269,共通テスト基礎,国家・王朝,ロシア帝国,ろしあていこく,,近世,ヨーロッパ,ロシア,1721年〜,1721,WH-260401-B01,beginner,用語の特定,identify,北方戦争の勝利後、ピョートル1世に皇帝の称号が贈られ、1721年に正式な成立が宣言された国家は？,ロシア帝国,ロシア帝国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.422、425,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260401,269,共通テスト基礎,国家・王朝,ロシア帝国,ろしあていこく,,近世,ヨーロッパ,ロシア,1721年〜,1721,WH-260401-B02,beginner,時期,time,ロシア帝国の成立が宣言されたのはいつ？,1721年,1721年,1721,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.422、425,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260401,269,共通テスト基礎,国家・王朝,ロシア帝国,ろしあていこく,,近世,ヨーロッパ,ロシア,1721年〜,1721,WH-260401-B03,beginner,中心人物,person,ロシア帝国成立時の皇帝は？,ピョートル1世,ピョートル1世,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.422、425,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260401,269,共通テスト基礎,国家・王朝,ロシア帝国,ろしあていこく,,近世,ヨーロッパ,ロシア,1721年〜,1721,WH-260401-B04,beginner,関連語,relation,ロシア帝国成立の背景となった対スウェーデン戦争は？,北方戦争,北方戦争,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.422、425,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260401,269,共通テスト基礎,国家・王朝,ロシア帝国,ろしあていこく,,近世,ヨーロッパ,ロシア,1721年〜,1721,WH-260401-B05,beginner,関連語,relation,ロシア帝国を統治した王朝は？,ロマノフ朝,ロマノフ朝,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.422、425,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260401,269,共通テスト基礎,国家・王朝,ロシア帝国,ろしあていこく,,近世,ヨーロッパ,ロシア,1721年〜,1721,WH-260401-R01,reverse,複合説明,reverse,どのように成立した？,1721年、**ロシア**で北方戦争の勝利を受け、**ピョートル1世**に皇帝の称号が贈られて正式に成立した国家。**ロマノフ朝**のもと、西欧化と対外進出を進めた。,ロシア|ピョートル1世|ロマノフ朝,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.422、425,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260401,269,共通テスト基礎,国家・王朝,ロシア帝国,ろしあていこく,,近世,ヨーロッパ,ロシア,1721年〜,1721,WH-260401-I01,integrated,統合説明,integrated,「ロシア帝国」について説明せよ。,1721年、**ロシア**で北方戦争の勝利を受け、**ピョートル1世**に皇帝の称号が贈られて正式に成立した国家。**ロマノフ朝**のもと、西欧化と対外進出を進めた。,ロシア|ピョートル1世|ロマノフ朝,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.422、425,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260402,270,共通テスト基礎,国家・王朝,モスクワ大公国,もすくわたいこうこく,,近世,ヨーロッパ,ロシア,1480年の自立〜16世紀,1480,WH-260402-B01,beginner,用語の特定,identify,キプチャク＝ハン国の支配下で勢力を伸ばし、イヴァン3世が自立させたロシアの国家は？,モスクワ大公国,モスクワ大公国,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.421–422,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260402,270,共通テスト基礎,国家・王朝,モスクワ大公国,もすくわたいこうこく,,近世,ヨーロッパ,ロシア,1480年の自立〜16世紀,1480,WH-260402-B02,beginner,中心人物,person,モスクワ大公国でキプチャク＝ハン国のもと大公となった人物は？,イヴァン1世,イヴァン1世,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.421–422,
世界史探究_第26回_04_ロシア帝国の台頭,WH-260402,270,共通テスト基礎,国家・王朝,モスクワ大公国,もすくわたいこうこく,,近世,ヨーロッパ,ロシア,1480年の自立〜16世紀,1480,WH-260402-B03,beginner,中心人物,person,モスクワ大公国を1480年に自立させた人物は？,イヴァン3世,イヴァン3世,,,,26_近世のヨーロッパ③（ドイツ・ロシア）(1).md p.421–422,
