dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-B01,beginner,用語の特定,identify,カール5世の子としてスペインを継ぎ、対抗宗教改革、レパントの海戦での勝利、ポルトガル王位継承を進めた国王は？,フェリペ2世,フェリペ2世,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-B02,beginner,中心人物,person,フェリペ2世の父で、神聖ローマ皇帝を兼ねたスペイン国王は？,カルロス1世,カルロス1世,カール5世,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-B03,beginner,関連,relation,フェリペ2世時代、1571年にオスマン帝国艦隊を破った海戦は？,レパントの海戦,レパントの海戦,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-B04,beginner,地域,place,フェリペ2世が1571年にフィリピンを領有して建設した拠点都市は？,マニラ,マニラ,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-B05,beginner,時期,time,フェリペ2世がポルトガル王位を継承した年は？,1580年,1580年,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-B06,beginner,関連,relation,フェリペ2世の宗教強制や重税への反発から始まった独立戦争は？,オランダ独立戦争,オランダ独立戦争,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-B07,beginner,関連,relation,フェリペ2世の無敵艦隊が1588年に敗れた海戦は？,アルマダ海戦,アルマダ海戦,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-R01,reverse,時期・地域,reverse,いつ、どの国を支配した？,1556〜1598年に在位した**スペイン**の国王で、ネーデルラントやアメリカ大陸などの広大な領土を継承した。,スペイン,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-R02,reverse,宗教・対外政策,reverse,何を進めた？,**対抗宗教改革**を進め、1571年の**レパントの海戦**でオスマン帝国艦隊を破り、同年にフィリピンを領有してマニラを建設し、1580年には**ポルトガル王位**を継承した。,対抗宗教改革|レパントの海戦|ポルトガル王位,,,1571：「以後ない　トルコ海軍」レパントの海戦,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
世界史探究_第24回_02_スペインの絶対王政,WH-240201,90,共通テスト基礎,人物,フェリペ2世,ふぇりぺにせい,,近世,ヨーロッパ,スペイン・世界各地の植民地,1556〜1598年在位,1556,WH-240201-R03,reverse,限界,reverse,どんな問題に直面した？,ネーデルラントへの宗教強制などで**オランダ独立戦争**を招き、1588年の**アルマダ海戦**にも敗れ、大量の銀を戦費に使う一方で本国産業は発展しなかった。,オランダ独立戦争|アルマダ海戦,,,1588：「イギリス海軍　以後ははたいた」アルマダ海戦,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.385–387,
