dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,grammar_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_text,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
古文_Deck1_最重要単語・文法_300,CJ-000001,1,Deck1_最重要単語・文法,文法,助動詞,ず,ず,なし,助動詞,品詞=助動詞;接続=未然形;活用=特殊型;主な意味=打消,CJ-000001-C01,auxiliary_meaning,主要な意味,助動詞「ず」の主要な意味を1つ答えよ。,打消,打消,文脈と主語を手掛かりに、打消を判別する。,なし,なし,なし,ぬ（完了の助動詞）,打消の系列は未然形接続、完了の「ぬ」は連用形接続。,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,助動詞=じょどうし
古文_Deck1_最重要単語・文法_300,CJ-000001,1,Deck1_最重要単語・文法,文法,助動詞,ず,ず,なし,助動詞,品詞=助動詞;接続=未然形;活用=特殊型;主な意味=打消,CJ-000001-C02,connection,接続,助動詞「ず」は原則として何形に接続するか。,未然形,未然形,接続は「未然形」。識別では直前の活用形を確認する。,なし,なし,なし,ぬ（完了の助動詞）,打消の系列は未然形接続、完了の「ぬ」は連用形接続。,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,接続=せつぞく
古文_Deck1_最重要単語・文法_300,CJ-000001,1,Deck1_最重要単語・文法,文法,助動詞,ず,ず,なし,助動詞,品詞=助動詞;接続=未然形;活用=特殊型;主な意味=打消,CJ-000001-C03,conjugation,代表的な活用,助動詞「ず」の連体形は何か。,ぬ,ぬ,「ぬ」は助動詞「ず」の連体形。完了の助動詞「ぬ」とは接続・文脈で区別する。,なし,なし,なし,ぬ（完了の助動詞）,打消の「ぬ」は未然形接続の「ず」の連体形、完了の「ぬ」は連用形接続。,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,連体形=れんたいけい｜完了=かんりょう
古文_Deck1_最重要単語・文法_300,CJ-000002,2,Deck1_最重要単語・文法,文法,助動詞,む・むず,む・むず,むず,助動詞,品詞=助動詞;接続=未然形;活用=四段型;主な意味=推量｜意志｜適当｜勧誘｜婉曲｜仮定,CJ-000002-C01,auxiliary_meaning,主要な意味,助動詞「む・むず」の主要な意味を6つ答えよ。,推量・意志・適当・勧誘・婉曲・仮定,推量・意志・適当・勧誘・婉曲・仮定,文脈と主語を手掛かりに、推量・意志・適当・勧誘・婉曲・仮定を判別する。,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,助動詞=じょどうし
古文_Deck1_最重要単語・文法_300,CJ-000002,2,Deck1_最重要単語・文法,文法,助動詞,む・むず,む・むず,むず,助動詞,品詞=助動詞;接続=未然形;活用=四段型;主な意味=推量｜意志｜適当｜勧誘｜婉曲｜仮定,CJ-000002-C02,connection,接続,助動詞「む・むず」は原則として何形に接続するか。,未然形,未然形,接続は「未然形」。識別では直前の活用形を確認する。,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,接続=せつぞく
古文_Deck1_最重要単語・文法_300,CJ-000002,2,Deck1_最重要単語・文法,文法,助動詞,む・むず,む・むず,むず,助動詞,品詞=助動詞;接続=未然形;活用=四段型;主な意味=推量｜意志｜適当｜勧誘｜婉曲｜仮定,CJ-000002-C03,identification,人称による基本判定,文末の助動詞「む」で、主語が一人称なら基本的に何の意味か。,意志,意志,一人称主語なら意志、三人称主語なら推量が基本。二人称への呼びかけでは勧誘・適当を考える。,なし,なし,なし,推量,主語の人称と文の種類で判定する。,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,一人称=いちにんしょう｜推量=すいりょう
古文_Deck1_最重要単語・文法_300,CJ-000003,3,Deck1_最重要単語・文法,文法,助動詞,べし,べし,なし,助動詞,品詞=助動詞;接続=終止形（ラ変は連体形）;活用=ク活用型;主な意味=推量｜意志｜可能｜当然｜命令｜適当,CJ-000003-C01,auxiliary_meaning,主要な意味,助動詞「べし」の主要な意味を6つ答えよ。,推量・意志・可能・当然・命令・適当,推量・意志・可能・当然・命令・適当,文脈と主語を手掛かりに、推量・意志・可能・当然・命令・適当を判別する。,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,助動詞=じょどうし
古文_Deck1_最重要単語・文法_300,CJ-000003,3,Deck1_最重要単語・文法,文法,助動詞,べし,べし,なし,助動詞,品詞=助動詞;接続=終止形（ラ変は連体形）;活用=ク活用型;主な意味=推量｜意志｜可能｜当然｜命令｜適当,CJ-000003-C02,connection,接続,助動詞「べし」は原則として何形に接続するか。,終止形（ラ変は連体形）,終止形（ラ変は連体形）,接続は「終止形（ラ変は連体形）」。識別では直前の活用形を確認する。,なし,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,接続=せつぞく
古文_Deck1_最重要単語・文法_300,CJ-000003,3,Deck1_最重要単語・文法,文法,助動詞,べし,べし,なし,助動詞,品詞=助動詞;接続=終止形（ラ変は連体形）;活用=ク活用型;主な意味=推量｜意志｜可能｜当然｜命令｜適当,CJ-000003-C03,identification,主語による基本判定,助動詞「べし」で、主語が一人称なら基本的に何の意味か。,意志,意志,一人称なら意志、二人称なら命令・適当、三人称なら推量・当然・可能をまず考える。,なし,なし,なし,む,「べし」は当然・可能・命令まで表しうる。,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,当然=とうぜん
古文_Deck1_最重要単語・文法_300,CJ-000004,4,Deck1_最重要単語・文法,文法,助動詞,けり,けり,なし,助動詞,品詞=助動詞;接続=連用形;活用=ラ変型;主な意味=過去｜詠嘆,CJ-000004-C01,auxiliary_meaning,主要な意味,助動詞「けり」の主要な意味を2つ答えよ。,過去・詠嘆,過去・詠嘆,文脈と主語を手掛かりに、過去・詠嘆を判別する。,なし,なし,なし,き,「けり」は伝聞的過去・詠嘆、「き」は直接経験の過去。,なし,文部科学省「高等学校学習指導要領解説 国語編」・標準学校文法（複数資料照合）,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,助動詞=じょどうし
