"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-30-02-001","王権は神から授けられたとして、絶対王政を正当化した理論は？","王権神授説。","王権の根拠を、人々の契約に求める社会契約説とは区別する。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","79"
"WH-30-02-002","チャールズ1世に仕え、王権神授説を唱えたイギリスの思想家は？","フィルマー。","フランスのルイ14世に仕えたボシュエと対応を区別する。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","79"
"WH-30-02-003","ルイ14世に仕え、王権神授説を唱えたフランスの思想家は？","ボシュエ。","絶対王政を理論面で支えた人物として紹介される。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","79"
"WH-30-02-004","人々が生まれながらに持つ権利・法則を王権より上位に置く、資料の思想概念は？","自然法思想。","王権の絶対性を批判する根拠となった。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","81"
"WH-30-02-005","王権神授説と自然法思想は、王権の位置づけがどう異なるか？","王権神授説は王権を神から授けられた絶対的なものとし、自然法思想は生まれながらの人々の権利を王権より上位に置く。","資料が示す、王権の正当化と制限の理論上の対比である。","関係","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","81"
"WH-30-02-006","『戦争と平和の法』『海洋自由論』を著し、国際法の祖と呼ばれるオランダの法学者は？","グロティウス。","近代自然法の父とも呼ばれる。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","83"
"WH-30-02-007","グロティウスが、戦争中にも守るべき法規があると主張した著作は？","『戦争と平和の法』。","資料は、三十年戦争の惨状を著作の背景に挙げている。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","83"
"WH-30-02-008","グロティウスが貿易・航行の自由を説いた著作は？","『海洋自由論』。","海洋国家オランダの利益と結びつく思想として紹介される。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","83"
"WH-30-02-009","国家間の関係や戦争にも共通の規則を求め、グロティウスが確立を主張した法は？","国際法。","国王や国家の軍隊にも、守るべき法規があると考えた。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","83"
"WH-30-02-010","グロティウスの『海洋自由論』が、オランダの利益と結びついたのはなぜか？","オランダが貿易で繁栄する海洋国家で、自由な航行・貿易を必要としたため。","思想の内容と、著者の属する国の経済活動を結びつける。","原因","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","83"
"WH-30-02-011","グロティウスの思想と主な著作を説明しなさい。","近代自然法を唱え、『戦争と平和の法』で戦争時にも守るべき法規を求め、『海洋自由論』で貿易・航行の自由を主張した。","国際法の祖・近代自然法の父という呼び名と対応する。","統合説明","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","83"
"WH-30-02-012","国家や王権の根拠を、人々の権利を守るための契約に求める説は？","社会契約説。","ホッブズは王権擁護に、ロックは抵抗権の説明に用いた。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","87"
"WH-30-02-013","自然状態を「万人の万人に対する闘争」と捉え、『リヴァイアサン』を著した思想家は？","ホッブズ。","社会契約説に基づいて、平和と秩序を維持する強い王権を擁護した。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","89"
"WH-30-02-014","ホッブズが社会契約説によって王権を擁護した著作は？","『リヴァイアサン』。","国王と議会の対立による混乱が、その問題意識の背景とされる。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","89"
"WH-30-02-015","ホッブズは、人々が自然状態にあるとどのような関係になると考えたか？","万人の万人に対する闘争。","各人が自分の権利を守ろうとして争い、秩序が失われる状態と考えた。","内容","一問一答","","30_17〜18世紀のヨーロッパ文化.md","475","89"
"WH-30-02-016","ホッブズが、人々は国王に従うべきだとした理由は？","平和と秩序を保ち、自分たちの財産や権利を守るために、権利を国王に預けたと考えたため。","王権神授説ではなく、社会契約説を王権擁護の根拠とした。","原因","一問一答","","30_17〜18世紀のヨーロッパ文化.md","476","97"
"WH-30-02-017","社会契約説から人民主権と抵抗権を説き、名誉革命を正当化した思想家は？","ロック。","ホッブズと同じ社会契約説から、異なる政治的結論を導いた。","人物","一問一答","","30_17〜18世紀のヨーロッパ文化.md","476","99"
"WH-30-02-018","ロックが名誉革命を正当化する考え方を示した著作は？","『統治二論』（『市民政府二論』）。","哲学上の著作『人間悟性論』とは分けて覚える。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","476","99"
"WH-30-02-019","ロックが認めた、権利を侵害する統治者に対抗する人民の権利は？","抵抗権（革命権）。","権利を守るために権力を預けたのであり、侵害する国王からは取り戻せるとした。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","476","99"
"WH-30-02-020","ロックが社会契約説に基づいて示した、主権が人民にあるとする考えは？","人民主権。","国家や国王が人民の権利を守るために存在する、という説明と結びつく。","用語の特定","一問一答","","30_17〜18世紀のヨーロッパ文化.md","476","99"
