"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-17-02-001","一問一答","用語の特定","モンゴルに服属した高麗で起こった、抗元の反乱は？","三別抄の乱。","クビライはこれを鎮圧し、高麗の水軍も遠征に動員した。","","17_モンゴル帝国の時代.md","p.270;p.276","L56;L287"
"WHSO-05-17-02-002","一問一答","場所","1276年、モンゴル軍に占領され、南宋が降伏した都は？","臨安（杭州）。","南宋の残存勢力はこの後も抵抗した。","","17_モンゴル帝国の時代.md","p.270","L61"
"WHSO-05-17-02-003","一問一答","時期","資料では、南宋の都の臨安が開城したのは何年か？","1276年。","残存勢力の抵抗が終わる1279年とは区別する。","","17_モンゴル帝国の時代.md","p.270;p.276","L61;L285"
"WHSO-05-17-02-004","一問一答","主体","クビライの遠征で弱体化した、ビルマの王朝は？","パガン朝。","雲南から陸路で遠征した。","","17_モンゴル帝国の時代.md","p.270;p.276","L62;L289"
"WHSO-05-17-02-005","一問一答","用語の特定","クビライによる日本への遠征を、日本では一般に何と呼ぶか？","元寇。","本文では文永の役と弘安の役を説明している。","","17_モンゴル帝国の時代.md","p.270;p.276","L63;L287"
"WHSO-05-17-02-006","一問一答","主体","クビライの遠征に抵抗した、ベトナムの大越の王朝は？","陳朝。","李朝はそれ以前の宋代の説明で登場する。","","17_モンゴル帝国の時代.md","p.270;p.276","L63;L289"
"WHSO-05-17-02-007","一問一答","場所","モンゴル軍の遠征が失敗した地域として、資料の総覧が挙げる三つは？","日本・大越（ベトナム）・ジャワ。","ビルマのパガン朝は遠征によって弱体化した。","","17_モンゴル帝国の時代.md","p.270","L63"
"WHSO-05-17-02-008","一問一答","用語の特定","クビライが南宋の都市攻略に用いた、新しい投石器は？","回回砲。","騎馬軍だけでなく攻城用の兵器も使用した。","","17_モンゴル帝国の時代.md","p.276","L285"
"WHSO-05-17-02-009","一問一答","用語の特定","1279年、南宋の残存勢力が敗れ、抵抗を終えた戦いは？","崖山の戦い。","1276年の臨安降伏後に起こった。","","17_モンゴル帝国の時代.md","p.276","L285"
"WHSO-05-17-02-010","一問一答","関係","南宋の滅亡に関わる1276年と1279年は、それぞれ何の年か？","1276年は臨安の開城・降伏、1279年は崖山の戦いで残存勢力が敗れた年。","資料は都の降伏と最終的な抵抗の終結を区別する。","","17_モンゴル帝国の時代.md","p.276","L285"
"WHSO-05-17-02-011","一問一答","主体","クビライが日本遠征で水軍を動員した、朝鮮半島の国は？","高麗。","すでにモンゴルに服属していた。","","17_モンゴル帝国の時代.md","p.276","L287"
"WHSO-05-17-02-012","一問一答","用語の特定","元寇の第1回と第2回を、日本での呼称でそれぞれ答えなさい。","第1回は文永の役、第2回は弘安の役。","資料にない具体的な実施年はここでは問わない。","","17_モンゴル帝国の時代.md","p.276","L287"
"WHSO-05-17-02-013","一問一答","原因","資料では、クビライが第1回の日本遠征を行った狙いをどう説明しているか？","日本が南宋と結んでモンゴルに反抗することを防ぐため。","南宋征服との関係で説明される。","","17_モンゴル帝国の時代.md","p.276","L287"
"WHSO-05-17-02-014","一問一答","人物","元寇に際し、日本の防衛にあたった鎌倉幕府の執権は？","北条時宗。","九州に武士たちを集めて抵抗した。","","17_モンゴル帝国の時代.md","p.276","L287"
"WHSO-05-17-02-015","一問一答","関係","第1回から第2回の日本遠征までに、南宋と日本側の防備はどう変化したか？","南宋が滅亡し、日本側は石垣を築いて防備を強化した。","第2回遠征には、滅亡した南宋の残党も集められた。","","17_モンゴル帝国の時代.md","p.276","L287"
"WHSO-05-17-02-016","一問一答","主体","元軍の来襲直前に、王が内紛で殺されたジャワの王朝は？","シンガサリ朝。","その後、元を撃退した側から新王国が成立した。","","17_モンゴル帝国の時代.md","p.276","L289"
"WHSO-05-17-02-017","一問一答","主体","ジャワで元軍を撃退した指導者が建てた王国は？","マジャパヒト王国。","シンガサリ朝からの政権交替と結びつける。","","17_モンゴル帝国の時代.md","p.276","L289"
"WHSO-05-17-02-018","一問一答","原因","資料では、ムスリム商人がクビライの東南アジア遠征を働きかけた目的は？","貿易を拡大するため。","軍事遠征と商人の交易活動が結びついていた。","","17_モンゴル帝国の時代.md","p.276","L289"
"WHSO-05-17-02-019","一問一答","結果","東南アジア遠征後、元と周辺諸国の交易関係はどう変化したか？","多くの国が元に朝貢し、貿易が活発になった。","遠征の軍事的な成否と交易への影響は区別する。","","17_モンゴル帝国の時代.md","p.276","L289"
"WHSO-05-17-02-020","一問一答","用語の特定","元の中央政府で、行政を担当した機関は？","中書省。","軍事は枢密院、監察は御史台が担当した。","","17_モンゴル帝国の時代.md","p.276","L295"
"WHSO-05-17-02-021","一問一答","用語の特定","元の中央政府で、軍事を担当した機関は？","枢密院。","中書省・御史台との担当分野の違いを押さえる。","","17_モンゴル帝国の時代.md","p.276","L295"
"WHSO-05-17-02-022","一問一答","用語の特定","元の中央政府で、監察を担当した機関は？","御史台。","行政と軍事を担当する機関とは異なる。","","17_モンゴル帝国の時代.md","p.276","L295"
"WHSO-05-17-02-023","一問一答","用語の特定","元では六部はどの中央機関の下に置かれたか？","中書省。","中国風の官僚制を利用した統治だった。","","17_モンゴル帝国の時代.md","p.276","L295"
"WHSO-05-17-02-024","一問一答","内容","元の公用語は何語だったか？","モンゴル語。","中国風の官僚制を利用しながらモンゴル人の優位を保った。","","17_モンゴル帝国の時代.md","p.276","L295"
"WHSO-05-17-02-025","一問一答","主体","元で政府の高官や地方長官に充てられた主な支配層は？","モンゴル貴族。","征服者としての優位が人事に反映された。","","17_モンゴル帝国の時代.md","p.276","L295"
"WHSO-05-17-02-026","一問一答","用語の特定","元で優遇された、ウイグル人・タングート人・イラン系ムスリムなどの総称は？","色目人。","主に財政や文化を担当する官僚として登用された。","","17_モンゴル帝国の時代.md","p.276;p.277","L295;L301"
"WHSO-05-17-02-027","一問一答","原因","資料では、元が色目人を優遇した理由をどのように説明しているか？","早い段階から服属し、モンゴルとの関係が長く深かったため。","服属時期と支配者との関係に着目した説明。","","17_モンゴル帝国の時代.md","p.276;p.277","L295;L301"
"WHSO-05-17-02-028","一問一答","用語の特定","元では、旧金朝支配下の人びとを何と呼んだか？","漢人。","旧南宋支配下の南人とは区別された。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-029","一問一答","用語の特定","元では、旧南宋支配下の人びとを何と呼んだか？","南人。","単に現代的な民族名の区分として覚えない。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-030","一問一答","人物","元で『授時暦』を作った、実務能力による登用の例として挙げられる人物は？","郭守敬。","科挙が停止された時期にも実務能力が重視された。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-031","一問一答","用語の特定","元代に郭守敬が作成した暦は？","授時暦。","人物と科学技術上の成果を対応させる。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-032","一問一答","内容","科挙を一旦廃止した元は、官吏の登用で何を重視したか？","実務能力を重視し、高級官僚では家柄や世襲も重んじた。","民族や宗教にかかわらず能力のある人物も登用した。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-033","一問一答","人物","元で科挙を復活させた第4代皇帝は？","仁宗。","中国統治に多くの官僚を必要とした。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-034","一問一答","原因","元が科挙を復活させた背景は？","中国の統治に膨大な数の官僚が必要だったため。","科挙停止が元の全期間を通じて続いたわけではない。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-035","一問一答","原因","元の科挙の合格枠が、江南の士大夫に不利だった理由は？","人口が多い漢人・南人の合格枠も、モンゴル人・色目人と同数とされたため。","枠の人数と受験する側の人口規模を分けて考える。","","17_モンゴル帝国の時代.md","p.277","L303"
"WHSO-05-17-02-036","一問一答","用語の特定","元が地方に設け、現在の中国の「省」の起源となった行政機関は？","行中書省（行省）。","中央政府と直接結びつく地方機関だった。","","17_モンゴル帝国の時代.md","p.277","L307"
"WHSO-05-17-02-037","一問一答","関係","元の華北と江南では、税制はどのように異なったか？","華北では人頭税の形をとり、江南では両税法が維持された。","地域ごとの旧来の統治方法を多く残した。","","17_モンゴル帝国の時代.md","p.277","L307"
"WHSO-05-17-02-038","一問一答","内容","元は中国の各地域を、すべて同じ仕組みに改めて統治したか？","いいえ。金・南宋・西夏など旧政権の統治方法を多く残し、地域に応じて支配した。","地主中心の社会も大きく変わらなかった。","","17_モンゴル帝国の時代.md","p.277","L307"
"WHSO-05-17-02-039","一問一答","統合説明","元の中国支配を、中央・地方制度と人材登用から説明しなさい。","中央に中書省など、地方に行省を置き、モンゴル貴族・色目人を優遇しつつ実務能力も重視した。","中国風の官僚制とモンゴル人の優位が組み合わされた。","","17_モンゴル帝国の時代.md","p.277;p.276","L307;L295;L303"
