dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-B01,beginner,用語の特定,identify,観察や実験など具体的な経験を積み重ねることによって、正しい知識を得ようとする哲学の立場は？,経験論,経験論,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-B02,beginner,地域,place,近世の経験論が主に展開した国は？,イギリス,イギリス,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-B03,beginner,内容,content,経験論で個々の事実から一般的な法則を導く方法は？,帰納法,帰納法,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-B04,beginner,中心人物,person,経験論と帰納法の基礎を確立した人物は？,フランシス＝ベーコン,フランシス＝ベーコン,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-B05,beginner,中心人物,person,経験論を徹底して懐疑論を主張した人物は？,ヒューム,ヒューム,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-B06,beginner,関連語,relation,経験論に対して理性的推論を重視した大陸の立場は？,合理論,合理論,大陸合理論,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-R01,reverse,複合説明,reverse,どんな考え？,17〜18世紀の**イギリス**で展開した、観察や実験などの**具体的経験**から知識を得る立場。**帰納法**を重視し、**フランシス＝ベーコン**が基礎を確立してホッブズ・ロックらに続き、**ヒューム**はこれを徹底した。,イギリス|具体的経験|帰納法|フランシス＝ベーコン|ヒューム,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300401,531,共通テスト基礎,思想・主義,経験論,けいけんろん,,近世〜近代,ヨーロッパ,イギリス,17〜18世紀,1600,WH-300401-I01,integrated,統合説明,integrated,「経験論」について説明せよ。,17〜18世紀の**イギリス**で展開した、観察や実験などの**具体的経験**から知識を得る立場。**帰納法**を重視し、**フランシス＝ベーコン**が基礎を確立してホッブズ・ロックらに続き、**ヒューム**はこれを徹底した。,イギリス|具体的経験|帰納法|フランシス＝ベーコン|ヒューム,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300402,532,共通テスト基礎,思想・主義,合理論,ごうりろん,大陸合理論,近世〜近代,ヨーロッパ,フランスなどのヨーロッパ大陸,17世紀以降,1600,WH-300402-B01,beginner,用語の特定,identify,具体的経験の蓄積よりも理性による推論を重視し、デカルトらが大陸で展開した哲学の立場は？,合理論,合理論,大陸合理論,,,30_17〜18世紀のヨーロッパ文化(1).md p.478–480,
世界史探究_第30回_04_哲学,WH-300402,532,共通テスト基礎,思想・主義,合理論,ごうりろん,大陸合理論,近世〜近代,ヨーロッパ,フランスなどのヨーロッパ大陸,17世紀以降,1600,WH-300402-B02,beginner,中心人物,person,近世の大陸合理論を確立したフランスの哲学者は？,デカルト,デカルト,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478–480,
世界史探究_第30回_04_哲学,WH-300402,532,共通テスト基礎,思想・主義,合理論,ごうりろん,大陸合理論,近世〜近代,ヨーロッパ,フランスなどのヨーロッパ大陸,17世紀以降,1600,WH-300402-B03,beginner,内容,content,合理論が重視した推論の方法は？,演繹法(えんえきほう),演繹法,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478–480,
世界史探究_第30回_04_哲学,WH-300402,532,共通テスト基礎,思想・主義,合理論,ごうりろん,大陸合理論,近世〜近代,ヨーロッパ,フランスなどのヨーロッパ大陸,17世紀以降,1600,WH-300402-B04,beginner,関連語,relation,合理論と対比される、観察・実験などを重視するイギリスの立場は？,経験論,経験論,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478–480,
世界史探究_第30回_04_哲学,WH-300402,532,共通テスト基礎,思想・主義,合理論,ごうりろん,大陸合理論,近世〜近代,ヨーロッパ,フランスなどのヨーロッパ大陸,17世紀以降,1600,WH-300402-B05,beginner,中心人物,person,合理論に属し、汎神論(はんしんろん)を主張したオランダの人物は？,スピノザ,スピノザ,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478–480,
世界史探究_第30回_04_哲学,WH-300402,532,共通テスト基礎,思想・主義,合理論,ごうりろん,大陸合理論,近世〜近代,ヨーロッパ,フランスなどのヨーロッパ大陸,17世紀以降,1600,WH-300402-R01,reverse,複合説明,reverse,どんな考え？,17世紀以降、フランスなどのヨーロッパ大陸で展開した、**人間の理性による推論**を重視する立場。**デカルト**が確立し、**演繹法(えんえきほう)**を用いて事象を証明し、**スピノザ**やライプニッツらが続いた。,人間の理性による推論|デカルト|演繹法|スピノザ,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478–480,
世界史探究_第30回_04_哲学,WH-300402,532,共通テスト基礎,思想・主義,合理論,ごうりろん,大陸合理論,近世〜近代,ヨーロッパ,フランスなどのヨーロッパ大陸,17世紀以降,1600,WH-300402-I01,integrated,統合説明,integrated,「合理論」について説明せよ。,17世紀以降、フランスなどのヨーロッパ大陸で展開した、**人間の理性による推論**を重視する立場。**デカルト**が確立し、**演繹法(えんえきほう)**を用いて事象を証明し、**スピノザ**やライプニッツらが続いた。,人間の理性による推論|デカルト|演繹法|スピノザ,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478–480,
世界史探究_第30回_04_哲学,WH-300403,533,共通テスト基礎,文化・技術・学問,帰納法,きのうほう,,近世〜近代,ヨーロッパ,イギリス,17世紀以降,1600,WH-300403-B01,beginner,用語の特定,identify,多くの個別的な観察・経験から、一般的な法則や理論を導き出す方法は？,帰納法,帰納法,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300403,533,共通テスト基礎,文化・技術・学問,帰納法,きのうほう,,近世〜近代,ヨーロッパ,イギリス,17世紀以降,1600,WH-300403-B02,beginner,中心人物,person,近世イギリスで帰納法の基礎を確立した人物は？,フランシス＝ベーコン,フランシス＝ベーコン,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300403,533,共通テスト基礎,文化・技術・学問,帰納法,きのうほう,,近世〜近代,ヨーロッパ,イギリス,17世紀以降,1600,WH-300403-B03,beginner,関連語,relation,帰納法を重視したイギリスの哲学的立場は？,経験論,経験論,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300403,533,共通テスト基礎,文化・技術・学問,帰納法,きのうほう,,近世〜近代,ヨーロッパ,イギリス,17世紀以降,1600,WH-300403-B04,beginner,関連語,relation,帰納法に対して、大陸合理論が重視した方法は？,演繹法(えんえきほう),演繹法,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
世界史探究_第30回_04_哲学,WH-300403,533,共通テスト基礎,文化・技術・学問,帰納法,きのうほう,,近世〜近代,ヨーロッパ,イギリス,17世紀以降,1600,WH-300403-R01,reverse,複合説明,reverse,どんな特徴がある？,17世紀以降のイギリスで**フランシス＝ベーコン**が基礎を確立した、**個々の事実から一般的な法則を導く方法**。経験論が重視し、大陸合理論の**演繹法(えんえきほう)**と対比される。,フランシス＝ベーコン|個々の事実から一般的な法則を導く方法|演繹法,,,,30_17〜18世紀のヨーロッパ文化(1).md p.478・480,
