dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150101,267,共通テスト基礎・重要,国家・王朝,プランタジネット朝,ぷらんたじねっとちょう,,中世,ヨーロッパ,イングランド・フランス西部,1154年成立,1154,WH-150101-B01,beginner,用語の特定,identify,ヘンリ2世が開き、イングランドに加えてフランス西半分も領有した王朝は？,プランタジネット朝,プランタジネット朝,,,,15_中世の西ヨーロッパ諸国(1).md pp.241–242・252,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150101,267,共通テスト基礎・重要,国家・王朝,プランタジネット朝,ぷらんたじねっとちょう,,中世,ヨーロッパ,イングランド・フランス西部,1154年成立,1154,WH-150101-B02,beginner,時期,time,プランタジネット朝が成立したのはいつ？,1154年,1154年,,,1154：「いい腰　ブラブラ　プランタジネット」プランタジネット朝成立,15_中世の西ヨーロッパ諸国(1).md pp.241–242・252,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150101,267,共通テスト基礎・重要,国家・王朝,プランタジネット朝,ぷらんたじねっとちょう,,中世,ヨーロッパ,イングランド・フランス西部,1154年成立,1154,WH-150101-B03,beginner,中心人物,person,プランタジネット朝を開いたイングランド王は？,ヘンリ2世,ヘンリ2世,,,,15_中世の西ヨーロッパ諸国(1).md pp.241–242・252,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150101,267,共通テスト基礎・重要,国家・王朝,プランタジネット朝,ぷらんたじねっとちょう,,中世,ヨーロッパ,イングランド・フランス西部,1154年成立,1154,WH-150101-B04,beginner,地域,place,プランタジネット朝がイングランドに加えて広く支配したのは、フランスのどの部分？,西半分,西半分,,,,15_中世の西ヨーロッパ諸国(1).md pp.241–242・252,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150101,267,共通テスト基礎・重要,国家・王朝,プランタジネット朝,ぷらんたじねっとちょう,,中世,ヨーロッパ,イングランド・フランス西部,1154年成立,1154,WH-150101-B05,beginner,原因,cause,プランタジネット朝のイングランド王とフランス王の対立の中心となった領地は？,イングランド王の大陸所領,イングランド王の大陸所領,在仏領,,,15_中世の西ヨーロッパ諸国(1).md pp.241–242・252,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150101,267,共通テスト基礎・重要,国家・王朝,プランタジネット朝,ぷらんたじねっとちょう,,中世,ヨーロッパ,イングランド・フランス西部,1154年成立,1154,WH-150101-R01,reverse,成立と特徴,reverse,「プランタジネット朝」：どのように成立した？,1154年、**ヘンリ2世**が開いたイングランドの王朝。アンジュー伯領やノルマンディー公領を継承した王は、イングランドに加え**フランス西半分**を領有し、大陸所領をめぐってフランス王と対立した。,ヘンリ2世|フランス西半分,,,1154：「いい腰　ブラブラ　プランタジネット」プランタジネット朝成立,15_中世の西ヨーロッパ諸国(1).md pp.241–242・252,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150101,267,共通テスト基礎・重要,国家・王朝,プランタジネット朝,ぷらんたじねっとちょう,,中世,ヨーロッパ,イングランド・フランス西部,1154年成立,1154,WH-150101-I01,integrated,統合説明,integrated,「プランタジネット朝」について説明せよ。,1154年、**ヘンリ2世**が開いたイングランドの王朝。アンジュー伯領やノルマンディー公領を継承した王は、イングランドに加え**フランス西半分**を領有し、大陸所領をめぐってフランス王と対立した。,ヘンリ2世|フランス西半分,,,1154：「いい腰　ブラブラ　プランタジネット」プランタジネット朝成立,15_中世の西ヨーロッパ諸国(1).md pp.241–242・252,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150102,268,共通テスト基礎・重要,人物,ヘンリ2世,へんりにせい,アンジュー伯アンリ,中世,ヨーロッパ,イングランド・フランス西部,1154〜1189年在位,1154,WH-150102-B01,beginner,用語の特定,identify,アンジュー伯アンリとも呼ばれ、ノルマン朝断絶後にイングランド王位を継いで新王朝を開いた人物は？,ヘンリ2世,ヘンリ2世,アンジュー伯アンリ,,,15_中世の西ヨーロッパ諸国(1).md pp.241–242,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150102,268,共通テスト基礎・重要,人物,ヘンリ2世,へんりにせい,アンジュー伯アンリ,中世,ヨーロッパ,イングランド・フランス西部,1154〜1189年在位,1154,WH-150102-B02,beginner,内容,content,ヘンリ2世が開いたイングランドの王朝は？,プランタジネット朝,プランタジネット朝,,,,15_中世の西ヨーロッパ諸国(1).md pp.241–242,
世界史探究 第4章 第15回-1 中世のイングランドとフランス,WH-150102,268,共通テスト基礎・重要,人物,ヘンリ2世,へんりにせい,アンジュー伯アンリ,中世,ヨーロッパ,イングランド・フランス西部,1154〜1189年在位,1154,WH-150102-B03,beginner,地域,place,ヘンリ2世が父から継承した大陸側の所領は？,アンジュー伯領,アンジュー伯領,,,,15_中世の西ヨーロッパ諸国(1).md pp.241–242,
