dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-B01,beginner,用語の特定,identify,フランスからスイスに亡命し、ジュネーヴで予定説や禁欲的な職業倫理を説いた宗教改革者は？,カルヴァン,カルヴァン,,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-B02,beginner,時期,time,カルヴァンがジュネーヴで宗教改革を始めた年は？,1541年,1541年,,,1541：「ジュネーヴは　以後良い街」カルヴァンの宗教改革開始,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-B03,beginner,地域,place,カルヴァンが招かれて宗教改革を進めた都市は？,ジュネーヴ,ジュネーヴ,,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-B04,beginner,内容,content,カルヴァンがバーゼルで出版した著書は？,キリスト教綱要,キリスト教綱要,,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-B05,beginner,内容,content,カルヴァンが、救われるか否かは神があらかじめ決めていると説いた考えは？,予定説,予定説,,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-B06,beginner,内容,content,カルヴァンが牧師と信者の代表で教会を運営するためにつくった制度は？,長老制,長老制,長老主義,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-B07,beginner,内容,content,カルヴァンが神から与えられたものと考え、励むべきだとした職業を何という？,天職,天職,,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-R01,reverse,活動,reverse,何をした？,フランスからスイスに亡命し、バーゼルで『**キリスト教綱要**』を出版した後、1541年に**ジュネーヴ**で宗教改革を始めた。,キリスト教綱要|ジュネーヴ,,,1541：「ジュネーヴは　以後良い街」カルヴァンの宗教改革開始,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-R02,reverse,思想,reverse,どんな考え？,**予定説**を説き、自分の職業を**天職**として禁欲的に勤労することを求め、その結果としての**営利・蓄財**を認めた。,予定説|天職|営利・蓄財,,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
世界史探究_第23回_02_カルヴァンの宗教改革,WH-230201,49,共通テスト基礎,人物,カルヴァン,かるゔぁん,,近世,ヨーロッパ,フランス・スイス,1541年にジュネーヴで宗教改革開始,1541,WH-230201-R03,reverse,教会制度,reverse,どんな教会をつくった？,牧師と信者の代表である長老が教会を運営する**長老制**をつくり、改革派教会を政治権力から自律させた。,長老制,,,,23_宗教改革(1).md p.372–373（開始年：同ファイル p.380）,
