dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-B01,beginner,用語の特定,identify,劉邦(りゅうほう)が長安を都に建て、武帝の時代に中央集権を強めたが、外戚(がいせき)王莽(おうもう)に帝位を奪われて滅んだ王朝は？,前漢,前漢,,,,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-B02,beginner,中心人物,person,前漢を建てた人物は？,劉邦(りゅうほう),劉邦,高祖,,,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-B03,beginner,時期,time,前漢が成立したのは何年？,前202年,前202年,紀元前202年,,前202年：「前には強い　漢の劉邦」垓下の戦い（前漢の成立）,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-B04,beginner,地域,place,前漢の都は？,長安,長安,,,,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-B05,beginner,内容,content,前漢の初期に、郡県制と封建制を併用した制度は？,郡国制,郡国制,,,,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-B06,beginner,中心人物,person,前漢を滅ぼして新を建てた外戚(がいせき)は？,王莽(おうもう),王莽,,,,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-B07,beginner,時期,time,前漢が滅亡したのは何年？,8年,8年,後8年|西暦8年,,8年：「王莽が　エイッと　漢倒す」前漢の滅亡／新の成立,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-R01,reverse,時期,time,前漢：存在したのはいつ？,**前202年〜8年**,前202年〜8年,,,前202年：「前には強い　漢の劉邦」垓下の戦い（前漢の成立）|8年：「王莽が　エイッと　漢倒す」前漢の滅亡／新の成立,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-R02,reverse,内容,reverse,前漢：何をした？,中国で**劉邦(りゅうほう)**が建て、**長安**を都とした王朝。初めは**郡国制**を採用したが、呉楚七国の乱(ごそしちこくのらん)の鎮圧を経て実質的な郡県制へ移り、武帝の時代に中央集権を強めた。豪族の台頭や宮廷の混乱ののち、**王莽(おうもう)**に帝位を奪われて滅亡した。,劉邦|長安|郡国制|王莽,,,,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
第3章_第9回_1_前漢,WH-030073,46,共通テスト基礎,国家・王朝,前漢,ぜんかん,,古代,東アジア,中国・長安,前202年〜8年,-202,WH-030073-I01,integrated,統合説明,integrated,「前漢」について説明せよ。,前202年〜8年、中国で**劉邦(りゅうほう)**が建て、**長安**を都とした王朝。初めは**郡国制**を採用したが、呉楚七国の乱(ごそしちこくのらん)の鎮圧を経て実質的な郡県制へ移り、武帝の時代に中央集権を強めた。豪族の台頭や宮廷の混乱ののち、**王莽(おうもう)**に帝位を奪われて滅亡した。,劉邦|長安|郡国制|王莽,,,前202年：「前には強い　漢の劉邦」垓下の戦い（前漢の成立）|8年：「王莽が　エイッと　漢倒す」前漢の滅亡／新の成立,09_古代中国②（漢〜魏晋南北朝時代）(1).md p.145〜150,
