dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,rule_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_original,example_kundoku,example_kakikudashi,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000501,501,Deck3 難関大向け・意味瞬発,句法,否定,弗V,Vせず,なし,否定形,形=弗V;読み=Vせず;意味=Vしない,CC-000501-C01,meaning,意味瞬発,「弗V」の意味を答えよ。,Vしない,Vしない,「弗V」は、Vしないことを表す。,なし,なし,なし,なし,なし,不V,「弗」は一字で「不」を表す否定語。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000502,502,Deck3 難関大向け・意味瞬発,句法,禁止,無得V,Vするをうるなかれ,なし,禁止形,形=無得V;読み=Vするをうるなかれ;意味=Vしてはならない,CC-000502-C01,meaning,意味瞬発,「無得V」の意味を答えよ。,Vしてはならない,Vしてはならない｜Vするな,「無得V」は、Vしてはならないことを表す。,なし,なし,なし,なし,なし,不得V,「無得V」は禁止、「不得V」は不可能を表す。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000503,503,Deck3 難関大向け・意味瞬発,句法,全部否定,必不V,かならずVせず,なし,全部否定,形=必不V;読み=かならずVせず;意味=必ずVしない,CC-000503-C01,meaning,意味瞬発,「必不V」の意味を答えよ。,必ずVしない,必ずVしない,「必不V」は、必ずVしないことを表す。,なし,なし,なし,なし,なし,不必V,「必不」は必ず〜ない、「不必」は必ずしも〜ない。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000504,504,Deck3 難関大向け・意味瞬発,句法,全部否定,常不V,つねにVせず,なし,全部否定,形=常不V;読み=つねにVせず;意味=いつもVしない,CC-000504-C01,meaning,意味瞬発,「常不V」の意味を答えよ。,いつもVしない,いつもVしない,「常不V」は、いつもVしないことを表す。,なし,なし,なし,なし,なし,不常V,「常不」は常に否定、「不常」はいつも〜とは限らない。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000505,505,Deck3 難関大向け・意味瞬発,句法,部分否定,不倶V,ともにはVせず,なし,部分否定,形=不倶V;読み=ともにはVせず;意味=両方がそろってVするわけではない,CC-000505-C01,meaning,意味瞬発,「不倶V」の意味を答えよ。,両方がそろってVするわけではない,両方がそろってVするわけではない｜両方ともVするのではない,「不倶V」は、両方がそろってVするわけではないことを表す。,なし,なし,なし,なし,なし,倶不V,「不」が「倶」だけを否定し、少なくとも一方はVする余地を残す。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000506,506,Deck3 難関大向け・意味瞬発,句法,全部否定,倶不V,ともにVせず,なし,全部否定,形=倶不V;読み=ともにVせず;意味=両方ともVしない,CC-000506-C01,meaning,意味瞬発,「倶不V」の意味を答えよ。,両方ともVしない,両方ともVしない,「倶不V」は、両方ともVしないことを表す。,なし,なし,なし,なし,なし,不倶V,「倶」が否定の外にあり、二者ともVしない。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000507,507,Deck3 難関大向け・意味瞬発,句法,全部否定,復不V,またVせず,なし,否定形,形=復不V;読み=またVせず;意味=再びVしない,CC-000507-C01,meaning,意味瞬発,「復不V」の意味を答えよ。,再びVしない,再びVしない｜またVしない,「復」が否定の前に置かれ、再度の動作Vを否定する。,なし,なし,なし,なし,なし,不復V,「復不V」は再びVしない、「不復V」はもう二度とVしない。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000508,508,Deck3 難関大向け・意味瞬発,句法,二重否定,無非A,Aにあらざるなし,なし,二重否定,形=無非A;読み=Aにあらざるなし;意味=すべてAである,CC-000508-C01,meaning,意味瞬発,「無非A」の意味を答えよ。,すべてAである,すべてAである｜Aでないものはない,「無非A」は、すべてAであることを表す。,なし,なし,なし,なし,なし,非A,「無」と「非」の二重否定で全面肯定になる。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000509,509,Deck3 難関大向け・意味瞬発,句法,二重否定,不敢不V,あえてVせずんばあらず,なし,義務形,形=不敢不V;読み=あえてVせずんばあらず;意味=Vしないわけにはいかない,CC-000509-C01,meaning,意味瞬発,「不敢不V」の意味を答えよ。,Vしないわけにはいかない,Vしないわけにはいかない｜どうしてもVする,「不敢不V」は、Vしないわけにはいかないことを表す。,なし,なし,なし,なし,なし,不敢V,否定が二つ重なり、やむを得ずVする意味になる。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
漢文 意味瞬発 Deck3 難関大向け200項目,CC-000510,510,Deck3 難関大向け・意味瞬発,句法,不可能,未能V,いまだよくVせず,なし,不可能形,形=未能V;読み=いまだよくVせず;意味=まだVできない,CC-000510-C01,meaning,意味瞬発,「未能V」の意味を答えよ。,まだVできない,まだVできない｜いまだVすることができない,「未能V」は、まだVできないことを表す。,なし,なし,なし,なし,なし,不能V,「未能」は未だできない、「不能」は能力・事情上できない。,なし,大東文化大学「漢文訓読」・高等学校漢文標準句法（複数照合）,https://www2.ic.daito.ac.jp/oukodou/kuzukago/kundoku%2C1.html,なし
