dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000332,332,Deck 1｜骨格・基礎,時代・歴史区分,旧石器時代,きゅうせっきじだい,,原始,日本全国,日本列島各地,縄文時代より前,-38000,JH-000332-B01,beginner,用語の特定,identify,日本列島で打製石器を使い、移動しながら狩猟・採集を行った、縄文時代より前の時代は？,旧石器時代,旧石器時代,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000332,332,Deck 1｜骨格・基礎,時代・歴史区分,旧石器時代,きゅうせっきじだい,,原始,日本全国,日本列島各地,縄文時代より前,-38000,JH-000332-B02,beginner,時期,time,旧石器時代はいつ頃？,縄文時代より前,縄文時代より前,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000332,332,Deck 1｜骨格・基礎,時代・歴史区分,旧石器時代,きゅうせっきじだい,,原始,日本全国,日本列島各地,縄文時代より前,-38000,JH-000332-B03,beginner,文化・技術,content,旧石器時代の人々が主に使った石器は？,打製石器,打製石器,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000332,332,Deck 1｜骨格・基礎,時代・歴史区分,旧石器時代,きゅうせっきじだい,,原始,日本全国,日本列島各地,縄文時代より前,-38000,JH-000332-R01,reverse,時期,time,いつ頃？,**縄文時代より前**,縄文時代より前,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000332,332,Deck 1｜骨格・基礎,時代・歴史区分,旧石器時代,きゅうせっきじだい,,原始,日本全国,日本列島各地,縄文時代より前,-38000,JH-000332-R02,reverse,複合説明,reverse,どんな時代？,日本列島各地で人々が**打製石器**を使い、狩猟・採集を中心に移動生活を送った時代。,打製石器|狩猟・採集|岩宿遺跡,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000332,332,Deck 1｜骨格・基礎,時代・歴史区分,旧石器時代,きゅうせっきじだい,,原始,日本全国,日本列島各地,縄文時代より前,-38000,JH-000332-R03,reverse,結果・関連,reverse,何につながった・どんな意味があった？,その存在は、列島に縄文時代より前から人類が暮らしていたことを示し、**岩宿遺跡(いわじゅくいせき)**の発見で実証された。,打製石器|狩猟・採集|岩宿遺跡,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000332,332,Deck 1｜骨格・基礎,時代・歴史区分,旧石器時代,きゅうせっきじだい,,原始,日本全国,日本列島各地,縄文時代より前,-38000,JH-000332-I01,integrated,統合説明,integrated,「旧石器時代」について説明せよ。,縄文時代より前、日本列島各地を主な舞台として、日本列島各地で人々が**打製石器**を使い、狩猟・採集を中心に移動生活を送った時代。 その存在は、列島に縄文時代より前から人類が暮らしていたことを示し、**岩宿遺跡(いわじゅくいせき)**の発見で実証された。,打製石器|狩猟・採集|岩宿遺跡,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000369,369,Deck 1｜骨格・基礎,地域・都市・遺跡,岩宿遺跡,いわじゅくいせき,,原始,関東,群馬県みどり市,第二次世界大戦直後,-30000,JH-000369-B01,beginner,用語の特定,identify,相沢忠洋が関東ローム層から石器を発見し、日本にも旧石器時代があったことを示した遺跡は？,岩宿遺跡(いわじゅくいせき),岩宿遺跡,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000369,369,Deck 1｜骨格・基礎,地域・都市・遺跡,岩宿遺跡,いわじゅくいせき,,原始,関東,群馬県みどり市,第二次世界大戦直後,-30000,JH-000369-B02,beginner,時期,time,岩宿遺跡(いわじゅくいせき)が発見・調査されたのはいつ？,第二次世界大戦直後,第二次世界大戦直後,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
日本史段階別デッキ｜Deck 1｜日本史の最重要骨格400語,JH-000369,369,Deck 1｜骨格・基礎,地域・都市・遺跡,岩宿遺跡,いわじゅくいせき,,原始,関東,群馬県みどり市,第二次世界大戦直後,-30000,JH-000369-B03,beginner,地域,place,岩宿遺跡(いわじゅくいせき)がある都道府県は？,群馬県,群馬県,,,,国立歴史民俗博物館「第1展示室 先史・古代」,https://www.rekihaku.ac.jp/exhibitions/room1/
