dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,rule_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_original,example_kundoku,example_kakikudashi,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
漢文_Deck1_最重要句法・語彙_250項目,CC-000001,1,Deck1_最重要句法・語彙,訓読,訓読の基礎,白文,はくぶん,なし,白文,定義=句読点・返り点・送り仮名などを付けていない漢文,CC-000001-C01,meaning,用語の定義,漢文でいう「白文」とは何か。,句読点・返り点・送り仮名などを付けていない漢文,句読点・返り点・送り仮名などを付けていない漢文,「白文」は、句読点・返り点・送り仮名などを付けていない漢文を指す。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 国語編』,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000001,1,Deck1_最重要句法・語彙,訓読,訓読の基礎,白文,はくぶん,なし,白文,定義=句読点・返り点・送り仮名などを付けていない漢文,CC-000001-C02,term_from_meaning,用語の想起,句読点・返り点・送り仮名などを付けていない漢文を何というか。,白文,白文,この用語は「白文」である。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 国語編』,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000002,2,Deck1_最重要句法・語彙,訓読,訓読の基礎,訓点,くんてん,なし,訓点,定義=漢文を訓読するために加える句読点・返り点・送り仮名など,CC-000002-C01,meaning,用語の定義,漢文でいう「訓点」とは何か。,漢文を訓読するために加える句読点・返り点・送り仮名など,漢文を訓読するために加える句読点・返り点・送り仮名など,「訓点」は、漢文を訓読するために加える句読点・返り点・送り仮名などを指す。,なし,なし,なし,なし,なし,なし,なし,なし,国立国語研究所「漢文の訓読はいつから始まりましたか」,https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000002,2,Deck1_最重要句法・語彙,訓読,訓読の基礎,訓点,くんてん,なし,訓点,定義=漢文を訓読するために加える句読点・返り点・送り仮名など,CC-000002-C02,term_from_meaning,用語の想起,漢文を訓読するために加える句読点・返り点・送り仮名などを何というか。,訓点,訓点,この用語は「訓点」である。,なし,なし,なし,なし,なし,なし,なし,なし,国立国語研究所「漢文の訓読はいつから始まりましたか」,https://kotoba.ninjal.ac.jp/qa/yokuaru/qa-84/,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000003,3,Deck1_最重要句法・語彙,訓読,訓読の基礎,書き下し文,かきくだしぶん,なし,書き下し文,定義=漢文を日本語の語順に直し、仮名を補って書いた文,CC-000003-C01,meaning,用語の定義,漢文でいう「書き下し文」とは何か。,漢文を日本語の語順に直し、仮名を補って書いた文,漢文を日本語の語順に直し、仮名を補って書いた文,「書き下し文」は、漢文を日本語の語順に直し、仮名を補って書いた文を指す。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 国語編』,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000003,3,Deck1_最重要句法・語彙,訓読,訓読の基礎,書き下し文,かきくだしぶん,なし,書き下し文,定義=漢文を日本語の語順に直し、仮名を補って書いた文,CC-000003-C02,term_from_meaning,用語の想起,漢文を日本語の語順に直し、仮名を補って書いた文を何というか。,書き下し文,書き下し文,この用語は「書き下し文」である。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 国語編』,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000004,4,Deck1_最重要句法・語彙,訓読,訓読の基礎,送り仮名,おくりがな,なし,送り仮名,定義=漢字の読み・活用・助詞などを示すために添える仮名,CC-000004-C01,meaning,用語の定義,漢文でいう「送り仮名」とは何か。,漢字の読み・活用・助詞などを示すために添える仮名,漢字の読み・活用・助詞などを示すために添える仮名,「送り仮名」は、漢字の読み・活用・助詞などを示すために添える仮名を指す。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 国語編』,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000004,4,Deck1_最重要句法・語彙,訓読,訓読の基礎,送り仮名,おくりがな,なし,送り仮名,定義=漢字の読み・活用・助詞などを示すために添える仮名,CC-000004-C02,term_from_meaning,用語の想起,漢字の読み・活用・助詞などを示すために添える仮名を何というか。,送り仮名,送り仮名,この用語は「送り仮名」である。,なし,なし,なし,なし,なし,なし,なし,なし,文部科学省『高等学校学習指導要領解説 国語編』,https://www.mext.go.jp/content/20250410-mxt_kyoiku01-100002620_02.pdf,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000005,5,Deck1_最重要句法・語彙,返り点,返り点,レ点,れてん,なし,レ点,読む順=直下の一字を先に読み、すぐレ点の字へ返る;働き=一字だけ上へ返る,CC-000005-C01,kundoku_order,返り点の読む順,「レ点」の基本的な読む順を答えよ。,直下の一字を先に読み、すぐレ点の字へ返る,直下の一字を先に読み、すぐレ点の字へ返る,「レ点」は、直下の一字を先に読み、すぐレ点の字へ返る。,なし,なし,なし,なし,なし,なし,なし,なし,大学受験漢文・句形句法一覧（標準形の照合）,https://lawcityblog.com/kanbun-kukei-list/,なし
漢文_Deck1_最重要句法・語彙_250項目,CC-000005,5,Deck1_最重要句法・語彙,返り点,返り点,レ点,れてん,なし,レ点,読む順=直下の一字を先に読み、すぐレ点の字へ返る;働き=一字だけ上へ返る,CC-000005-C02,meaning,返り点の働き,「レ点」はどのような返読に使うか。,一字だけ上へ返る,一字だけ上へ返る,働きの核は「一字だけ上へ返る」。,なし,なし,なし,なし,なし,なし,なし,なし,大学受験漢文・句形句法一覧（標準形の照合）,https://lawcityblog.com/kanbun-kukei-list/,なし
