"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-24-03-001","中世以来、商工業が発達したネーデルラントは、どの川の河口付近に位置するか？","ライン川。","フランドル地方では毛織物生産が発展した。","場所","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","387","169"
"WH-24-03-002","ネーデルラントのなかで、中世以来の毛織物生産の中心だった地方は？","フランドル地方。","スペイン領時代にも、毛織物の生産と交易によって栄えた。","場所","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","387","169"
"WH-24-03-003","スペイン領ネーデルラントの北部7州と南部10州は、資料では現在のどの国に対応するとされるか？","北部7州はオランダ、南部10州はベルギー。","独立した北部と、スペイン領にとどまった南部の位置関係を押さえる。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","387","171"
"WH-24-03-004","資料では、ネーデルラント北部と南部の産業にどのような違いがあったと説明しているか？","北部は海運・漁業・農業、南部はフランドルを中心とする毛織物産業が発達した。","表では北部の造船業・中継貿易、南部の牧畜も挙げられている。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","387","171"
"WH-24-03-005","スペイン領ネーデルラントの各州には、もともとどのような政治的権利が認められていたか？","大幅な自治権。","フェリペ2世が自治権を奪おうとしたことが、反乱の背景となった。","内容","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","387","171"
"WH-24-03-006","オランダ独立戦争期のネーデルラントでは、北部と南部にそれぞれどの宗派が優勢になったか？","北部はカルヴァン派のゴイセン、南部はカトリック。","新教徒が北部に集まる一方、南部ではカトリックの勢力が強くなった。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","387","189"
"WH-24-03-007","オランダ独立戦争の原因となったフェリペ2世の政策を、宗教・課税・自治の3点で答えなさい。","カトリックの強制、重税、各州の自治権の剥奪。","宗教問題だけでなく、経済的負担や自治への介入が反発を招いた。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","202"
"WH-24-03-008","オランダ独立戦争に、カルヴァン派だけでなくカトリック教徒も参加したのはなぜか？","重税や自治権の剥奪は、宗派にかかわらず人々の不満を招いたため。","当初は北部・南部、新教・旧教を越えて反乱が広がった。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","204"
"WH-24-03-009","オランダ独立戦争を指導し、ネーデルラント連邦共和国の初代総督となった人物は？","オラニエ公ウィレム（1世）。","北部だけでなく南部にも働きかけ、スペインへの反乱を広げた。","人物","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","207"
"WH-24-03-010","オラニエ公ウィレムを指導者として、オランダ独立戦争が始まったのは何年か？","1568年。","1648年の正式な独立承認までを数えると80年となる。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","207"
"WH-24-03-011","独立戦争の途中、カトリックが優勢な南部10州はどのような立場になったか？","反乱から脱落し、スペインの支配下にとどまった。","独立したのは北部7州であり、ネーデルラント全域ではない。","結果","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","209"
"WH-24-03-012","1579年、スペインに徹底抗戦するため、ネーデルラント北部7州が結成した同盟は？","ユトレヒト同盟。","南部10州が反乱から脱落した後、北部の結束を固めた。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","210"
"WH-24-03-013","ネーデルラント北部7州がユトレヒト同盟を結成したのは何年か？","1579年。","1581年の独立宣言に先立って、北部の同盟が結成された。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","210"
"WH-24-03-014","ユトレヒト同盟とオランダ独立運動の中心となった北部の州は？","ホラント州。","新教徒が集まった反乱の中心地でもあった。","場所","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","210"
"WH-24-03-015","1581年の独立宣言によって成立した、オランダの国家の名称は？","ネーデルラント連邦共和国。","北部7州がフェリペ2世の統治権を否定し、独立を宣言した。","主体","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","211"
"WH-24-03-016","ネーデルラント北部が独立を宣言したのは何年か？","1581年。","1609年の事実上の独立承認や1648年の正式承認とは異なる。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","211"
"WH-24-03-017","ネーデルラント連邦共和国で、オラニエ公ウィレムが最初に務めた指導者の役職は？","総督。","資料では、ウィレムを共和国の初代総督としている。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","212"
"WH-24-03-018","エリザベス1世がオランダ独立戦争を支援した政治的目的は何か？","敵対するスペインを弱体化させるため。","イギリスの反スペイン政策と、オランダの独立運動が結びついた。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","213"
"WH-24-03-019","オランダの独立を支援するイギリスに対し、スペインが派遣した無敵艦隊が敗れた1588年の海戦は？","アルマダ海戦。","スペインのイギリス侵攻が失敗し、その威信は大きく揺らいだ。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","214"
"WH-24-03-020","スペインが休戦条約によって、オランダの独立を事実上承認したのは何年か？","1609年。","戦争継続が困難となったスペインは休戦したが、正式承認は1648年だった。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","215"
"WH-24-03-021","1648年、オランダの独立が正式に承認された条約は？","ウェストファリア条約。","1609年の休戦条約による事実上の承認と区別する。","用語の特定","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","216"
"WH-24-03-022","ウェストファリア条約によって、オランダの独立が正式に承認されたのは何年か？","1648年。","独立宣言から直ちに、スペインの正式承認が得られたわけではない。","時期","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","216"
"WH-24-03-023","オランダ独立に関する1581年・1609年・1648年の出来事を、それぞれ答えなさい。","1581年は独立宣言、1609年は休戦による事実上の承認、1648年はウェストファリア条約による正式承認。","独立の宣言・事実上の承認・正式承認という三つの段階を区別する。","関係","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","216"
"WH-24-03-024","ネーデルラントの新教徒を弾圧するため、フェリペ2世が派遣した人物は？","アルバ公。","厳しい弾圧は、新教徒の反発をさらに強めた。","人物","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","220"
"WH-24-03-025","独立戦争中、ネーデルラント南部でカトリックが優勢になった背景は何か？","各地の新教徒が、反乱の中心地である北部のホラント州に集まったため。","南部が反乱から離れ、北部が結束するという展開につながった。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","388","222"
"WH-24-03-026","スペインが1609年にオランダとの休戦に応じた主な理由は何か？","財政が悪化し、戦争を続けることが困難になったため。","休戦によってオランダの独立が事実上承認された。","原因","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","389","238"
"WH-24-03-027","オランダ独立戦争の展開を、南北の分裂・北部の結束・独立承認の順に説明しなさい。","南部10州はスペイン領にとどまり、北部7州はユトレヒト同盟と独立宣言を経て、1609年に事実上、1648年に正式に独立を承認された。","ネーデルラント全域が一斉に独立したわけではない点が重要である。","統合説明","一問一答","","24_近世のヨーロッパ①（スペイン・オランダ）.md","389","240"
