dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000111,94,共通テスト基礎,時代・歴史区分,五胡十六国時代,ごこじゅうろっこくじだい,,古代,東アジア,中国・華北,西晋末期〜北魏の華北統一,310,WH-C03-000111-B01,beginner,用語の特定,identify,西晋(せいしん)末期から華北に五胡(ごこ)や漢民族の諸国が相次いで成立し、抗争した時代は？,五胡十六国時代(ごこじゅうろっこくじだい),五胡十六国時代,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.156〜157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000111,94,共通テスト基礎,時代・歴史区分,五胡十六国時代,ごこじゅうろっこくじだい,,古代,東アジア,中国・華北,西晋末期〜北魏の華北統一,310,WH-C03-000111-B02,beginner,主体,actor,五胡十六国時代(ごこじゅうろっこくじだい)の「五胡(ごこ)」に数えられる五つの集団は？,鮮卑(せんぴ)・匈奴(きょうど)・羯(けつ)・羌(きょう)・氐(てい),鮮卑|匈奴|羯|羌|氐,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.156〜157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000111,94,共通テスト基礎,時代・歴史区分,五胡十六国時代,ごこじゅうろっこくじだい,,古代,東アジア,中国・華北,西晋末期〜北魏の華北統一,310,WH-C03-000111-B03,beginner,人物,person,五胡十六国時代(ごこじゅうろっこくじだい)の始まりに、南匈奴(みなみきょうど)の漢を建てた人物は？,劉淵(りゅうえん),劉淵,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.156〜157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000111,94,共通テスト基礎,時代・歴史区分,五胡十六国時代,ごこじゅうろっこくじだい,,古代,東アジア,中国・華北,西晋末期〜北魏の華北統一,310,WH-C03-000111-B04,beginner,主体,actor,五胡十六国時代(ごこじゅうろっこくじだい)に一時華北を統一した、氐(てい)が建てた国は？,前秦,前秦,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.156〜157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000111,94,共通テスト基礎,時代・歴史区分,五胡十六国時代,ごこじゅうろっこくじだい,,古代,東アジア,中国・華北,西晋末期〜北魏の華北統一,310,WH-C03-000111-R01,reverse,内容,content,五胡十六国時代(ごこじゅうろっこくじだい)はどのような時代か？,**西晋(せいしん)末期からの中国・華北**で、**鮮卑(せんぴ)・匈奴(きょうど)・羯(けつ)・羌(きょう)・氐(てい)**などの勢力や漢民族の諸国が抗争した時代である。劉淵(りゅうえん)の漢（のちの前趙）などが成立し、一時は**前秦**が華北を統一した。,西晋末期からの中国・華北|鮮卑|匈奴|羯|羌|氐|前秦,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.156〜157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000111,94,共通テスト基礎,時代・歴史区分,五胡十六国時代,ごこじゅうろっこくじだい,,古代,東アジア,中国・華北,西晋末期〜北魏の華北統一,310,WH-C03-000111-I01,integrated,統合説明,integrated,「五胡十六国時代(ごこじゅうろっこくじだい)」について説明せよ。,**西晋(せいしん)末期からの中国・華北**で、**鮮卑(せんぴ)・匈奴(きょうど)・羯(けつ)・羌(きょう)・氐(てい)**などの勢力や漢民族の諸国が抗争した時代である。劉淵(りゅうえん)の漢（のちの前趙）などが成立し、一時は**前秦**が華北を統一した。,西晋末期からの中国・華北|鮮卑|匈奴|羯|羌|氐|前秦,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.156〜157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000112,95,共通テスト基礎,国家・王朝,東晋,とうしん,,古代,東アジア,中国・江南と建康,西晋滅亡後〜420年,317,WH-C03-000112-B01,beginner,主体,identify,西晋(せいしん)滅亡後、皇族の司馬睿(しばえい)が建康(けんこう)を都として江南に再興した王朝は？,東晋(とうしん),東晋,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000112,95,共通テスト基礎,国家・王朝,東晋,とうしん,,古代,東アジア,中国・江南と建康,西晋滅亡後〜420年,317,WH-C03-000112-B02,beginner,人物,person,東晋(とうしん)を建てた人物は？,司馬睿(しばえい),司馬睿,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000112,95,共通テスト基礎,国家・王朝,東晋,とうしん,,古代,東アジア,中国・江南と建康,西晋滅亡後〜420年,317,WH-C03-000112-B03,beginner,場所,place,東晋(とうしん)の都は？,建康(けんこう),建康,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.157,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜4 五胡十六国時代と東晋,WH-C03-000112,95,共通テスト基礎,国家・王朝,東晋,とうしん,,古代,東アジア,中国・江南と建康,西晋滅亡後〜420年,317,WH-C03-000112-B04,beginner,内容,content,東晋(とうしん)が移住者も戸籍に登録して課税しようとした政策は？,土断法(どだんほう),土断法,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.157,
