dataset_label,item_id,importance_rank,difficulty_label,curriculum_scope,domain,unit,subunit,item,reading,aliases,prerequisite_ids,time_sensitivity,reference_date,legal_basis,card_id,card_type,focus,question,answer,accepted_answers,explanation,confusable_with,distinction,formula,answer_unit,memory_aid,source_name,source_url,reading_map
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000001,1,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,公共,こうきょう,なし,なし,stable,該当なし,なし,PE-000001-C01,identify,社会の構成員が対話と協働を通じて、共通の利益や課題を扱う領域。,次の説明に当てはまる用語は何か。社会の構成員が対話と協働を通じて、共通の利益や課題を扱う領域。,公共,公共,社会の構成員が対話と協働を通じて、共通の利益や課題を扱う領域。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000002,2,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,公共的な空間,こうきょうてきなくうかん,なし,なし,stable,該当なし,なし,PE-000002-C01,identify,個人や多様な集団が共に生き、社会の課題を話し合い解決する場。,次の説明に当てはまる用語は何か。個人や多様な集団が共に生き、社会の課題を話し合い解決する場。,公共的な空間,公共的な空間,個人や多様な集団が共に生き、社会の課題を話し合い解決する場。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000003,3,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,個人の尊厳,こじんのそんげん,なし,なし,stable,該当なし,なし,PE-000003-C01,identify,一人ひとりをかけがえのない人格として尊重する原理。,次の説明に当てはまる用語は何か。一人ひとりをかけがえのない人格として尊重する原理。,個人の尊厳,個人の尊厳,一人ひとりをかけがえのない人格として尊重する原理。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000004,4,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,基本的人権,きほんてきじんけん,なし,なし,stable,該当なし,なし,PE-000004-C01,identify,人が生まれながらに持ち、国家権力も原則として侵してはならない権利。,次の説明に当てはまる用語は何か。人が生まれながらに持ち、国家権力も原則として侵してはならない権利。,基本的人権,基本的人権,人が生まれながらに持ち、国家権力も原則として侵してはならない権利。,公共の福祉,基本的人権が原則、公共の福祉は人権相互の調整原理。,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000005,5,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,公共の福祉,こうきょうのふくし,なし,なし,stable,該当なし,なし,PE-000005-C01,identify,人権相互の衝突を調整し、すべての人の権利を共に保障するための原理。,次の説明に当てはまる用語は何か。人権相互の衝突を調整し、すべての人の権利を共に保障するための原理。,公共の福祉,公共の福祉,人権相互の衝突を調整し、すべての人の権利を共に保障するための原理。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000006,6,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,自由,じゆう,なし,なし,stable,該当なし,なし,PE-000006-C01,identify,他者の権利を侵さない範囲で、自ら考え選択し行動できること。,次の説明に当てはまる用語は何か。他者の権利を侵さない範囲で、自ら考え選択し行動できること。,自由,自由,他者の権利を侵さない範囲で、自ら考え選択し行動できること。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000007,7,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,平等,びょうどう,なし,なし,stable,該当なし,なし,PE-000007-C01,identify,人種・信条・性別・社会的身分などによる不合理な差別を受けないこと。,次の説明に当てはまる用語は何か。人種・信条・性別・社会的身分などによる不合理な差別を受けないこと。,平等,平等,人種・信条・性別・社会的身分などによる不合理な差別を受けないこと。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000008,8,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,公正,こうせい,なし,なし,stable,該当なし,なし,PE-000008-C01,identify,手続や分配が、関係者に対して偏りなく妥当であること。,次の説明に当てはまる用語は何か。手続や分配が、関係者に対して偏りなく妥当であること。,公正,公正,手続や分配が、関係者に対して偏りなく妥当であること。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000009,9,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,正義,せいぎ,なし,なし,stable,該当なし,なし,PE-000009-C01,identify,社会の制度や行為を、権利・義務・分配の妥当性から評価する基準。,次の説明に当てはまる用語は何か。社会の制度や行為を、権利・義務・分配の妥当性から評価する基準。,正義,正義,社会の制度や行為を、権利・義務・分配の妥当性から評価する基準。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000010,10,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,責任,せきにん,なし,なし,stable,該当なし,なし,PE-000010-C01,identify,自らの選択や行為の結果を引き受け、必要な説明や対応を行うこと。,次の説明に当てはまる用語は何か。自らの選択や行為の結果を引き受け、必要な説明や対応を行うこと。,責任,責任,自らの選択や行為の結果を引き受け、必要な説明や対応を行うこと。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000011,11,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,合意形成,ごういけいせい,なし,なし,stable,該当なし,なし,PE-000011-C01,identify,異なる意見を持つ人々が対話し、受け入れ可能な共通決定をつくること。,次の説明に当てはまる用語は何か。異なる意見を持つ人々が対話し、受け入れ可能な共通決定をつくること。,合意形成,合意形成,異なる意見を持つ人々が対話し、受け入れ可能な共通決定をつくること。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000012,12,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,利害調整,りがいちょうせい,なし,なし,stable,該当なし,なし,PE-000012-C01,identify,対立する利益や要求の間に、妥協点やルールを設けること。,次の説明に当てはまる用語は何か。対立する利益や要求の間に、妥協点やルールを設けること。,利害調整,利害調整,対立する利益や要求の間に、妥協点やルールを設けること。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
政治・経済 Deck 1 公共・政治・経済の骨格,PE-000013,13,Deck 1・骨格,公共,複合,公共の基本原理,公共・政治思想,寛容,かんよう,なし,なし,stable,該当なし,なし,PE-000013-C01,identify,自分と異なる価値観や生き方を、権利侵害がない限り認める態度。,次の説明に当てはまる用語は何か。自分と異なる価値観や生き方を、権利侵害がない限り認める態度。,寛容,寛容,自分と異なる価値観や生き方を、権利侵害がない限り認める態度。,なし,なし,なし,なし,なし,文部科学省「高等学校学習指導要領解説 公民編」,https://www.mext.go.jp/content/20211102-mxt_kyoiku02-100002620_04.pdf,なし
