"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-16-02-001","一問一答","人物","宋を建国し、太祖と呼ばれた人物は？","趙匡胤。","北宋の建国者。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L43"
"WHSO-05-16-02-002","一問一答","場所","北宋の都はどこか？","開封（汴京）。","南宋の都である臨安と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L43"
"WHSO-05-16-02-003","一問一答","時期","北宋が建国されたのは何年か？","960年。","五代最後の後周にかわって成立した。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L43"
"WHSO-05-16-02-004","一問一答","人物","趙匡胤のあとを継ぎ、中国の再統一を完成した皇帝は？","太宗。","太祖の弟で、最後に北漢を征服した。","","16_中華世界の変容（五代十国〜宋）.md","p.255;p.257","L44;L128"
"WHSO-05-16-02-005","一問一答","用語の特定","宋が藩鎮を解体し、文人官僚を中心に進めた政治方針は？","文治主義（文人政治）。","節度使を中心とした武断政治からの転換。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L46-L47"
"WHSO-05-16-02-006","一問一答","用語の特定","宋の科挙で、皇帝自らが試験官となる最終試験は？","殿試。","官僚と皇帝との結びつきを強めた。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L49"
"WHSO-05-16-02-007","一問一答","用語の特定","1004年、北宋とキタイが結んだ和約は？","澶淵の盟。","西夏との慶暦の和約とは相手が異なる。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L51"
"WHSO-05-16-02-008","一問一答","時期","北宋とキタイが澶淵の盟を結んだのは何年か？","1004年。","金による北宋滅亡より前の外交関係。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L51"
"WHSO-05-16-02-009","一問一答","用語の特定","1044年、北宋と西夏が結んだ和約は？","慶暦の和約。","宋が西夏に歳賜を贈る関係となった。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L52"
"WHSO-05-16-02-010","一問一答","人物","神宗のもとで財政再建と軍事力強化を進めた宰相は？","王安石。","改革の諸政策を王安石の新法という。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L53"
"WHSO-05-16-02-011","一問一答","人物","王安石を宰相に登用し、改革を進めさせた北宋の皇帝は？","神宗。","神宗の死後、新法の多くが廃止された。","","16_中華世界の変容（五代十国〜宋）.md","p.255","L53"
"WHSO-05-16-02-012","一問一答","用語の特定","王安石の新法で、政府が特産物を買い上げ、不足地に転売した政策は？","均輸法。","物資の流通を政府が担う財政再建策。","","16_中華世界の変容（五代十国〜宋）.md","p.255;p.261","L55;L274"
"WHSO-05-16-02-013","一問一答","用語の特定","王安石の新法で、小農民に低利で資金を貸した政策は？","青苗法。","地主の高利貸しから農民を保護した。","","16_中華世界の変容（五代十国〜宋）.md","p.255;p.261","L55;L274"
