dataset_label,item_id,importance_rank,difficulty_label,domain,unit,item,reading,aliases,item_type,grammar_info,card_id,card_type,focus,question,answer,accepted_answers,explanation,example_text,example_reading,example_translation,confusable_with,distinction,memory_aid,source_name,source_url,reading_map
古文単語_単語Deck3_難関大・東大向け_300,CJ-000601,601,単語Deck3_難関大・東大向け,語彙,重要形容詞,かたし,かたし,なし,形容詞,品詞=形容詞,CJ-000601-C01,meaning,重要語義1,かたし,難しい,難しい｜困難だ,実現・理解などが容易でない。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000601,601,単語Deck3_難関大・東大向け,語彙,重要形容詞,かたし,かたし,なし,形容詞,品詞=形容詞,CJ-000601-C02,meaning,重要語義2,かたし,めったにない,めったにない｜珍しい,起こることが少なく、得がたい。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000602,602,単語Deck3_難関大・東大向け,語彙,重要形容詞,つつまし,つつまし,なし,形容詞,品詞=形容詞,CJ-000602-C01,meaning,重要語義1,つつまし,遠慮される,遠慮される｜気が引ける｜人目が気になる,人の目や立場を意識して、控えめになる。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000603,603,単語Deck3_難関大・東大向け,語彙,重要形容詞,ものし,ものし,なし,形容詞,品詞=形容詞,CJ-000603-C01,meaning,重要語義1,ものし,不快だ,不快だ｜気に入らない｜いやだ,何となく好ましくなく、気に障る。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000603,603,単語Deck3_難関大・東大向け,語彙,重要形容詞,ものし,ものし,なし,形容詞,品詞=形容詞,CJ-000603-C02,meaning,重要語義2,ものし,扱いにくい,扱いにくい｜難しい,物事が容易でなく、厄介である。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000604,604,単語Deck3_難関大・東大向け,語彙,重要形容詞,いかめし,いかめし,なし,形容詞,品詞=形容詞,CJ-000604-C01,meaning,重要語義1,いかめし,威厳がある,威厳がある｜おごそかだ｜立派だ,堂々としていて、人を圧するような様子。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,威厳=いげん
古文単語_単語Deck3_難関大・東大向け_300,CJ-000604,604,単語Deck3_難関大・東大向け,語彙,重要形容詞,いかめし,いかめし,なし,形容詞,品詞=形容詞,CJ-000604-C02,meaning,重要語義2,いかめし,厳しい,厳しい｜激しい,態度や程度が厳格・強烈である。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000605,605,単語Deck3_難関大・東大向け,語彙,重要形容詞,あやなし,あやなし,なし,形容詞,品詞=形容詞,CJ-000605-C01,meaning,重要語義1,あやなし,わけが分からない,わけが分からない｜筋が通らない,理由や筋道が明らかでない。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000605,605,単語Deck3_難関大・東大向け,語彙,重要形容詞,あやなし,あやなし,なし,形容詞,品詞=形容詞,CJ-000605-C02,meaning,重要語義2,あやなし,つまらない,つまらない｜意味がない,内容や価値が乏しい。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000606,606,単語Deck3_難関大・東大向け,語彙,重要形容詞,うしろやすし,うしろやすし,なし,形容詞,品詞=形容詞,CJ-000606-C01,meaning,重要語義1,うしろやすし,安心だ,安心だ｜心配がない｜頼もしい,後のことを気にせず任せられる。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000607,607,単語Deck3_難関大・東大向け,語彙,重要形容詞,かごとがまし,かごとがまし,なし,形容詞,品詞=形容詞,CJ-000607-C01,meaning,重要語義1,かごとがまし,恨みがましい,恨みがましい｜愚痴っぽい,不満や恨みを訴えるような様子。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000607,607,単語Deck3_難関大・東大向け,語彙,重要形容詞,かごとがまし,かごとがまし,なし,形容詞,品詞=形容詞,CJ-000607-C02,meaning,重要語義2,かごとがまし,言い訳めいている,言い訳めいている｜口実めいている,理由を付けて弁解するような様子。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000608,608,単語Deck3_難関大・東大向け,語彙,重要形容詞,なやまし,なやまし,なし,形容詞,品詞=形容詞,CJ-000608-C01,meaning,重要語義1,なやまし,気分が悪い,気分が悪い｜病気がちだ｜苦しい,身体の具合が悪く、苦しく感じる。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000608,608,単語Deck3_難関大・東大向け,語彙,重要形容詞,なやまし,なやまし,なし,形容詞,品詞=形容詞,CJ-000608-C02,meaning,重要語義2,なやまし,悩ましい,悩ましい｜心苦しい,心が乱れ、苦しむ。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000609,609,単語Deck3_難関大・東大向け,語彙,重要形容詞,まめまめし,まめまめし,なし,形容詞,品詞=形容詞,CJ-000609-C01,meaning,重要語義1,まめまめし,誠実だ,誠実だ｜まじめだ,浮つかず、真剣である。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000609,609,単語Deck3_難関大・東大向け,語彙,重要形容詞,まめまめし,まめまめし,なし,形容詞,品詞=形容詞,CJ-000609-C02,meaning,重要語義2,まめまめし,実用的だ,実用的だ｜実務的だ,風流よりも日常の役に立つことを重んじる。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
古文単語_単語Deck3_難関大・東大向け_300,CJ-000610,610,単語Deck3_難関大・東大向け,語彙,重要形容詞,をこがまし,おこがまし,おこがまし,形容詞,品詞=形容詞,CJ-000610-C01,meaning,重要語義1,をこがまし,ばかげている,ばかげている｜愚かだ,考えや行動が愚かである。,なし,なし,なし,なし,なし,なし,標準古語辞典・検定済み教科書（複数資料照合）,なし,なし
