"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-27-04-001","アメリカ独立革命・フランス革命・ラテンアメリカの独立など、大西洋を取り巻く一連の革命を何というか？","環大西洋革命（大西洋革命）。","導入部で、啓蒙思想や革命運動が地域を越えて影響し合ったことを示す概念として登場する。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","428","23"
"WH-27-04-002","アメリカ独立革命の中心となった、北米東岸のイギリス植民地群を何というか？","イギリス領13植民地。","建設の経緯や産業・宗派は、植民地ごとに異なっていた。","主体","一問一答","","27_産業革命とアメリカ独立革命.md","437","244"
"WH-27-04-003","独立前の北米植民地の北部では、どのような産業・農業が中心だったか？","商工業と、中小自作農による農業。","南部の大規模な奴隷制プランテーションと対比する。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","437","244"
"WH-27-04-004","1620年、ピルグリム＝ファーザーズが北米へ渡る際に乗った船は？","メイフラワー号。","宗教的な自由を求めた人々が、プリマス植民地を建設した。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","437","244"
"WH-27-04-005","1620年にプリマス植民地を建設したピューリタンたちは、何と呼ばれるか？","ピルグリム＝ファーザーズ。","本国での弾圧を逃れた移住の代表例として扱われる。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","437","244"
"WH-27-04-006","ピューリタンが建設したマサチューセッツ植民地で、独立運動の重要な拠点となった都市は？","ボストン。","後にボストン虐殺事件・ボストン茶会事件が起きる。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","437","244"
"WH-27-04-007","ペンシルヴェニア植民地は、どの宗派の人々のために建設されたか？","クウェーカー教徒。","北米植民地への移住は、一つの宗派だけによるものではなかった。","主体","一問一答","","27_産業革命とアメリカ独立革命.md","437","244"
"WH-27-04-008","ペンシルヴェニア植民地の中心で、大陸会議の開催地となった都市は？","フィラデルフィア。","独立前後の政治的な中心地となった。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","437","244"
"WH-27-04-009","独立前の北米植民地の南部では、どのような農業経営が広がっていたか？","奴隷制プランテーションによる、タバコ・藍・米などの大規模栽培。","北部の中小自作農を中心とする農業と区別する。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","437","246"
"WH-27-04-010","13植民地のうち最南部にあり、債務者の救済を目的に最後に建設された植民地は？","ジョージア植民地。","北米に早く建設されたヴァージニア植民地と区別する。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","437","246"
"WH-27-04-011","北米のイギリス植民地で、地域の自治を担う代表的な政治機関は？","植民地議会。","本国から離れて開拓を進めたことが、自治や自主独立の意識を育てた。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","437","248"
"WH-27-04-012","七年戦争以前、イギリスが北米植民地への規制を厳しく取り締まらなかった方針を何というか？","有益なる怠慢。","本国と植民地が、フランスに対抗するうえで対立を避けていた背景がある。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","438","254"
"WH-27-04-013","砂糖類の輸入に高関税を課したが、従来は密貿易が黙認されていた法令は？","糖蜜法。","後の砂糖法は、この従来の法を修正して取り締まりを強めるものだった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","438","254"
"WH-27-04-014","フレンチ＝インディアン戦争後、イギリス本国が植民地への課税を強めた理由は？","長年の戦争で悪化した財政を再建するため。","それまで緩やかだった植民地統制が、強化されることになった。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","438","256"
"WH-27-04-015","七年戦争後、イギリスが植民地人の居住を制限したのは、どの山脈より西側か？","アパラチア山脈。","課税だけでなく、西方への進出にも制限が加えられた。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","438","256"
"WH-27-04-016","英仏植民地戦争の終結後、北米植民地が本国に反発しやすくなった背景は？","フランスの脅威がなくなり、本国の軍事的保護に依存する必要が小さくなったため。","本国は財政上の統制を強めたため、両者の利害が衝突した。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","438","256"
"WH-27-04-017","1764年、砂糖類の輸入課税と密貿易の取り締まり強化を進めた法令は？","砂糖法。","資料では、糖蜜法を修正し税率を下げた一方、実際の徴収を厳しくしたとされる。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","438","260"
"WH-27-04-018","砂糖法は税率を下げたのに、植民地商人の反発を招いたのはなぜか？","以前は密貿易で関税を払わずに済んでいたのに、取り締まりが強化されたため。","法定税率と、実際に徴収される負担は同じではない。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","438","260"
"WH-27-04-019","1765年、新聞・出版物・法律文書などに本国発行の印紙を貼るよう求めた法令は？","印紙法。","植民地は、本国議会による課税を自治権の侵害として批判した。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","438","262"
"WH-27-04-020","印紙法への反対運動で示された、課税と議会代表の関係を表す原則は？","代表なくして課税なし。","植民地は、本国議会に自分たちの代表を送っていなかった。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","438","262"
"WH-27-04-021","植民地側が印紙法を自治権の侵害と考えたのはなぜか？","植民地の代表がいない本国議会が、一方的に課税を決めたため。","税の金額だけでなく、誰が課税を決める権限を持つかが争点だった。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","438","262"
"WH-27-04-022","サミュエル＝アダムズが結成し、印紙法への反対運動を進めた愛国派の秘密結社は？","自由の子。","植民地での反対運動の激化により、印紙法は翌年廃止された。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","438","262"
"WH-27-04-023","1767年、茶・ガラス・紙などの生活必需品に輸入関税を課した諸法は？","タウンゼント諸法。","植民地の反発が続き、後に茶税以外が撤廃された。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","438","264"
"WH-27-04-024","イギリス兵の発砲でボストンの市民に死者が出て、対立が深まった事件は？","ボストン虐殺事件。","茶を船から投棄したボストン茶会事件とは別の出来事である。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","439","270"
"WH-27-04-025","タウンゼント諸法の撤廃時、なお残された税は？","茶税。","茶の貿易をめぐる問題が、その後も本国と植民地の対立点となった。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","439","270"
"WH-27-04-026","1773年、イギリス東インド会社に有利な茶の販売条件を与えた法は？","茶法。","東インド会社の救済が、植民地商人の反発を招いた。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","439","279"
"WH-27-04-027","1773年、植民地の急進派が東インド会社の茶をボストン港へ投げ捨てた事件は？","ボストン茶会事件。","茶法への反発を背景に起きた。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","439","280"
"WH-27-04-028","1774年、植民地の代表がフィラデルフィアに集まり、本国への抗議を決めた会議は？","第1回大陸会議。","この時点では、開戦や分離独立を決めたわけではなかった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","439","281"
"WH-27-04-029","アメリカ独立戦争の開始年と講和の年は？","1775年〜1783年。","1776年の独立宣言は、戦争が始まった後の出来事である。","時期","一問一答","","27_産業革命とアメリカ独立革命.md","439","283"
"WH-27-04-030","1775年4月、イギリス本国軍と植民地の民兵が衝突し、独立戦争が始まった戦いは？","レキシントン・コンコードの戦い。","武器の押収をめぐる対立が、武力衝突に発展した。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","439","284"
"WH-27-04-031","第2回大陸会議で、植民地軍の総司令官に任命された人物は？","ワシントン。","ヴァージニア出身で、後に初代大統領となる。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","439","286"
"WH-27-04-032","1776年に『コモン＝センス』を発表し、独立への支持を広げた人物は？","トマス＝ペイン。","植民地の分離独立と共和政の樹立を訴えた。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","439","287"
"WH-27-04-033","トマス＝ペインが発表し、アメリカ独立を訴えたパンフレットは？","『コモン＝センス』。","独立をめぐって分かれていた植民地の世論に影響した。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","439","287"
