dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030178,125,共通テスト基礎,国家・王朝,吐蕃,とばん,,古代,東アジア,チベット,7世紀、唐の太宗の時代,630,WH-030178-B01,beginner,用語の特定,identify,ソンツェン＝ガンポがチベットを統合し、唐から文成公主を迎えて友好関係を結んだ国は？,吐蕃(とばん),吐蕃,,,,10_古代中国③（隋〜唐）(1).md p.169（関連：174）,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030178,125,共通テスト基礎,国家・王朝,吐蕃,とばん,,古代,東アジア,チベット,7世紀、唐の太宗の時代,630,WH-030178-B02,beginner,地域,place,吐蕃(とばん)が統合した地域は？,チベット,チベット,,,,10_古代中国③（隋〜唐）(1).md p.169（関連：174）,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030178,125,共通テスト基礎,国家・王朝,吐蕃,とばん,,古代,東アジア,チベット,7世紀、唐の太宗の時代,630,WH-030178-B03,beginner,中心人物,person,吐蕃(とばん)の建国者は？,ソンツェン＝ガンポ,ソンツェン＝ガンポ,,,,10_古代中国③（隋〜唐）(1).md p.169（関連：174）,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030178,125,共通テスト基礎,国家・王朝,吐蕃,とばん,,古代,東アジア,チベット,7世紀、唐の太宗の時代,630,WH-030178-B04,beginner,中心人物,person,吐蕃(とばん)の建国者に嫁いだ唐の皇族女性は？,文成公主,文成公主,,,,10_古代中国③（隋〜唐）(1).md p.169（関連：174）,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030178,125,共通テスト基礎,国家・王朝,吐蕃,とばん,,古代,東アジア,チベット,7世紀、唐の太宗の時代,630,WH-030178-B05,beginner,関連する勢力,actor,唐と吐蕃(とばん)が友好関係を結ぶ際、対抗を意識した遊牧国家は？,突厥(とっけつ),突厥,,,,10_古代中国③（隋〜唐）(1).md p.169（関連：174）,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030178,125,共通テスト基礎,国家・王朝,吐蕃,とばん,,古代,東アジア,チベット,7世紀、唐の太宗の時代,630,WH-030178-R01,reverse,内容,reverse,吐蕃(とばん)：何をした？,7世紀、唐の太宗の時代、チベットを**ソンツェン＝ガンポ**が統合して建てた国。突厥(とっけつ)への対抗を考える唐の太宗と友好関係を結び、建国者は唐から**文成公主**を妻として迎えた。,ソンツェン＝ガンポ|文成公主,,,,10_古代中国③（隋〜唐）(1).md p.169（関連：174）,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030178,125,共通テスト基礎,国家・王朝,吐蕃,とばん,,古代,東アジア,チベット,7世紀、唐の太宗の時代,630,WH-030178-I01,integrated,統合説明,integrated,「吐蕃(とばん)」について説明せよ。,7世紀、唐の太宗の時代、チベットを**ソンツェン＝ガンポ**が統合して建てた国。突厥(とっけつ)への対抗を考える唐の太宗と友好関係を結び、建国者は唐から**文成公主**を妻として迎えた。,ソンツェン＝ガンポ|文成公主,,,,10_古代中国③（隋〜唐）(1).md p.169（関連：174）,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030179,126,共通テスト基礎,制度・政策・法律,天可汗,てんかがん,,古代,東アジア,中国北方・唐と遊牧諸民族,630年の東突厥滅亡後、太宗の時代,630,WH-030179-B01,beginner,用語の特定,identify,東突厥(ひがしとっけつ)を破った唐の太宗に、服属した遊牧諸民族が贈った最高支配者としての称号は？,天可汗(てんかがん),天可汗,,,,10_古代中国③（隋〜唐）(1).md p.166・169,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030179,126,共通テスト基礎,制度・政策・法律,天可汗,てんかがん,,古代,東アジア,中国北方・唐と遊牧諸民族,630年の東突厥滅亡後、太宗の時代,630,WH-030179-B02,beginner,中心人物,person,天可汗(てんかがん)の称号を遊牧諸民族から贈られた唐の皇帝は？,太宗,太宗,李世民,,,10_古代中国③（隋〜唐）(1).md p.166・169,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030179,126,共通テスト基礎,制度・政策・法律,天可汗,てんかがん,,古代,東アジア,中国北方・唐と遊牧諸民族,630年の東突厥滅亡後、太宗の時代,630,WH-030179-B03,beginner,関連する勢力,actor,天可汗(てんかがん)の称号を贈られる前、太宗が滅ぼした遊牧国家は？,東突厥(ひがしとっけつ),東突厥,,,,10_古代中国③（隋〜唐）(1).md p.166・169,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030179,126,共通テスト基礎,制度・政策・法律,天可汗,てんかがん,,古代,東アジア,中国北方・唐と遊牧諸民族,630年の東突厥滅亡後、太宗の時代,630,WH-030179-B04,beginner,時期,time,天可汗(てんかがん)の称号につながった、太宗による東突厥(ひがしとっけつ)の滅亡は何年？,630年,630年,,,,10_古代中国③（隋〜唐）(1).md p.166・169,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030179,126,共通テスト基礎,制度・政策・法律,天可汗,てんかがん,,古代,東アジア,中国北方・唐と遊牧諸民族,630年の東突厥滅亡後、太宗の時代,630,WH-030179-R01,reverse,内容,reverse,天可汗(てんかがん)：どんな制度・政策？,630年の東突厥(ひがしとっけつ)滅亡後、太宗の時代、中国北方の遊牧諸民族が、**東突厥**を破った唐の**太宗**に贈った称号。唐の皇帝が、中国だけでなく遊牧諸民族の上に立つ支配者としても認められたことを示す。,東突厥|太宗,,,,10_古代中国③（隋〜唐）(1).md p.166・169,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030179,126,共通テスト基礎,制度・政策・法律,天可汗,てんかがん,,古代,東アジア,中国北方・唐と遊牧諸民族,630年の東突厥滅亡後、太宗の時代,630,WH-030179-I01,integrated,統合説明,integrated,「天可汗(てんかがん)」について説明せよ。,630年の東突厥(ひがしとっけつ)滅亡後、太宗の時代、中国北方の遊牧諸民族が、**東突厥**を破った唐の**太宗**に贈った称号。唐の皇帝が、中国だけでなく遊牧諸民族の上に立つ支配者としても認められたことを示す。,東突厥|太宗,,,,10_古代中国③（隋〜唐）(1).md p.166・169,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030180,127,共通テスト基礎,人物,高宗,こうそう,,古代,東アジア,中国・唐から西域、朝鮮半島へ,649年〜683年に在位,649,WH-030180-B01,beginner,用語の特定,identify,唐の第3代皇帝で、西突厥(にしとっけつ)を服属させ、新羅(しらぎ)と連合して百済(くだら)・高句麗(こうくり)を滅ぼした皇帝は？,高宗,高宗,,,,10_古代中国③（隋〜唐）(1).md p.166・169〜171,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030180,127,共通テスト基礎,人物,高宗,こうそう,,古代,東アジア,中国・唐から西域、朝鮮半島へ,649年〜683年に在位,649,WH-030180-B02,beginner,関連する勢力,actor,高宗が服属させた、東突厥(ひがしとっけつ)とは別の突厥(とっけつ)の勢力は？,西突厥(にしとっけつ),西突厥,,,,10_古代中国③（隋〜唐）(1).md p.166・169〜171,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030180,127,共通テスト基礎,人物,高宗,こうそう,,古代,東アジア,中国・唐から西域、朝鮮半島へ,649年〜683年に在位,649,WH-030180-B03,beginner,時期,time,高宗が西突厥(にしとっけつ)を服属させたのは何年？,657年,657年,,,,10_古代中国③（隋〜唐）(1).md p.166・169〜171,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030180,127,共通テスト基礎,人物,高宗,こうそう,,古代,東アジア,中国・唐から西域、朝鮮半島へ,649年〜683年に在位,649,WH-030180-B04,beginner,関連する勢力,actor,高宗が朝鮮半島への進出で同盟した国は？,新羅(しらぎ),新羅,,,,10_古代中国③（隋〜唐）(1).md p.166・169〜171,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030180,127,共通テスト基礎,人物,高宗,こうそう,,古代,東アジア,中国・唐から西域、朝鮮半島へ,649年〜683年に在位,649,WH-030180-B05,beginner,関連する勢力,actor,高宗が新羅(しらぎ)と連合して滅ぼした二つの国は？,百済(くだら)と高句麗(こうくり),百済と高句麗,高句麗と百済|百済・高句麗,,,10_古代中国③（隋〜唐）(1).md p.166・169〜171,
第3章_第10回_3_唐と東アジア世界〜羈縻政策と冊封体制〜,WH-030180,127,共通テスト基礎,人物,高宗,こうそう,,古代,東アジア,中国・唐から西域、朝鮮半島へ,649年〜683年に在位,649,WH-030180-R01,reverse,時期,time,高宗：在位したのはいつ？,**649年〜683年に在位**,649年〜683年に在位,,,,10_古代中国③（隋〜唐）(1).md p.166・169〜171,
