dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-B01,beginner,用語の特定,identify,西地中海の覇権をめぐって、ローマとカルタゴが三度にわたり戦った戦争は？,ポエニ戦争,ポエニ戦争,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-B02,beginner,時期,time,ポエニ戦争の全体の期間は？,前264〜前146年,前264〜前146年,,,前264年：「盗むよカルタゴ」ポエニ戦争勃発,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-B03,beginner,主体,actor,ポエニ戦争でローマが争った、北アフリカの国家は？,カルタゴ,カルタゴ,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-B04,beginner,場所,place,第1回ポエニ戦争の結果、ローマ最初の属州となった島は？,シチリア島,シチリア島,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-B05,beginner,人物,person,第2回ポエニ戦争でアルプス越えを行ったカルタゴの将軍は？,ハンニバル,ハンニバル,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-B06,beginner,内容,content,第2回ポエニ戦争で、ローマの勝利を決定的にした前202年の戦いは？,ザマの戦い,ザマの戦い,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-B07,beginner,人物,person,第3回ポエニ戦争でカルタゴを滅ぼしたローマの将軍は？,小スキピオ,小スキピオ,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-R01,reverse,原因,cause,ポエニ戦争は、なぜ起きたか？,イタリア半島を統一したローマが海上進出を図り、**西地中海の交易を支配するカルタゴ**と対立したため。最初の直接の契機は、**シチリア島の内紛への双方の介入**だった。,西地中海の交易を支配するカルタゴ|シチリア島の内紛への双方の介入,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-R02,reverse,内容,content,ポエニ戦争は、どのように展開したか？,第1回でローマが**シチリア島**を獲得し、第2回ではハンニバルに苦戦しながら**ザマの戦い**で勝利した。第3回では**前146年にカルタゴを滅ぼし**、西地中海の覇権を確立した。,シチリア島|ザマの戦い|前146年にカルタゴを滅ぼし,,,,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000237,216,共通テスト・必修,戦争,ポエニ戦争,ぽえにせんそう,,古代,ヨーロッパ・地中海世界,西地中海・イタリア・北アフリカ,前264〜前146年,-264,WH-000237-I01,integrated,統合説明,integrated,「ポエニ戦争」について説明せよ。,前264〜前146年、西地中海の覇権をめぐり、シチリア島の内紛への介入を契機として**ローマとカルタゴ**が三度戦った戦争。第1回でローマがシチリア島を獲得し、第2回ではハンニバルの侵攻を受けながら**ザマの戦い**で勝利した。第3回では小スキピオが**前146年にカルタゴを滅ぼし**、ローマが西地中海の覇権を握った。,ローマとカルタゴ|ザマの戦い|前146年にカルタゴを滅ぼし,,,前264年：「盗むよカルタゴ」ポエニ戦争勃発,06_ローマ共和政(1).md pp.100–102,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000238,217,共通テスト・必修,制度・政策・法律,属州,ぞくしゅう,,古代,ヨーロッパ・地中海世界,ローマのイタリア半島外の領土,前264〜前241年の第1回ポエニ戦争以後,-241,WH-000238-B01,beginner,用語の特定,identify,ポエニ戦争以降、ローマがイタリア半島の外に獲得し、総督を派遣して支配した領土は？,属州,属州,,,,06_ローマ共和政(1).md pp.100–103,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000238,217,共通テスト・必修,制度・政策・法律,属州,ぞくしゅう,,古代,ヨーロッパ・地中海世界,ローマのイタリア半島外の領土,前264〜前241年の第1回ポエニ戦争以後,-241,WH-000238-B02,beginner,場所,place,ローマの最初の属州となった島は？,シチリア島,シチリア島,,,,06_ローマ共和政(1).md pp.100–103,
世界史探究_第2章_第06回_04_ポエニ戦争とローマ社会の変化,WH-000238,217,共通テスト・必修,制度・政策・法律,属州,ぞくしゅう,,古代,ヨーロッパ・地中海世界,ローマのイタリア半島外の領土,前264〜前241年の第1回ポエニ戦争以後,-241,WH-000238-B03,beginner,内容,content,属州に派遣され、統治を担った役職は？,属州総督,属州総督,,,,06_ローマ共和政(1).md pp.100–103,
