"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-28-02-001","フランス革命でパリの民衆がバスティーユ牢獄を襲撃した年月日は？","1789年7月14日。","全国三部会、国民議会の成立、球戯場の誓いに続いて起きた。","時期","一問一答","","28_フランス革命.md","446","38"
"WH-28-02-002","1789年8月4日、国民議会が農民の人身的自由などを認めた改革は？","封建的特権の廃止。","この段階では、地代の廃止には補償金の支払いが必要だった。","用語の特定","一問一答","","28_フランス革命.md","446","40"
"WH-28-02-003","1789年のフランス人権宣言の起草者として挙げられる自由主義貴族は？","ラ＝ファイエット。","ミラボーらとともに、革命初期には立憲君主政を目指した。","人物","一問一答","","28_フランス革命.md","446","41"
"WH-28-02-004","1789年10月、食糧難を訴える女性たちの行動を機に国王一家がパリへ移された出来事は？","ヴェルサイユ行進。","女性たちに国民衛兵も続き、国民議会もパリへ移動した。","用語の特定","一問一答","","28_フランス革命.md","446","42"
"WH-28-02-005","1791年6月、ルイ16世一家が国外への逃亡に失敗した事件は？","ヴァレンヌ逃亡事件。","王政への不信を強め、共和派の勢力拡大につながった。","用語の特定","一問一答","","28_フランス革命.md","446","45"
"WH-28-02-006","ヴァレンヌ逃亡事件後、オーストリアとプロイセンが共同でルイ16世救援を呼びかけた宣言は？","ピルニッツ宣言。","資料では宣戦布告ではなく、各国への救援の呼びかけと区別されている。","用語の特定","一問一答","","28_フランス革命.md","446","46"
"WH-28-02-007","国民議会が制定し、立憲君主政を規定したフランス革命期の憲法は？","1791年憲法。","この憲法に基づいて、次の立法議会が成立した。","用語の特定","一問一答","","28_フランス革命.md","446","47"
"WH-28-02-008","国民議会の初期に、ミラボーやラ＝ファイエットらとともに主導権を握った階層は？","自由主義貴族。","国王をなくすのではなく、憲法と議会によって王権を制限しようとした。","主体","一問一答","","28_フランス革命.md","449","134"
"WH-28-02-009","ミラボーやラ＝ファイエットらが、国民議会で目指した政治体制は？","立憲君主政。","イギリスのように、憲法と議会が王権を制限する体制を目指した。","内容","一問一答","","28_フランス革命.md","449","134"
"WH-28-02-010","バスティーユ襲撃直前に、パリで国王や貴族への警戒が高まった主な出来事は？","パリ・ヴェルサイユへの王の軍隊の集結と、改革派ネッケルの解任。","民衆は弾圧を警戒し、武器を取って民兵隊を組織した。","原因","一問一答","","28_フランス革命.md","449","136"
"WH-28-02-011","1789年7月14日、武器弾薬を求めるパリ民衆が襲撃した要塞・牢獄は？","バスティーユ牢獄（要塞）。","政治犯を収容した歴史があり、絶対王政の象徴とされていた。","用語の特定","一問一答","","28_フランス革命.md","450","144"
"WH-28-02-012","パリの民衆がバスティーユに向かった直接の目的は？","武器弾薬を手に入れるため。","国王軍による弾圧への警戒から、民衆が武装を進めていた。","原因","一問一答","","28_フランス革命.md","450","144"
"WH-28-02-013","バスティーユ襲撃後、ルイ16世は国民議会に対してどのような対応をとったか？","国民議会の存在を公認した。","民衆の行動が、国王に議会を認めさせる圧力となった。","結果","一問一答","","28_フランス革命.md","450","144"
"WH-28-02-014","バスティーユ襲撃後、貴族の陰謀の噂から各地で農民が城館を襲った混乱を何というか？","大恐怖。","地方都市の運動と農村の反乱が広がり、国民議会は改革を急いだ。","用語の特定","一問一答","","28_フランス革命.md","450","148"
"WH-28-02-015","国民議会が封建的特権の廃止を決めた直接の背景は？","大恐怖によって広がった全国的な農民反乱を収めるため。","特権の廃止は、民衆や農民の行動への対応でもあった。","原因","一問一答","","28_フランス革命.md","450","148"
"WH-28-02-016","1789年の封建的特権廃止で、無償廃止の対象とされた制度・特権を四つ答えなさい。","農奴制、領主裁判権、十分の一税、免税特権。","農民の身分的自由は認められたが、地代の処理は別だった。","内容","一問一答","","28_フランス革命.md","450","148"
"WH-28-02-017","1789年の改革で、農民が地代を廃止して土地所有権を得るには何が必要とされたか？","約20〜25年分の地代を支払うこと。","無条件・無償の封建地代廃止は、国民公会期の改革と区別する。","内容","一問一答","","28_フランス革命.md","450","148"
"WH-28-02-018","自由・平等や国民主権などを表明した、1789年の全17カ条の宣言は？","人権宣言（人間および市民の権利の宣言）。","ラ＝ファイエットらが起草し、資料ではルソーの影響が強いとされる。","用語の特定","一問一答","","28_フランス革命.md","450","150"
"WH-28-02-019","フランス人権宣言に強い影響を与えた思想家として、資料が挙げているのは誰か？","ルソー。","国民主権や自由・平等の思想と関連づけて説明されている。","人物","一問一答","","28_フランス革命.md","450","150"
"WH-28-02-020","フランス人権宣言が表明した、権利や政治原理を四つ挙げなさい。","自由、権利の平等、国民主権、私有財産の不可侵。","このほか、法の支配、安全、圧政への抵抗も本文に挙げられる。","内容","一問一答","","28_フランス革命.md","450","150"
