dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第18回_03_明の衰退,WH-180042,194,標準,人物,張居正,ちょうきょせい,,近世,東アジア,中国,16世紀後半（万暦帝期）,1572,WH-180042-B01,beginner,用語の特定,identify,万暦帝(ばんれきてい)の即位初期に改革を主導し、全国的な検地と一条鞭法(いちじょうべんぽう)の普及で財政再建を図った政治家は？,張居正(ちょうきょせい),張居正,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180042,194,標準,人物,張居正,ちょうきょせい,,近世,東アジア,中国,16世紀後半（万暦帝期）,1572,WH-180042-B02,beginner,中心人物,person,張居正(ちょうきょせい)が補佐した明の皇帝は？,万暦帝(ばんれきてい),万暦帝,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180042,194,標準,人物,張居正,ちょうきょせい,,近世,東アジア,中国,16世紀後半（万暦帝期）,1572,WH-180042-B03,beginner,内容,content,張居正(ちょうきょせい)が全国的に普及させた税制は？,一条鞭法(いちじょうべんぽう),一条鞭法,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180042,194,標準,人物,張居正,ちょうきょせい,,近世,東アジア,中国,16世紀後半（万暦帝期）,1572,WH-180042-B04,beginner,内容,content,張居正(ちょうきょせい)が未登録の農地を調べるため全国的に行った調査は？,検地,検地,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180042,194,標準,人物,張居正,ちょうきょせい,,近世,東アジア,中国,16世紀後半（万暦帝期）,1572,WH-180042-B05,beginner,国家・勢力・社会集団,actor,張居正(ちょうきょせい)の中央集権的な改革に反発した地方の有力者層は？,郷紳(きょうしん),郷紳,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180042,194,標準,人物,張居正,ちょうきょせい,,近世,東アジア,中国,16世紀後半（万暦帝期）,1572,WH-180042-R01,reverse,複合説明,reverse,張居正(ちょうきょせい)は何をした？,16世紀後半の中国で、明の**万暦帝(ばんれきてい)**を補佐した主席内閣大学士。**タタールとの講和**で軍事費を抑え、全国的な検地と**一条鞭法(いちじょうべんぽう)**の普及で財政を再建したが、地方の**郷紳(きょうしん)**などの反発も招いた。,万暦帝|タタールとの講和|一条鞭法|郷紳,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180042,194,標準,人物,張居正,ちょうきょせい,,近世,東アジア,中国,16世紀後半（万暦帝期）,1572,WH-180042-I01,integrated,統合説明,integrated,「張居正(ちょうきょせい)」について説明せよ。,16世紀後半の中国で、明の**万暦帝(ばんれきてい)**を補佐した主席内閣大学士。**タタールとの講和**で軍事費を抑え、全国的な検地と**一条鞭法(いちじょうべんぽう)**の普及で財政を再建したが、地方の**郷紳(きょうしん)**などの反発も招いた。,万暦帝|タタールとの講和|一条鞭法|郷紳,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180043,315,発展,人物,万暦帝,ばんれきてい,神宗,近世,東アジア,中国,1572〜1620年（在位）,1572,WH-180043-B01,beginner,用語の特定,identify,明後期に張居正(ちょうきょせい)が政治を補佐し、その死後に党争や財政難が深刻化した皇帝は？,万暦帝(ばんれきてい),万暦帝,神宗,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180043,315,発展,人物,万暦帝,ばんれきてい,神宗,近世,東アジア,中国,1572〜1620年（在位）,1572,WH-180043-B02,beginner,中心人物,person,万暦帝(ばんれきてい)の即位初期に改革を主導した内閣大学士は？,張居正(ちょうきょせい),張居正,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
第18回_03_明の衰退,WH-180043,315,発展,人物,万暦帝,ばんれきてい,神宗,近世,東アジア,中国,1572〜1620年（在位）,1572,WH-180043-B03,beginner,内容,content,万暦帝(ばんれきてい)のもとで張居正(ちょうきょせい)が全国に普及させた税制は？,一条鞭法(いちじょうべんぽう),一条鞭法,,,,"18_中華帝国の繁栄（明・清）(1).md pp.282,288–289",
