dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-B01,beginner,用語の特定,identify,ラクダを使い、砂漠の岩塩と西アフリカの金を取引した交易は？,サハラ交易,サハラ交易,塩金交易,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-B02,beginner,内容,content,サハラ交易で西アフリカの金と交換された、砂漠側の主要産品は？,岩塩,岩塩,,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-B03,beginner,内容,content,サハラ交易に用いられた主要な運搬用の動物は？,ラクダ,ラクダ,,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-B04,beginner,時期,time,サハラ交易が発展し始めたのはいつ？,4世紀ごろ,4世紀ごろ,,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-B05,beginner,国家・勢力,actor,サハラ交易を背景に7世紀ごろから繁栄した王国は？,ガーナ王国,ガーナ王国,,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-R01,reverse,時期,time,発展し始めたのはいつ？,**4世紀ごろ**,4世紀ごろ,,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-R02,reverse,核心内容,reverse,何を結び、何につながった？,ラクダを用いて**サハラの岩塩**と**西アフリカの金**を取引した。交易を背景に**ガーナ王国**や**マリ王国**が繁栄し、西アフリカへのイスラーム教の流入も進んだ。,サハラの岩塩|西アフリカの金|ガーナ王国|マリ王国,,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000067,83,大学受験・標準,経済・交易,サハラ交易,さはらこうえき,塩金交易,中世,アフリカ,サハラ砂漠と西アフリカ,4世紀ごろ以降,350,WHS-000067-I01,integrated,統合説明,integrated,「サハラ交易」について説明せよ。,**4世紀ごろ**から、ラクダを用いて**サハラの岩塩**と**西アフリカの金**を取引した交易。**ガーナ王国**や**マリ王国**の繁栄を支え、西アフリカへのイスラーム教の流入にもつながった。,4世紀ごろ|サハラの岩塩|西アフリカの金|ガーナ王国|マリ王国,,,,01_islamic_world_formation.md p.331〜332,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-B01,beginner,用語の特定,identify,交易路の変化で繁栄し、ムハンマドがイスラーム教を創始したアラビア半島の商業都市は？,メッカ,メッカ,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-B02,beginner,国家・勢力,actor,メッカの住民で、ムハンマドも属した部族は？,クライシュ族,クライシュ族,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-B03,beginner,原因,cause,メッカを経由する交易路が発達した背景にある、抗争を激化させた二大勢力は？,ササン朝と東ローマ帝国,ササン朝と東ローマ帝国,東ローマ帝国とササン朝|ササン朝とビザンツ帝国,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-B04,beginner,時期,time,メッカをムハンマドが無血征服したのは何年？,630年,630年,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-R01,reverse,時期,time,交易の中継地として繁栄し始めたのはいつ？,**6世紀後半**,6世紀後半,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-R02,reverse,核心内容,reverse,どこに位置し、どのような役割を果たした？,アラビア半島西部の**ヒジャーズ地方**に位置する。**ササン朝**と**東ローマ帝国**の抗争による交易路の変化で商業都市として繁栄し、ムハンマドがイスラーム教を創始したが、当初は支配者たちが彼を迫害した。,ヒジャーズ地方|ササン朝|東ローマ帝国,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-R03,reverse,核心内容,reverse,ムハンマドとの対立はどう決着した？,ムハンマドの軍に対して**クライシュ族**が降伏し、**630年**に無血征服された。,クライシュ族|630年,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000001,42,大学受験・標準,地域・都市,メッカ,めっか,,中世,西アジア,アラビア半島・ヒジャーズ地方,6世紀後半〜7世紀,570,WHS-000001-I01,integrated,統合説明,integrated,「メッカ」について説明せよ。,6世紀後半、アラビア半島西部のヒジャーズ地方で、**ササン朝**と**東ローマ帝国**の抗争に伴う交易路の変化によって繁栄した商業都市。ムハンマドがイスラーム教を創始したが支配者たちに迫害され、のちにクライシュ族が降伏して**630年**にムハンマドに無血征服された。,ササン朝|東ローマ帝国|630年,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-B01,beginner,用語の特定,identify,アッラーの啓示を受けた預言者として、メッカでイスラーム教を創始した人物は？,ムハンマド,ムハンマド,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-B02,beginner,時期,time,ムハンマドがイスラーム教を創始したのはいつ？,610年ごろ,610年ごろ,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-B03,beginner,地域,place,ムハンマドがヒジュラで逃れた都市は？,メディナ,メディナ,ヤスリブ,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-B04,beginner,関連,relation,ムハンマドが授かった神の言葉をまとめた聖典は？,コーラン,コーラン,クルアーン,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-B05,beginner,時期,time,ムハンマドがメッカを無血征服したのは何年？,630年,630年,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-B06,beginner,時期,time,ムハンマドが亡くなったのは何年？,632年,632年,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-R01,reverse,時期,time,布教を始めてから死去するまでの時期は？,**610年ごろ〜632年**,610年ごろ〜632年,,,,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-R02,reverse,核心内容,reverse,何をした？,メッカで唯一神**アッラー**への帰依(きえ)を説き、イスラーム教を創始した。迫害を受けて**622年**にメディナへ移住する**ヒジュラ**を行い、**ウンマ**を形成し、630年にはメッカを無血征服して、さらにアラビア半島を統一した。,アッラー|622年|ヒジュラ|ウンマ,,,622：「ムハンマド　ヒジュラで　浪人になる」ヒジュラ【聖遷】,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000002,1,大学受験・基礎,人物,ムハンマド,むはんまど,,中世,西アジア,アラビア半島・メッカ／メディナ,610年ごろ〜632年,610,WHS-000002-I01,integrated,統合説明,integrated,「ムハンマド」について説明せよ。,610年ごろ、アラビア半島のメッカで唯一神**アッラー**への帰依(きえ)を説いてイスラーム教を創始した預言者。**622年**の**ヒジュラ**でメディナへ移り、**ウンマ**を形成したのち、630年にメッカを無血征服してアラビア半島を統一し、632年に死去した。授かった神の言葉は聖典**『コーラン』**にまとめられた。,アッラー|622年|ヒジュラ|ウンマ|コーラン,,,622：「ムハンマド　ヒジュラで　浪人になる」ヒジュラ【聖遷】,01_islamic_world_formation.md p.317〜319,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-B01,beginner,用語の特定,identify,ムハンマドが創始し、唯一神アッラーへの帰依(きえ)とムスリムの平等を説いた宗教は？,イスラーム教,イスラーム教,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-B02,beginner,中心人物,person,イスラーム教を創始した人物は？,ムハンマド,ムハンマド,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-B03,beginner,時期,time,イスラーム教が成立したのはいつ？,610年ごろ,610年ごろ,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-B04,beginner,内容,content,イスラーム教が信仰する唯一神は？,アッラー,アッラー,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-B05,beginner,関連,relation,イスラーム教で信者に義務づけられる、六つの信仰と五つの実践の総称は？,六信五行(ろくしんごぎょう),六信五行,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-R01,reverse,時期,time,成立したのはいつ？,**610年ごろ**,610年ごろ,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-R02,reverse,核心内容,reverse,どんな宗教？,アラビア半島のメッカで**ムハンマド**が創始した一神教。唯一神**アッラー**への信仰、**偶像崇拝の禁止**、ムスリムの平等を説き、**六信五行(ろくしんごぎょう)**を義務づけ、聖典『コーラン』は政治や生活全般も規定する。,ムハンマド|アッラー|偶像崇拝の禁止|六信五行,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000003,2,大学受験・基礎,宗教・宗派,イスラーム教,いすらーむきょう,,中世,西アジア,アラビア半島・メッカ,610年ごろ成立,610,WHS-000003-I01,integrated,統合説明,integrated,「イスラーム教」について説明せよ。,610年ごろ、アラビア半島のメッカで**ムハンマド**が創始した一神教。唯一神**アッラー**への信仰、**偶像崇拝の禁止**、ムスリムの平等を説き、**六信五行(ろくしんごぎょう)**を義務づけ、聖典『コーラン』で政治や生活全般も規定する。,ムハンマド|アッラー|偶像崇拝の禁止|六信五行,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000005,43,大学受験・標準,宗教・宗派,六信五行,ろくしんごぎょう,,中世,西アジア,アラビア半島を起点とするイスラーム世界,7世紀に成立したイスラーム教の教え,610,WHS-000005-B01,beginner,用語の特定,identify,イスラーム教でムスリムに義務づけられる、六つの信仰と五つの実践を合わせた呼び名は？,六信五行(ろくしんごぎょう),六信五行,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000005,43,大学受験・標準,宗教・宗派,六信五行,ろくしんごぎょう,,中世,西アジア,アラビア半島を起点とするイスラーム世界,7世紀に成立したイスラーム教の教え,610,WHS-000005-B02,beginner,内容,content,六信五行(ろくしんごぎょう)の六信のうち、唯一神への信仰の対象は？,アッラー,アッラー,,,,01_islamic_world_formation.md p.317〜318,
イスラーム世界：形成・専制帝国・文化（150用語）,WHS-000005,43,大学受験・標準,宗教・宗派,六信五行,ろくしんごぎょう,,中世,西アジア,アラビア半島を起点とするイスラーム世界,7世紀に成立したイスラーム教の教え,610,WHS-000005-B03,beginner,内容,content,六信五行(ろくしんごぎょう)の五行のうち、ラマダーンの昼間に飲食を断つ実践は？,断食,断食,,,,01_islamic_world_formation.md p.317〜318,
