dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-B01,beginner,用語の特定,identify,アルサケスがセレウコス朝から独立して建て、クテシフォンを都として東西交易で繁栄し、中国では安息(あんそく)と呼ばれた国は？,パルティア王国,パルティア王国,パルティア|安息,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-B02,beginner,中心人物,person,パルティア王国を建国した人物は？,アルサケス,アルサケス,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-B03,beginner,関係する勢力,actor,パルティア王国が独立した相手の王朝は？,セレウコス朝シリア,セレウコス朝シリア,セレウコス朝,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-B04,beginner,地域,place,パルティア王国の都となった、ティグリス川に面する都市は？,クテシフォン,クテシフォン,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-B05,beginner,中心人物,person,前53年にパルティア王国が破って戦死させたローマの政治家は？,クラッスス,クラッスス,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-B06,beginner,結果,result,パルティア王国を滅ぼしたイラン系農耕民の王朝は？,ササン朝,ササン朝,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-R01,reverse,複合説明,reverse,「パルティア王国」：成立したのはいつ・どこ？,**前248年ころ**、カスピ海の南東でイラン系遊牧民のアルサケスが独立した。,前248年ころ,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-R02,reverse,複合説明,reverse,「パルティア王国」：何をした？,セレウコス朝から独立して西アジアへ拡大し、**クテシフォン**を都として**シルクロード交易**で繁栄した。ローマと抗争し、前53年にはクラッススを破ったが、地方勢力の台頭や東西の国境紛争で衰退し、3世紀にササン朝に滅ぼされた。,クテシフォン|シルクロード交易,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-R03,reverse,複合説明,reverse,「パルティア王国」：文化はどう変化した？,当初はヘレニズム文化の影響が強く、**ギリシア語（コイネー）**を公用語とした。**1世紀ころ**からイランの伝統文化が復活し、アラム文字で表記したイラン系言語も使われるようになった。,ギリシア語（コイネー）|1世紀ころ,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000060,45,共通テスト・必修,国家・王朝,パルティア王国,ぱるてぃあおうこく,パルティア|安息,古代,西アジア・北アフリカ,カスピ海南東から西アジア（クテシフォン）,前248年ころに成立、3世紀に滅亡,-248,WH-000060-I01,integrated,統合説明,integrated,「パルティア王国」について説明せよ。,**前248年ころ**、イラン系遊牧民のアルサケスがセレウコス朝から独立してカスピ海南東に建てた国で、クテシフォンを都に西アジアの**シルクロード交易**で繁栄した。ローマと争って前53年にクラッススを破り、文化面では当初のギリシア語使用から、1世紀ころ以降のイラン伝統文化の復活へと変化した。地方勢力の台頭や国境紛争で衰え、**3世紀**にササン朝に滅ぼされた。,前248年ころ|シルクロード交易|3世紀,,,,02_古代オリエント世界の統一(2).md pp.39–41,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000061,104,共通テスト・重要,人物,アルサケス,あるさけす,,古代,西アジア・北アフリカ,カスピ海南東,前248年ころ,-248,WH-000061-B01,beginner,用語の特定,identify,イラン系遊牧民パルニ族の族長として独立し、パルティア王国を建てた人物は？,アルサケス,アルサケス,,,,02_古代オリエント世界の統一(2).md pp.39–40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000061,104,共通テスト・重要,人物,アルサケス,あるさけす,,古代,西アジア・北アフリカ,カスピ海南東,前248年ころ,-248,WH-000061-B02,beginner,結果,result,アルサケスが建てた国は？,パルティア王国,パルティア王国,パルティア,,,02_古代オリエント世界の統一(2).md pp.39–40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000061,104,共通テスト・重要,人物,アルサケス,あるさけす,,古代,西アジア・北アフリカ,カスピ海南東,前248年ころ,-248,WH-000061-B03,beginner,関係する勢力,actor,アルサケスが独立した相手の王朝は？,セレウコス朝シリア,セレウコス朝シリア,セレウコス朝,,,02_古代オリエント世界の統一(2).md pp.39–40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000061,104,共通テスト・重要,人物,アルサケス,あるさけす,,古代,西アジア・北アフリカ,カスピ海南東,前248年ころ,-248,WH-000061-B04,beginner,地域,place,アルサケスが独立した場所は、カスピ海のどちら側？,南東,南東,,,,02_古代オリエント世界の統一(2).md pp.39–40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000061,104,共通テスト・重要,人物,アルサケス,あるさけす,,古代,西アジア・北アフリカ,カスピ海南東,前248年ころ,-248,WH-000061-R01,reverse,複合説明,reverse,「アルサケス」：何をした？,**前248年ころ**、イラン系遊牧民パルニ族の族長として、**カスピ海南東**でセレウコス朝から独立し、**パルティア王国**を建てた。中国の「安息(あんそく)」という呼称はその名の当て字とされる。,前248年ころ|カスピ海南東|パルティア王国,,,,02_古代オリエント世界の統一(2).md pp.39–40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000061,104,共通テスト・重要,人物,アルサケス,あるさけす,,古代,西アジア・北アフリカ,カスピ海南東,前248年ころ,-248,WH-000061-I01,integrated,統合説明,integrated,「アルサケス」について説明せよ。,**前248年ころ**、**カスピ海南東**でセレウコス朝から独立し、パルティア王国を建てたイラン系遊牧民パルニ族の族長。中国での国名**安息(あんそく)**は、その名の当て字とされる。,前248年ころ|カスピ海南東|安息,,,,02_古代オリエント世界の統一(2).md pp.39–40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000062,129,共通テスト・補強,人物,ミトラダテス1世,みとらだてすいっせい,,古代,西アジア・北アフリカ,西アジア（セレウキア・クテシフォン）,前2世紀半ば,-150,WH-000062-B01,beginner,用語の特定,identify,前2世紀半ば、セレウキアを占領し、ティグリス川対岸にクテシフォンを建設したパルティアの王は？,ミトラダテス1世,ミトラダテス1世,,,,02_古代オリエント世界の統一(2).md pp.40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000062,129,共通テスト・補強,人物,ミトラダテス1世,みとらだてすいっせい,,古代,西アジア・北アフリカ,西アジア（セレウキア・クテシフォン）,前2世紀半ば,-150,WH-000062-B02,beginner,関係する勢力,actor,ミトラダテス1世が統治した国は？,パルティア王国,パルティア王国,パルティア,,,02_古代オリエント世界の統一(2).md pp.40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000062,129,共通テスト・補強,人物,ミトラダテス1世,みとらだてすいっせい,,古代,西アジア・北アフリカ,西アジア（セレウキア・クテシフォン）,前2世紀半ば,-150,WH-000062-B03,beginner,地域,place,ミトラダテス1世が占領したセレウコス朝の都は？,セレウキア,セレウキア,,,,02_古代オリエント世界の統一(2).md pp.40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000062,129,共通テスト・補強,人物,ミトラダテス1世,みとらだてすいっせい,,古代,西アジア・北アフリカ,西アジア（セレウキア・クテシフォン）,前2世紀半ば,-150,WH-000062-B04,beginner,地域,place,ミトラダテス1世がティグリス川の対岸に建設した新都は？,クテシフォン,クテシフォン,,,,02_古代オリエント世界の統一(2).md pp.40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000062,129,共通テスト・補強,人物,ミトラダテス1世,みとらだてすいっせい,,古代,西アジア・北アフリカ,西アジア（セレウキア・クテシフォン）,前2世紀半ば,-150,WH-000062-R01,reverse,複合説明,reverse,「ミトラダテス1世」：何をした？,**前2世紀半ば**、パルティアの王として西アジアへ勢力を広げ、セレウコス朝の都**セレウキア**を占領した。ティグリス川の対岸に、のちの都となる**クテシフォン**を建設した。,前2世紀半ば|セレウキア|クテシフォン,,,,02_古代オリエント世界の統一(2).md pp.40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000062,129,共通テスト・補強,人物,ミトラダテス1世,みとらだてすいっせい,,古代,西アジア・北アフリカ,西アジア（セレウキア・クテシフォン）,前2世紀半ば,-150,WH-000062-I01,integrated,統合説明,integrated,「ミトラダテス1世」について説明せよ。,**前2世紀半ば**、パルティアを西アジアへ拡大させ、セレウコス朝の都**セレウキア**を占領した王。ティグリス川対岸に、のちの都**クテシフォン**を建設した。,前2世紀半ば|セレウキア|クテシフォン,,,,02_古代オリエント世界の統一(2).md pp.40,
世界史探究_第1章_第02回_04_パルティアとササン朝,WH-000063,46,共通テスト・必修,国家・王朝,ササン朝,ささんちょう,,古代,西アジア・北アフリカ,イラン・メソポタミア（クテシフォン）,3世紀に成立〜651年,200,WH-000063-B01,beginner,用語の特定,identify,アルダシール1世がパルティアを滅ぼして建て、ゾロアスター教を国教とし、クテシフォンを都としたイラン人王朝は？,ササン朝,ササン朝,,,,02_古代オリエント世界の統一(2).md pp.39–43,
