dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第4回_02_ギリシア世界の誕生,WH-020012,5,共通テスト基礎,国家・王朝,ポリス,ぽりす,,古代,地中海世界,ギリシア,前8世紀以降,-800,WH-020012-B01,beginner,用語の特定,identify,前8世紀のギリシアに出現し、中心市と周辺農村から成る都市国家は？,ポリス,ポリス,,,,04_古代ギリシア世界の成立(3).md p.67〜70,
第2章_第4回_02_ギリシア世界の誕生,WH-020012,5,共通テスト基礎,国家・王朝,ポリス,ぽりす,,古代,地中海世界,ギリシア,前8世紀以降,-800,WH-020012-B02,beginner,時期,time,ポリスがギリシアに出現したのはいつ？,前8世紀,前8世紀,,,,04_古代ギリシア世界の成立(3).md p.67〜70,
第2章_第4回_02_ギリシア世界の誕生,WH-020012,5,共通テスト基礎,国家・王朝,ポリス,ぽりす,,古代,地中海世界,ギリシア,前8世紀以降,-800,WH-020012-B03,beginner,関連,relation,集住型のポリスの代表例は？,アテネ,アテネ,,,,04_古代ギリシア世界の成立(3).md p.67〜70,
第2章_第4回_02_ギリシア世界の誕生,WH-020012,5,共通テスト基礎,国家・王朝,ポリス,ぽりす,,古代,地中海世界,ギリシア,前8世紀以降,-800,WH-020012-B04,beginner,関連,relation,征服型のポリスの代表例は？,スパルタ,スパルタ,,,,04_古代ギリシア世界の成立(3).md p.67〜70,
第2章_第4回_02_ギリシア世界の誕生,WH-020012,5,共通テスト基礎,国家・王朝,ポリス,ぽりす,,古代,地中海世界,ギリシア,前8世紀以降,-800,WH-020012-R01,reverse,時期,time,ポリスがギリシアに出現したのはいつ？,前8世紀。,,,,,04_古代ギリシア世界の成立(3).md p.67〜70,
第2章_第4回_02_ギリシア世界の誕生,WH-020012,5,共通テスト基礎,国家・王朝,ポリス,ぽりす,,古代,地中海世界,ギリシア,前8世紀以降,-800,WH-020012-R02,reverse,複合説明,reverse,ポリスはどんなしくみで成立した？,ギリシアの貴族・平民が一体となる共同体から、中心市と周辺農村を持つ都市国家が生まれた。**アテネは集住型**、**スパルタは征服型**の代表で、市民は強い連帯感を持った。,アテネは集住型|スパルタは征服型,,,,04_古代ギリシア世界の成立(3).md p.67〜70,
第2章_第4回_02_ギリシア世界の誕生,WH-020012,5,共通テスト基礎,国家・王朝,ポリス,ぽりす,,古代,地中海世界,ギリシア,前8世紀以降,-800,WH-020012-I01,integrated,統合説明,integrated,「ポリス」について説明せよ。,前8世紀のギリシアに出現した、貴族や平民が一体となって活動する共同体を基盤とする都市国家。代表的な形態は、アテネのような**集住型**と、スパルタのような**征服型**で、中心市と周辺農村から成り、市民は強い連帯感を持った。,集住型|征服型,,,,04_古代ギリシア世界の成立(3).md p.67〜70,
第2章_第4回_02_ギリシア世界の誕生,WH-020013,167,共通テスト標準,制度・政策・法律,集住,しゅうじゅう,シノイキスモス,古代,地中海世界,ギリシア・アテネ,前8世紀以降,-800,WH-020013-B01,beginner,用語の特定,identify,ギリシアで、村落の人びとが有力貴族の指導下にアクロポリスを中心としてまとまることは？,集住,集住,シノイキスモス,,,04_古代ギリシア世界の成立(3).md p.67〜68,
第2章_第4回_02_ギリシア世界の誕生,WH-020013,167,共通テスト標準,制度・政策・法律,集住,しゅうじゅう,シノイキスモス,古代,地中海世界,ギリシア・アテネ,前8世紀以降,-800,WH-020013-B02,beginner,関連,relation,集住によって成立した代表的ポリスは？,アテネ,アテネ,,,,04_古代ギリシア世界の成立(3).md p.67〜68,
第2章_第4回_02_ギリシア世界の誕生,WH-020013,167,共通テスト標準,制度・政策・法律,集住,しゅうじゅう,シノイキスモス,古代,地中海世界,ギリシア・アテネ,前8世紀以降,-800,WH-020013-B03,beginner,地域,place,ギリシアの集住で中心となった、神殿を置く高所は？,アクロポリス,アクロポリス,,,,04_古代ギリシア世界の成立(3).md p.67〜68,
