dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第2章_第4回_04_アテネ民主政の発展,WH-020029,10,共通テスト基礎,国家・王朝,アテネ,あてね,,古代,地中海世界,ギリシア・アッティカ地方,前8世紀半ば以降,-750,WH-020029-B01,beginner,用語の特定,identify,イオニア人がアッティカ地方に建設し、貴族政から民主政への改革を進めた集住型ポリスは？,アテネ,アテネ,,,,04_古代ギリシア世界の成立(3).md p.71〜75,
第2章_第4回_04_アテネ民主政の発展,WH-020029,10,共通テスト基礎,国家・王朝,アテネ,あてね,,古代,地中海世界,ギリシア・アッティカ地方,前8世紀半ば以降,-750,WH-020029-B02,beginner,関係する勢力・集団,actor,アテネを建設したギリシア人の一派は？,イオニア人,イオニア人,,,,04_古代ギリシア世界の成立(3).md p.71〜75,
第2章_第4回_04_アテネ民主政の発展,WH-020029,10,共通テスト基礎,国家・王朝,アテネ,あてね,,古代,地中海世界,ギリシア・アッティカ地方,前8世紀半ば以降,-750,WH-020029-B03,beginner,地域,place,アテネが位置する地方は？,アッティカ地方,アッティカ地方,,,,04_古代ギリシア世界の成立(3).md p.71〜75,
第2章_第4回_04_アテネ民主政の発展,WH-020029,10,共通テスト基礎,国家・王朝,アテネ,あてね,,古代,地中海世界,ギリシア・アッティカ地方,前8世紀半ば以降,-750,WH-020029-B04,beginner,時期,time,アテネが王政から貴族政になったのはいつ？,前8世紀半ば,前8世紀半ば,,,,04_古代ギリシア世界の成立(3).md p.71〜75,
第2章_第4回_04_アテネ民主政の発展,WH-020029,10,共通テスト基礎,国家・王朝,アテネ,あてね,,古代,地中海世界,ギリシア・アッティカ地方,前8世紀半ば以降,-750,WH-020029-B05,beginner,内容,content,貴族政時代のアテネで、ポリスを統治した役人は？,アルコン,アルコン,,,,04_古代ギリシア世界の成立(3).md p.71〜75,
第2章_第4回_04_アテネ民主政の発展,WH-020029,10,共通テスト基礎,国家・王朝,アテネ,あてね,,古代,地中海世界,ギリシア・アッティカ地方,前8世紀半ば以降,-750,WH-020029-R01,reverse,複合説明,reverse,アテネの政治はどのように変わり始めた？,イオニア人がギリシアの**アッティカ地方**に建設した集住型ポリスで、前8世紀半ばに王政から**貴族政**へ移った。貴族が**アルコン**や**アレオパゴス評議会**を通じて政治を独占したが、重装歩兵となった平民が政治参加を求め、民主政へ向けた改革が進んだ。,アッティカ地方|貴族政|アルコン|アレオパゴス評議会,,,,04_古代ギリシア世界の成立(3).md p.71〜75,
第2章_第4回_04_アテネ民主政の発展,WH-020029,10,共通テスト基礎,国家・王朝,アテネ,あてね,,古代,地中海世界,ギリシア・アッティカ地方,前8世紀半ば以降,-750,WH-020029-I01,integrated,統合説明,integrated,「アテネ」について説明せよ。,イオニア人がギリシアの**アッティカ地方**に建設した集住型ポリスで、前8世紀半ばに王政から**貴族政**へ移った。貴族が**アルコン**や**アレオパゴス評議会**を通じて政治を独占したが、重装歩兵となった平民が政治参加を求め、民主政へ向けた改革が進んだ。,アッティカ地方|貴族政|アルコン|アレオパゴス評議会,,,,04_古代ギリシア世界の成立(3).md p.71〜75,
第2章_第4回_04_アテネ民主政の発展,WH-020030,178,共通テスト標準,制度・政策・法律,アルコン,あるこん,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020030-B01,beginner,用語の特定,identify,貴族政時代のアテネで、ポリスを統治した9人の役人は？,アルコン,アルコン,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020030,178,共通テスト標準,制度・政策・法律,アルコン,あるこん,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020030-B02,beginner,関係する勢力・集団,actor,初期のアテネでアルコンに就任できた身分は？,貴族,貴族,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020030,178,共通テスト標準,制度・政策・法律,アルコン,あるこん,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020030-B03,beginner,関連,relation,アルコンの経験者が構成した評議会は？,アレオパゴス評議会,アレオパゴス評議会,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020030,178,共通テスト標準,制度・政策・法律,アルコン,あるこん,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020030-R01,reverse,複合説明,reverse,アルコンはどんな役職？,前8世紀半ば以降のアテネの貴族政で、ポリスを統治した**9人の役人**。当初は**貴族だけ**が就任でき、その経験者が**アレオパゴス評議会**を構成して重要事項を話し合った。,9人の役人|貴族だけ|アレオパゴス評議会,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020030,178,共通テスト標準,制度・政策・法律,アルコン,あるこん,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020030-I01,integrated,統合説明,integrated,「アルコン」について説明せよ。,前8世紀半ば以降のアテネの貴族政で、ポリスを統治した**9人の役人**。当初は**貴族だけ**が就任でき、その経験者が**アレオパゴス評議会**を構成して重要事項を話し合った。,9人の役人|貴族だけ|アレオパゴス評議会,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020031,179,共通テスト標準,組織・政党,アレオパゴス評議会,あれおぱごすひょうぎかい,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020031-B01,beginner,用語の特定,identify,アテネの貴族政で、アルコン経験者が集まり重要な決定を話し合った機関は？,アレオパゴス評議会,アレオパゴス評議会,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020031,179,共通テスト標準,組織・政党,アレオパゴス評議会,あれおぱごすひょうぎかい,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020031-B02,beginner,関係する勢力・集団,actor,アレオパゴス評議会を構成したのは、どの役職の経験者？,アルコン,アルコン,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020031,179,共通テスト標準,組織・政党,アレオパゴス評議会,あれおぱごすひょうぎかい,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020031-B03,beginner,関係する勢力・集団,actor,初期のアテネでアレオパゴス評議会を占めた身分は？,貴族,貴族,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020031,179,共通テスト標準,組織・政党,アレオパゴス評議会,あれおぱごすひょうぎかい,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020031-R01,reverse,複合説明,reverse,アレオパゴス評議会はどんな機関？,前8世紀半ば以降のアテネの貴族政で、**アルコン経験者**が構成し、重要な決定を話し合った機関。アルコンは**貴族**に限られたため、平民を排除する貴族の政治独占を支えた。,アルコン経験者|貴族,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020031,179,共通テスト標準,組織・政党,アレオパゴス評議会,あれおぱごすひょうぎかい,,古代,地中海世界,ギリシア・アテネ,前8世紀半ば以降の貴族政,-750,WH-020031-I01,integrated,統合説明,integrated,「アレオパゴス評議会」について説明せよ。,前8世紀半ば以降のアテネの貴族政で、**アルコン経験者**が構成し、重要な決定を話し合った機関。アルコンは**貴族**に限られたため、平民を排除する貴族の政治独占を支えた。,アルコン経験者|貴族,,,,04_古代ギリシア世界の成立(3).md p.71〜72,
第2章_第4回_04_アテネ民主政の発展,WH-020032,11,共通テスト基礎,制度・政策・法律,ドラコンの立法,どらこんのりっぽう,,古代,地中海世界,ギリシア・アテネ,前7世紀後半,-650,WH-020032-B01,beginner,用語の特定,identify,前7世紀後半のアテネで、貴族が運用していた慣習法を成文化した立法は？,ドラコンの立法,ドラコンの立法,,,,04_古代ギリシア世界の成立(3).md p.72,
第2章_第4回_04_アテネ民主政の発展,WH-020032,11,共通テスト基礎,制度・政策・法律,ドラコンの立法,どらこんのりっぽう,,古代,地中海世界,ギリシア・アテネ,前7世紀後半,-650,WH-020032-B02,beginner,時期,time,ドラコンの立法が行われたのはいつ？,前7世紀後半,前7世紀後半,,,,04_古代ギリシア世界の成立(3).md p.72,
第2章_第4回_04_アテネ民主政の発展,WH-020032,11,共通テスト基礎,制度・政策・法律,ドラコンの立法,どらこんのりっぽう,,古代,地中海世界,ギリシア・アテネ,前7世紀後半,-650,WH-020032-B03,beginner,内容,content,ドラコンの立法の中心的内容を、法の形式の変化で答えよ。,慣習法の成文化,慣習法の成文化,,,,04_古代ギリシア世界の成立(3).md p.72,
第2章_第4回_04_アテネ民主政の発展,WH-020032,11,共通テスト基礎,制度・政策・法律,ドラコンの立法,どらこんのりっぽう,,古代,地中海世界,ギリシア・アテネ,前7世紀後半,-650,WH-020032-B04,beginner,結果,result,ドラコンの立法で実現しなかった、平民の政治上の要求は？,政治参加,政治参加,,,,04_古代ギリシア世界の成立(3).md p.72,
第2章_第4回_04_アテネ民主政の発展,WH-020032,11,共通テスト基礎,制度・政策・法律,ドラコンの立法,どらこんのりっぽう,,古代,地中海世界,ギリシア・アテネ,前7世紀後半,-650,WH-020032-R01,reverse,時期,time,ドラコンの立法が行われたのはいつ？,前7世紀後半。,,,,,04_古代ギリシア世界の成立(3).md p.72,
第2章_第4回_04_アテネ民主政の発展,WH-020032,11,共通テスト基礎,制度・政策・法律,ドラコンの立法,どらこんのりっぽう,,古代,地中海世界,ギリシア・アテネ,前7世紀後半,-650,WH-020032-R02,reverse,複合説明,reverse,ドラコンの立法は何を定め、どんな限界があった？,アテネで**慣習法を成文化**し、裁判の基準を平民にも明らかにした。しかし、内容は厳しい刑罰などが中心で、**平民の政治参加要求**には応えなかった。,慣習法を成文化|平民の政治参加要求,,,,04_古代ギリシア世界の成立(3).md p.72,
第2章_第4回_04_アテネ民主政の発展,WH-020032,11,共通テスト基礎,制度・政策・法律,ドラコンの立法,どらこんのりっぽう,,古代,地中海世界,ギリシア・アテネ,前7世紀後半,-650,WH-020032-I01,integrated,統合説明,integrated,「ドラコンの立法」について説明せよ。,前7世紀後半のアテネで、**ドラコン**が貴族と平民の対立を背景に行った**慣習法の成文化**。裁判の運営や基準を平民にも明らかにしたが、厳しい刑罰などを定めるにとどまり、**平民の政治参加要求には応えなかった**。,ドラコン|慣習法の成文化|平民の政治参加要求には応えなかった,,,,04_古代ギリシア世界の成立(3).md p.72,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-B01,beginner,用語の特定,identify,負債の帳消し・債務奴隷の禁止と、財産に応じた参政権・軍役の設定を行ったアテネの改革は？,ソロンの改革,ソロンの改革,,,,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-B02,beginner,時期,time,ソロンの改革が行われたのはいつ？,前594年,前594年,,,前594年：「行くよそろそろ、ソロンの改革」ソロンの改革,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-B03,beginner,中心人物,person,ソロンの改革を行ったとき、ソロンが就いていた役職は？,アルコン,アルコン,,,,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-B04,beginner,内容,content,ソロンの改革で禁止された、身体を抵当に入れた借財から生じる奴隷は？,債務奴隷,債務奴隷,,,,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-B05,beginner,内容,content,ソロンの改革で、市民の財産に応じて参政権と軍役を定めた政治は？,財産政治,財産政治,,,,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-B06,beginner,内容,content,ソロンの改革では、財産によって市民を何等級に分けた？,4等級,4等級,,,,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-R01,reverse,時期,time,ソロンの改革が行われたのはいつ？,前594年。,,,,前594年：「行くよそろそろ、ソロンの改革」ソロンの改革,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-R02,reverse,複合説明,reverse,ソロンの改革では何を行い、どんな限界があった？,アテネのアルコン**ソロン**が、**負債の帳消し**と**債務奴隷の禁止**で自作農民を保護した。財産で市民を**4等級**に分け、参政権と軍役を決める**財産政治**を実施したが、下層民の不満は残った。,ソロン|負債の帳消し|債務奴隷の禁止|4等級|財産政治,,,,04_古代ギリシア世界の成立(3).md p.72〜73,
第2章_第4回_04_アテネ民主政の発展,WH-020033,12,共通テスト基礎,制度・政策・法律,ソロンの改革,そろんのかいかく,,古代,地中海世界,ギリシア・アテネ,前594年,-594,WH-020033-I01,integrated,統合説明,integrated,「ソロンの改革」について説明せよ。,前594年、アテネでアルコンとなった**ソロン**が行った改革。**負債の帳消し・債務奴隷の禁止**で自作農民を保護し、財産に応じて市民を4等級に分け、参政権と軍役を定める**財産政治**を実施した。富裕平民の政治参加は進んだが、下層民の不満は解消されなかった。,ソロン|負債の帳消し・債務奴隷の禁止|財産政治,,,前594年：「行くよそろそろ、ソロンの改革」ソロンの改革,04_古代ギリシア世界の成立(3).md p.72〜73,
