"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-18-03-001","一問一答","人物","明の万暦帝のもとで財政再建の改革を進めた、主席内閣大学士は？","張居正。","若くして即位した万暦帝にかわり、内政・対外政策の改革を進めた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.288","L58-L59;L274"
"WHSO-05-18-03-002","一問一答","人物","張居正が改革を進めた時期の明の皇帝は？","万暦帝（神宗）。","張居正の死後には、改革が後退して財政難が再び深まった。","","18_中華帝国の繁栄（明・清）.md","p.282;p.288","L58;L274"
"WHSO-05-18-03-003","一問一答","人物","張居正が軍事費を減らすために講和した、タタールの指導者は？","アルタン＝ハン。","対外関係の改善と国内の徴税改革を組み合わせた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.288","L60;L274"
"WHSO-05-18-03-004","一問一答","用語の特定","張居正が全国に普及させた、土地税と人頭税に関わる負担を銀で一括納入させる税制は？","一条鞭法。","すでに江南で始まっていた制度を全国的に広めた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.288;p.289","L61;L274;L276;L284"
"WHSO-05-18-03-005","一問一答","用語の特定","豊臣秀吉による2度の朝鮮侵略を、日本では何というか？","文禄・慶長の役。","朝鮮での呼称は壬辰・丁酉倭乱である。","","18_中華帝国の繁栄（明・清）.md","p.282;p.289","L62;L292"
"WHSO-05-18-03-006","一問一答","用語の特定","豊臣秀吉による2度の朝鮮侵略を、朝鮮では何というか？","壬辰・丁酉倭乱。","日本での文禄・慶長の役と同じ一連の戦争を指す。","","18_中華帝国の繁栄（明・清）.md","p.282;p.289","L62;L292"
"WHSO-05-18-03-007","一問一答","時期","豊臣秀吉の朝鮮侵略が起こった時期は、資料の総覧では何年から何年までか？","1592〜1598年。","2度の出兵と日本軍の撤退に至る期間として示されている。","","18_中華帝国の繁栄（明・清）.md","p.282","L62"
"WHSO-05-18-03-008","一問一答","主体","明末の党争で激しく対立した、二つの派閥は？","東林派と非東林派。","改革をめぐる官僚の対立が、宦官の権力とも結びついた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.289","L63;L298"
"WHSO-05-18-03-009","一問一答","逆向きの説明","一条鞭法とはどのような税制か？","土地税や人頭税に関わる負担を銀額に換算し、まとめて銀で納めさせる税制。","人頭税そのものを廃止した制度ではない。","","18_中華帝国の繁栄（明・清）.md","p.288;p.289","L250-L268;L276;L284"
"WHSO-05-18-03-010","一問一答","内容","張居正は全国的な検地によって、どのような農地を把握しようとしたか？","戸籍に登録されず、徴税の対象から漏れていた農地。","農地を把握し直すことで、税収を確実に確保しようとした。","","18_中華帝国の繁栄（明・清）.md","p.288","L274"
