dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000144,123,共通テスト基礎,人物,李淵,りえん,高祖,古代,東アジア,中国・太原から長安,618年に唐を建国,618,WH-C03-000144-B01,beginner,人物,identify,隋(ずい)末に太原(たいげん)から挙兵して長安へ入り、618年に唐を建てた人物は？,李淵(りえん),李淵,高祖,,,10_古代中国③（隋〜唐）.md pp.165〜166,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000144,123,共通テスト基礎,人物,李淵,りえん,高祖,古代,東アジア,中国・太原から長安,618年に唐を建国,618,WH-C03-000144-B02,beginner,時期,time,李淵(りえん)が唐を建てたのは何年か？,618年,618年,,,618：「李淵は　無理イヤ」唐の建国,10_古代中国③（隋〜唐）.md pp.165〜166,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000144,123,共通テスト基礎,人物,李淵,りえん,高祖,古代,東アジア,中国・太原から長安,618年に唐を建国,618,WH-C03-000144-B03,beginner,場所,place,李淵(りえん)が挙兵する際に守っていた中国の都市は？,太原(たいげん),太原,,,,10_古代中国③（隋〜唐）.md pp.165〜166,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000144,123,共通テスト基礎,人物,李淵,りえん,高祖,古代,東アジア,中国・太原から長安,618年に唐を建国,618,WH-C03-000144-B04,beginner,場所,place,李淵(りえん)が都とした都市は？,長安,長安,,,,10_古代中国③（隋〜唐）.md pp.165〜166,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000144,123,共通テスト基礎,人物,李淵,りえん,高祖,古代,東アジア,中国・太原から長安,618年に唐を建国,618,WH-C03-000144-B05,beginner,人物,person,李淵(りえん)の次男で、唐の統一と国家体制の確立を進めた人物は？,李世民(りせいみん),李世民,太宗,,,10_古代中国③（隋〜唐）.md pp.165〜166,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000144,123,共通テスト基礎,人物,李淵,りえん,高祖,古代,東アジア,中国・太原から長安,618年に唐を建国,618,WH-C03-000144-R01,reverse,内容,content,李淵(りえん)は何をしたか？,隋(ずい)末の中国で**太原(たいげん)**から挙兵して**長安**に入り、618年に唐を建てて高祖となった。各地の対抗勢力を倒して統一を完成させたのは、次男の**李世民(りせいみん)（太宗）**である。,太原|長安|李世民（太宗）,,,618：「李淵は　無理イヤ」唐の建国,10_古代中国③（隋〜唐）.md pp.165〜166,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000144,123,共通テスト基礎,人物,李淵,りえん,高祖,古代,東アジア,中国・太原から長安,618年に唐を建国,618,WH-C03-000144-I01,integrated,統合説明,integrated,「李淵(りえん)」について説明せよ。,隋(ずい)末の中国で**太原(たいげん)**から挙兵して**長安**に入り、618年に唐を建てて高祖となった。各地の対抗勢力を倒して統一を完成させたのは、次男の**李世民(りせいみん)（太宗）**である。,太原|長安|李世民（太宗）,,,618：「李淵は　無理イヤ」唐の建国,10_古代中国③（隋〜唐）.md pp.165〜166,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000145,124,共通テスト基礎,国家・王朝,唐,とう,,古代,東アジア,中国・長安,618〜907年,618,WH-C03-000145-B01,beginner,主体,identify,李淵(りえん)が長安を都として建て、隋(ずい)の制度を継承して律令国家を発展させた王朝は？,唐,唐,,,,10_古代中国③（隋〜唐）.md pp.165〜168（関連：177）,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000145,124,共通テスト基礎,国家・王朝,唐,とう,,古代,東アジア,中国・長安,618〜907年,618,WH-C03-000145-B02,beginner,人物,person,唐の建国者は？,李淵(りえん),李淵,高祖,,,10_古代中国③（隋〜唐）.md pp.165〜168（関連：177）,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000145,124,共通テスト基礎,国家・王朝,唐,とう,,古代,東アジア,中国・長安,618〜907年,618,WH-C03-000145-B03,beginner,場所,place,唐の都は？,長安,長安,,,,10_古代中国③（隋〜唐）.md pp.165〜168（関連：177）,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000145,124,共通テスト基礎,国家・王朝,唐,とう,,古代,東アジア,中国・長安,618〜907年,618,WH-C03-000145-B04,beginner,時期,time,唐の存続期間は？,618〜907年,618〜907年,,,618：「李淵は　無理イヤ」唐の建国|907：「唐の滅亡　連絡くれなきゃ」唐の滅亡,10_古代中国③（隋〜唐）.md pp.165〜168（関連：177）,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000145,124,共通テスト基礎,国家・王朝,唐,とう,,古代,東アジア,中国・長安,618〜907年,618,WH-C03-000145-B05,beginner,人物,person,唐で最大領土を達成した時代の皇帝は？,高宗,高宗,,,,10_古代中国③（隋〜唐）.md pp.165〜168（関連：177）,
第3章 古代の東アジア｜第10回 古代中国③（隋〜唐）｜2 唐の建国と律令国家の完成,WH-C03-000145,124,共通テスト基礎,国家・王朝,唐,とう,,古代,東アジア,中国・長安,618〜907年,618,WH-C03-000145-R01,reverse,内容,content,唐はどのような王朝か？,618〜907年、中国の**長安**を都とした王朝で、**李淵(りえん)（高祖）**が建てた。隋(ずい)の制度を継承して太宗が律令国家を整え、**高宗**の時代に最大領土を実現した。,長安|李淵（高祖）|高宗,,,618：「李淵は　無理イヤ」唐の建国|907：「唐の滅亡　連絡くれなきゃ」唐の滅亡,10_古代中国③（隋〜唐）.md pp.165〜168（関連：177）,
