dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-B01,beginner,用語の特定,identify,前1500年ころパレスチナに定住し、一部がエジプトへ移り、のちにユダヤ人と呼ばれるようになったセム語系民族は？,ヘブライ人,ヘブライ人,,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-B02,beginner,地域,place,ヘブライ人が前1500年ころに定住した、カナーンとも呼ばれる地域は？,パレスチナ,パレスチナ,カナーン,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-B03,beginner,中心人物,person,『旧約聖書』で、ヘブライ人をエジプトから導き出したとされる指導者は？,モーセ,モーセ,,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-B04,beginner,時期,time,『旧約聖書』に沿う資料の説明で、ヘブライ人がパレスチナに王国を成立させたのはいつ？,前1000年ころ,前1000年ころ,,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-B05,beginner,関連,relation,ヘブライ人の苦難の歴史や唯一神への信仰を記した、ユダヤ教の聖典は？,旧約聖書,旧約聖書,,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-R01,reverse,複合説明,reverse,「ヘブライ人」：いつ、どこに定住したとされる？,**前1500年ころ**にパレスチナの**カナーン**へ移り、一部はエジプトへ移住したとされる。,前1500年ころ|カナーン,,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-R02,reverse,複合説明,reverse,「ヘブライ人」：どのような歴史をたどった？,資料が『旧約聖書』に沿って描く歴史では、**モーセ**に導かれてエジプトを脱出し、前1000年ころにパレスチナで**ヘブライ王国**を形成した。王国の分裂・滅亡と**バビロン捕囚(ばびろんほしゅう)**を経験し、捕囚からの解放後にユダヤ教が成立した。,モーセ|ヘブライ王国|バビロン捕囚,,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000035,24,共通テスト・必修,民族・身分・社会集団,ヘブライ人,へぶらいじん,,古代,西アジア・北アフリカ,ユーフラテス川上流域・パレスチナ・エジプト,前1500年ころにパレスチナに定住,-1500,WH-000035-I01,integrated,統合説明,integrated,「ヘブライ人」について説明せよ。,資料が『旧約聖書』に沿って描く歴史では、**前1500年ころ**パレスチナに定住し、一部がエジプトに移住したセム語系民族。モーセに導かれた「出エジプト」の後、前1000年ころに**ヘブライ王国**を形成した。分裂・滅亡と**バビロン捕囚(ばびろんほしゅう)**を経験し、解放後のユダヤ教成立期からユダヤ人と呼ばれるようになった。,前1500年ころ|ヘブライ王国|バビロン捕囚,,,,02_古代オリエント世界の統一(2).md pp.31–32,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000036,100,共通テスト・重要,人物,モーセ,もーせ,,古代,西アジア・北アフリカ,エジプトからパレスチナへ,前13世紀のラメス2世時代として説明,-1300,WH-000036-B01,beginner,用語の特定,identify,『旧約聖書』でヘブライ人を率いてエジプトを脱出し、シナイ山でヤハウェから十戒を授かったとされる預言者は？,モーセ,モーセ,,,,02_古代オリエント世界の統一(2).md pp.31,
世界史探究_第1章_第02回_01_地中海東岸のセム語系民族,WH-000036,100,共通テスト・重要,人物,モーセ,もーせ,,古代,西アジア・北アフリカ,エジプトからパレスチナへ,前13世紀のラメス2世時代として説明,-1300,WH-000036-B02,beginner,関係する勢力,actor,『旧約聖書』で、モーセがエジプトから導き出したとされる民族は？,ヘブライ人,ヘブライ人,,,,02_古代オリエント世界の統一(2).md pp.31,
