"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-26-04-001","モンゴル征服後、ロシア諸侯を支配したモンゴル系の国家は？","キプチャク＝ハン国。","その支配下で、モスクワの大公が勢力を伸ばした。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","405"
"WH-26-04-002","ロシアで、モンゴルの支配を受けた時代を表す呼び名は？","タタールのくびき。","資料では、モンゴル支配の時代を指すロシア側の呼称として説明される。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","405"
"WH-26-04-003","キプチャク＝ハン国との関係を利用して大公となった、モスクワの人物は？","イヴァン1世。","モスクワ大公国の成立と結びつけられる。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","405"
"WH-26-04-004","キプチャク＝ハン国の支配下で成長し、のちにロシアを統合した国家は？","モスクワ大公国。","大公たちは周辺のルーシ諸地域へ支配を広げた。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","405"
"WH-26-04-005","1480年にモンゴルの支配から自立した、モスクワ大公は？","イヴァン3世。","ビザンツ皇帝の一族と結婚し、その後継者としての地位も主張した。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","407"
"WH-26-04-006","モスクワ大公国がイヴァン3世のもとでモンゴル支配から自立したのは何年か？","1480年。","ビザンツ帝国滅亡後、東方正教世界の中心という意識も強まった。","時期","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","407"
"WH-26-04-007","カエサルに由来する、ロシアの君主・皇帝の称号は？","ツァーリ。","資料ではイヴァン3世が称し、イヴァン4世が正式に用いたと区別している。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","407"
"WH-26-04-008","イヴァン3世がモスクワを東方正教会の中心とする際に掲げた理念は？","モスクワは「第3のローマ」である、という理念。","ビザンツ帝国の後継者として、政治と宗教の両面の地位を主張した。","内容","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","407"
"WH-26-04-009","イヴァン3世がビザンツ皇帝の後継者という地位を主張した根拠の一つは？","最後のビザンツ皇帝の姪との結婚。","モスクワ大公国の正教信仰とともに、後継者意識を支えた。","原因","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","407"
"WH-26-04-010","「雷帝」と呼ばれ、正式にツァーリの称号を用いて中央集権化を進めた人物は？","イヴァン4世。","諸侯・貴族の粛清と、ヴォルガ川方面への領土拡大で知られる。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","409"
"WH-26-04-011","イヴァン4世が親衛隊を用い、諸侯や貴族を粛清した政治は？","オプリーチニナ。","君主権の強化と結びつけて説明されている。","用語の特定","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","409"
"WH-26-04-012","イヴァン4世が征服し、ヴォルガ川流域の支配を固めることになった二つのハン国は？","カザン＝ハン国とアストラハン＝ハン国。","いずれもキプチャク＝ハン国の流れをくむ国家である。","主体","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","409"
"WH-26-04-013","カザン＝ハン国とアストラハン＝ハン国の征服で、ロシアが支配を固めた大河の流域は？","ヴォルガ川流域。","東方への進出と国家領域の拡大が進んだ。","場所","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","409"
"WH-26-04-014","イヴァン4世時代、シベリア進出に協力したコサックの首長は？","イェルマーク。","シビル＝ハン国の征服と関連する。","人物","一問一答","","26_近世のヨーロッパ③（ドイツ・ロシア）.md","421","411"
