dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000213,195,共通テスト・必修,文化・技術・学問,ヘレニズム文化,へれにずむぶんか,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征〜前30年,-334,WH-000213-B01,beginner,用語の特定,identify,東方遠征でギリシア文化がオリエントへ広がり、世界市民主義や個人主義を特徴として発展した文化は？,ヘレニズム文化,ヘレニズム文化,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000213,195,共通テスト・必修,文化・技術・学問,ヘレニズム文化,へれにずむぶんか,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征〜前30年,-334,WH-000213-B02,beginner,内容,content,ヘレニズム文化で、ポリスの枠を超え人びとを同じ世界の一員とみなす考え方は？,世界市民主義,世界市民主義,コスモポリタニズム,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000213,195,共通テスト・必修,文化・技術・学問,ヘレニズム文化,へれにずむぶんか,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征〜前30年,-334,WH-000213-B03,beginner,内容,content,ヘレニズム文化で、ポリスより自分自身を重視する考え方は？,個人主義,個人主義,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000213,195,共通テスト・必修,文化・技術・学問,ヘレニズム文化,へれにずむぶんか,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征〜前30年,-334,WH-000213-B04,beginner,場所,place,ヘレニズム文化の学問の中心となった、ムセイオンのある都市は？,アレクサンドリア,アレクサンドリア,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000213,195,共通テスト・必修,文化・技術・学問,ヘレニズム文化,へれにずむぶんか,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征〜前30年,-334,WH-000213-R01,reverse,原因,cause,ヘレニズム文化の思想的な変化は、何を背景としたか？,**前334年の東方遠征から前30年までのヘレニズム時代**、ギリシアから西アジア・エジプトに世界が広がり、**ポリス中心の社会から世界帝国へ**と変化したため。,前334年の東方遠征から前30年までのヘレニズム時代|ポリス中心の社会から世界帝国へ,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000213,195,共通テスト・必修,文化・技術・学問,ヘレニズム文化,へれにずむぶんか,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征〜前30年,-334,WH-000213-R02,reverse,内容,content,ヘレニズム文化には、どのような思想と学問が見られたか？,**世界市民主義と個人主義**が現れ、ストア派・エピクロス派が心の平静を求めた。アレクサンドリアの**ムセイオン**などで自然科学も発達した。,世界市民主義と個人主義|ムセイオン,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000213,195,共通テスト・必修,文化・技術・学問,ヘレニズム文化,へれにずむぶんか,,古代,ヨーロッパ・地中海世界,ギリシア・西アジア・エジプト,前334年の東方遠征〜前30年,-334,WH-000213-I01,integrated,統合説明,integrated,「ヘレニズム文化」について説明せよ。,前334年の東方遠征から前30年までの時代に、ギリシア文化が西アジア・エジプトへ広がって形成された文化。**世界市民主義と個人主義**が生まれ、ストア派・エピクロス派が心の平静を求めた。アレクサンドリアの**ムセイオン**では自然科学が発達した。,世界市民主義と個人主義|ムセイオン,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000214,196,共通テスト・必修,思想・主義,ストア派,すとあは,,古代,ヨーロッパ・地中海世界,ヘレニズム世界,前334年の東方遠征以後のヘレニズム時代,-300,WH-000214-B01,beginner,用語の特定,identify,ゼノンが創始し、感情に流されず理性に従う禁欲主義を説いたヘレニズム時代の哲学派は？,ストア派,ストア派,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000214,196,共通テスト・必修,思想・主義,ストア派,すとあは,,古代,ヨーロッパ・地中海世界,ヘレニズム世界,前334年の東方遠征以後のヘレニズム時代,-300,WH-000214-B02,beginner,人物,person,ストア派を創始した人物は？,ゼノン,ゼノン,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
世界史探究_第2章_第05回_05_ヘレニズム文化,WH-000214,196,共通テスト・必修,思想・主義,ストア派,すとあは,,古代,ヨーロッパ・地中海世界,ヘレニズム世界,前334年の東方遠征以後のヘレニズム時代,-300,WH-000214-B03,beginner,内容,content,ストア派を特徴付ける、欲求や感情を抑えて理性に従う立場は？,禁欲主義,禁欲主義,,,,05_ポリス社会の崩壊とヘレニズム(1).md pp.87・93–94,
