dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000275,249,共通テスト・必修,時代・歴史区分,3世紀の危機,さんせいきのきき,,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀,235,WH-000275-B01,beginner,用語の特定,identify,ローマ帝国で軍人皇帝の乱立、外敵の侵入、重税と都市経済の衰退が重なった混乱を何というか？,3世紀の危機,3世紀の危機,,,,07_ローマ帝国とキリスト教(1).md pp.116–118,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000275,249,共通テスト・必修,時代・歴史区分,3世紀の危機,さんせいきのきき,,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀,235,WH-000275-B02,beginner,内容,content,3世紀の危機で、地方軍団が皇帝を擁立・廃位する時代を何というか？,軍人皇帝時代,軍人皇帝時代,,,,07_ローマ帝国とキリスト教(1).md pp.116–118,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000275,249,共通テスト・必修,時代・歴史区分,3世紀の危機,さんせいきのきき,,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀,235,WH-000275-B03,beginner,主体,actor,3世紀の危機にローマ帝国へ圧力を加えた、北方の人びとと東方の王朝は？,ゲルマン人とササン朝,ゲルマン人とササン朝,,,,07_ローマ帝国とキリスト教(1).md pp.116–118,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000275,249,共通テスト・必修,時代・歴史区分,3世紀の危機,さんせいきのきき,,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀,235,WH-000275-B04,beginner,場所,place,3世紀の危機で、西方の衰退に伴い帝国の経済の中心はどちらへ移ったか？,東方,東方,,,,07_ローマ帝国とキリスト教(1).md pp.116–118,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000275,249,共通テスト・必修,時代・歴史区分,3世紀の危機,さんせいきのきき,,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀,235,WH-000275-R01,reverse,原因,cause,3世紀の危機は、どのような事情が重なって起きたか？,**外敵の侵入**に対応して国境の軍団を強化した結果、地方軍団が強大化し、**皇帝の擁立・廃位**を繰り返した。軍事費の増加は都市への重税をもたらし、交通路の安全も失われた。,外敵の侵入|皇帝の擁立・廃位,,,,07_ローマ帝国とキリスト教(1).md pp.116–118,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000275,249,共通テスト・必修,時代・歴史区分,3世紀の危機,さんせいきのきき,,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀,235,WH-000275-R02,reverse,結果,result,3世紀の危機は、経済や社会をどう変えたか？,**遠隔地商業や都市文化が衰退**し、富裕層が土地を買って田園へ移った。西方の衰退が大きく、政治・経済の重心が**東方へ移動**し、元首政から専制君主政への転換の背景となった。,遠隔地商業や都市文化が衰退|東方へ移動,,,,07_ローマ帝国とキリスト教(1).md pp.116–118,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000275,249,共通テスト・必修,時代・歴史区分,3世紀の危機,さんせいきのきき,,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀,235,WH-000275-I01,integrated,統合説明,integrated,「3世紀の危機」について説明せよ。,3世紀のローマ帝国で、**ゲルマン人・ササン朝の侵入**、**軍人皇帝時代**の政治的混乱、財政難が重なった危機。軍事費増加による重税と交通の不安定化で**都市や遠隔地商業が衰退**し、帝国の重心は東方へ移った。**元首政から専制君主政**への転換の背景となった。,ゲルマン人・ササン朝の侵入|軍人皇帝時代|都市や遠隔地商業が衰退|元首政から専制君主政,,,,07_ローマ帝国とキリスト教(1).md pp.116–118,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000276,250,共通テスト・必修,経済・交易,コロナトゥス,ころなとぅす,コロヌス制,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀の危機へ向かう帝政期以降,200,WH-000276-B01,beginner,用語の特定,identify,ローマ帝国で奴隷制大農場に代わり、解放奴隷・没落農民などをコロヌスとして土地を耕作させた経営形態は？,コロナトゥス,コロナトゥス,コロヌス制,,,07_ローマ帝国とキリスト教(1).md pp.116・120,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000276,250,共通テスト・必修,経済・交易,コロナトゥス,ころなとぅす,コロヌス制,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀の危機へ向かう帝政期以降,200,WH-000276-B02,beginner,主体,actor,コロナトゥスで農業を担う小作人の名称は？,コロヌス,コロヌス,,,,07_ローマ帝国とキリスト教(1).md pp.116・120,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000276,250,共通テスト・必修,経済・交易,コロナトゥス,ころなとぅす,コロヌス制,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀の危機へ向かう帝政期以降,200,WH-000276-B03,beginner,内容,content,コロナトゥスが拡大する前に、奴隷を使っていた大農場経営は？,ラティフンディア,ラティフンディア,ラティフンディウム,,,07_ローマ帝国とキリスト教(1).md pp.116・120,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000276,250,共通テスト・必修,経済・交易,コロナトゥス,ころなとぅす,コロヌス制,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀の危機へ向かう帝政期以降,200,WH-000276-B04,beginner,主体,actor,コロナトゥスの小作人となった主な人びとを、資料に挙げられた三群で答えよ。,解放奴隷・没落農民・ゲルマン人,解放奴隷・没落農民・ゲルマン人,,,,07_ローマ帝国とキリスト教(1).md pp.116・120,
世界史探究_第2章_第07回_02_「3世紀の危機」,WH-000276,250,共通テスト・必修,経済・交易,コロナトゥス,ころなとぅす,コロヌス制,古代,ヨーロッパ・地中海世界,ローマ帝国,3世紀の危機へ向かう帝政期以降,200,WH-000276-R01,reverse,原因,cause,コロナトゥスが広がったのはなぜか？,征服戦争の縮小で**捕虜奴隷の供給が減り**、ラティフンディアの経営が難しくなったため。大土地所有者は、解放奴隷や没落農民などを**小作人コロヌス**として用いた。,捕虜奴隷の供給が減り|小作人コロヌス,,,,07_ローマ帝国とキリスト教(1).md pp.116・120,
