dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究_第24回_04_覇権国家オランダ,WH-240401,98,共通テスト基礎,地域・都市,アムステルダム,あむすてるだむ,,近世,ヨーロッパ,オランダ,17世紀,1600,WH-240401-B01,beginner,用語の特定,identify,独立戦争で破壊されたアントウェルペンから商工業者・金融業者が流入し、17世紀に国際経済・金融の中心となったオランダの都市は？,アムステルダム,アムステルダム,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.389–390,
世界史探究_第24回_04_覇権国家オランダ,WH-240401,98,共通テスト基礎,地域・都市,アムステルダム,あむすてるだむ,,近世,ヨーロッパ,オランダ,17世紀,1600,WH-240401-B02,beginner,時期,time,アムステルダムがオランダの覇権を背景に国際経済・金融の中心となったのは何世紀？,17世紀,17世紀,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.389–390,
世界史探究_第24回_04_覇権国家オランダ,WH-240401,98,共通テスト基礎,地域・都市,アムステルダム,あむすてるだむ,,近世,ヨーロッパ,オランダ,17世紀,1600,WH-240401-B03,beginner,地域,place,アムステルダムに商工業者や金融業者が逃れてきた、戦争で破壊された南部の都市は？,アントウェルペン,アントウェルペン,アントワープ,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.389–390,
世界史探究_第24回_04_覇権国家オランダ,WH-240401,98,共通テスト基礎,地域・都市,アムステルダム,あむすてるだむ,,近世,ヨーロッパ,オランダ,17世紀,1600,WH-240401-B04,beginner,原因,cause,アムステルダムなどに各国の亡命者が集まる背景となった、オランダの宗教への姿勢は？,宗教的寛容,宗教的寛容,宗教に寛容,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.389–390,
世界史探究_第24回_04_覇権国家オランダ,WH-240401,98,共通テスト基礎,地域・都市,アムステルダム,あむすてるだむ,,近世,ヨーロッパ,オランダ,17世紀,1600,WH-240401-R01,reverse,時期・地域,reverse,いつ、どこで繁栄した？,17世紀の**オランダ**で、国際経済・国際金融の中心として繁栄した都市。,オランダ,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.389–390,
世界史探究_第24回_04_覇権国家オランダ,WH-240401,98,共通テスト基礎,地域・都市,アムステルダム,あむすてるだむ,,近世,ヨーロッパ,オランダ,17世紀,1600,WH-240401-R02,reverse,背景・役割,reverse,なぜ繁栄した？,独立戦争で破壊された**アントウェルペン**から商工業者・金融業者が流入し、**宗教的寛容**を背景に各国の亡命者と資本・情報も集まった。,アントウェルペン|宗教的寛容,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.389–390,
世界史探究_第24回_04_覇権国家オランダ,WH-240401,98,共通テスト基礎,地域・都市,アムステルダム,あむすてるだむ,,近世,ヨーロッパ,オランダ,17世紀,1600,WH-240401-I01,integrated,統合説明,integrated,「アムステルダム」について説明せよ。,17世紀の**オランダ**で、国際経済・国際金融の中心として繁栄した都市。独立戦争で破壊された**アントウェルペン**から商工業者・金融業者が流入し、**宗教的寛容**を背景に各国の亡命者と資本・情報も集まった。,オランダ|アントウェルペン|宗教的寛容,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.389–390,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-B01,beginner,用語の特定,identify,1602年、イギリスへの対抗のためオランダの貿易会社を統合してつくられ、バタヴィアを拠点にアジア貿易を進めた会社は？,オランダ東インド会社,オランダ東インド会社,連合東インド会社,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-B02,beginner,時期,time,オランダ東インド会社が設立された年は？,1602年,1602年,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-B03,beginner,国家・勢力,actor,オランダ東インド会社の統合を促した、1600年に東インド会社を設立した対抗国は？,イギリス,イギリス,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-B04,beginner,地域,place,オランダ東インド会社がジャワ島に置いた東南アジア交易の拠点は？,バタヴィア,バタヴィア,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-B05,beginner,関連,relation,オランダ東インド会社がマルク諸島からイギリスを排除することにつながった1623年の事件は？,アンボイナ事件,アンボイナ事件,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-B06,beginner,内容,content,オランダ東インド会社が先駆となった、出資を集める会社形態は？,株式会社,株式会社,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-R01,reverse,成立,reverse,いつ、どのように成立した？,1602年、**オランダ**の貿易会社を統合し、**イギリス東インド会社**に対抗するためにつくられた、株式会社の先駆となる会社。,オランダ|イギリス東インド会社,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-R02,reverse,活動,reverse,何をした？,**ジャワ島のバタヴィア**を拠点に海軍力を使って進出し、**アンボイナ事件**などでイギリスを排除しながら、アジアの**香辛料貿易**を支配した。,ジャワ島のバタヴィア|アンボイナ事件|香辛料貿易,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240402,99,共通テスト基礎,組織・政党,オランダ東インド会社,おらんだひがしいんどがいしゃ,連合東インド会社,近世,ヨーロッパ・アジア,オランダ・アジア,1602年設立,1602,WH-240402-I01,integrated,統合説明,integrated,「オランダ東インド会社」について説明せよ。,1602年、**オランダ**の貿易会社を統合し、**イギリス東インド会社**に対抗するためにつくられた、株式会社の先駆となる会社。**ジャワ島のバタヴィア**を拠点に海軍力を使って進出し、**アンボイナ事件**などでイギリスを排除しながら、アジアの**香辛料貿易**を支配した。,オランダ|イギリス東インド会社|ジャワ島のバタヴィア|アンボイナ事件|香辛料貿易,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240403,100,共通テスト基礎,地域・都市,バタヴィア,ばたゔぃあ,,近世,アジア,ジャワ島,1619年以後,1619,WH-240403-B01,beginner,用語の特定,identify,オランダ東インド会社がジャワ島に要塞を築き、1619年以後、東南アジア交易の中心拠点とした都市は？,バタヴィア,バタヴィア,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240403,100,共通テスト基礎,地域・都市,バタヴィア,ばたゔぃあ,,近世,アジア,ジャワ島,1619年以後,1619,WH-240403-B02,beginner,地域,place,バタヴィアが置かれた島は？,ジャワ島,ジャワ島,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240403,100,共通テスト基礎,地域・都市,バタヴィア,ばたゔぃあ,,近世,アジア,ジャワ島,1619年以後,1619,WH-240403-B03,beginner,時期,time,オランダがバタヴィアを拠点としたのは何年以後？,1619年,1619年,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240403,100,共通テスト基礎,地域・都市,バタヴィア,ばたゔぃあ,,近世,アジア,ジャワ島,1619年以後,1619,WH-240403-B04,beginner,国家・勢力,actor,バタヴィアを東南アジア交易の拠点とした会社は？,オランダ東インド会社,オランダ東インド会社,連合東インド会社,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240403,100,共通テスト基礎,地域・都市,バタヴィア,ばたゔぃあ,,近世,アジア,ジャワ島,1619年以後,1619,WH-240403-B05,beginner,地域,place,喜望峰からインド洋を渡ってバタヴィアへ向かう航路が通った海峡は？,スンダ海峡,スンダ海峡,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240403,100,共通テスト基礎,地域・都市,バタヴィア,ばたゔぃあ,,近世,アジア,ジャワ島,1619年以後,1619,WH-240403-R01,reverse,時期・地域,reverse,いつ、どこが拠点となった？,1619年以後、**ジャワ島**でオランダの東南アジア交易の拠点となった。,ジャワ島,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
世界史探究_第24回_04_覇権国家オランダ,WH-240403,100,共通テスト基礎,地域・都市,バタヴィア,ばたゔぃあ,,近世,アジア,ジャワ島,1619年以後,1619,WH-240403-R02,reverse,役割,reverse,どんな役割を果たした？,**オランダ東インド会社**が要塞を築いて交易の拠点とし、喜望峰からインド洋を渡り**スンダ海峡**を通る航路でも結ばれた。,オランダ東インド会社|スンダ海峡,,,,24_近世のヨーロッパ①（スペイン・オランダ）(1).md p.390–391,
