dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-B01,beginner,用語の特定,identify,定期市に商人や手工業者が定住するなどして発達し、領主からの自治権獲得を進めた西ヨーロッパの都市は？,中世都市,中世都市,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-B02,beginner,関連,relation,中世都市のうち、新しい商業都市が発達する土台になった市場は？,定期市,定期市,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-B03,beginner,関連,relation,中世都市の発展を促した、十字軍後に盛んになった広域的な商業は？,遠隔地商業,遠隔地商業,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-B04,beginner,内容,content,中世都市が諸侯や教会の支配に対して獲得を目指した権利は？,自治権,自治権,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-B05,beginner,内容,content,中世都市で市政を管理した組織は？,参事会,参事会,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-R01,reverse,発展,reverse,「中世都市」：どのように発展した？,11世紀以降の西ヨーロッパで、定期市に商人や手工業者が集住し、十字軍後の**遠隔地商業**の発達によって都市が繁栄した。,遠隔地商業,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-R02,reverse,政治,reverse,「中世都市」：どのように運営された？,諸侯や教会からの**自治権**を獲得し、独自の都市法や共同体を形成して、**参事会**が市政を管理した。,自治権|参事会,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140201,195,共通テスト基礎・重要,地域・都市,中世都市,ちゅうせいとし,,中世,ヨーロッパ,西ヨーロッパ,11世紀以降,1100,WH-140201-I01,integrated,統合説明,integrated,「中世都市」について説明せよ。,11世紀以降の西ヨーロッパで、定期市に商人や手工業者が集住し、十字軍後の**遠隔地商業**の発達によって都市が繁栄した。諸侯や教会からの**自治権**を獲得し、独自の都市法や共同体を形成して、**参事会**が市政を管理した。,遠隔地商業|自治権|参事会,,,,14_十字軍と封建社会の変容(1).md pp.229–230,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140202,196,共通テスト基礎・重要,経済・交易,貨幣経済,かへいけいざい,,中世,ヨーロッパ,西ヨーロッパ,10世紀以降,1000,WH-140202-B01,beginner,用語の特定,identify,農業の余剰生産物の取引や遠隔地商業の発達に伴い、物々交換に代わって貨幣を用いるようになった経済のあり方は？,貨幣経済,貨幣経済,,,,14_十字軍と封建社会の変容(1).md pp.229・232,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140202,196,共通テスト基礎・重要,経済・交易,貨幣経済,かへいけいざい,,中世,ヨーロッパ,西ヨーロッパ,10世紀以降,1000,WH-140202-B02,beginner,原因,cause,貨幣経済の普及を支えた、農業で食べる分以上につくられたものは？,余剰生産物,余剰生産物,,,,14_十字軍と封建社会の変容(1).md pp.229・232,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140202,196,共通テスト基礎・重要,経済・交易,貨幣経済,かへいけいざい,,中世,ヨーロッパ,西ヨーロッパ,10世紀以降,1000,WH-140202-B03,beginner,関係する勢力,actor,貨幣経済の普及に影響した、西欧周辺で交易していた二つの集団は？,ムスリム商人・ノルマン人,ムスリム商人・ノルマン人,,,,14_十字軍と封建社会の変容(1).md pp.229・232,
世界史探究 第4章 第14回-2 商業ルネサンスと中世都市の発展,WH-140202,196,共通テスト基礎・重要,経済・交易,貨幣経済,かへいけいざい,,中世,ヨーロッパ,西ヨーロッパ,10世紀以降,1000,WH-140202-B04,beginner,関連,relation,貨幣経済の普及によって、生産物地代に代わって広がった地代は？,貨幣地代,貨幣地代,,,,14_十字軍と封建社会の変容(1).md pp.229・232,
