"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-27-01-001","17世紀後半、オランダの商業覇権が傾いた主な理由は？","香辛料価格の下落に加え、イギリスの航海法と英蘭戦争で中継貿易が圧迫されたため。","商品の需要・価格の変化と、国家間の競争の両方が関わった。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","429","35"
"WH-27-01-002","17世紀後半以降、香辛料にかわって重要な国際商品となったインドの製品は？","インド産綿布。","キャラコ・サラサなどの綿織物が広く求められた。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","429","35"
"WH-27-01-003","インド産綿布が、世界各地で人気を集めた理由は？","肌触りがよく、寒冷地でも温暖な地域でも衣服として利用できたため。","綿布の需要拡大が、インド貿易の重要性を高めた。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","429","35"
"WH-27-01-004","イギリスがマルク諸島から排除され、インドへの進出を強めるきっかけとなった事件は？","アンボイナ事件。","オランダとの香辛料貿易競争が、イギリスの進出先の転換につながった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","429","39"
"WH-27-01-005","イギリス東インド会社がインドに置いた三つの主要拠点は？","マドラス、ボンベイ、カルカッタ。","フランスのポンディシェリ・シャンデルナゴルと区別する。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","39"
"WH-27-01-006","資料で、イギリスがインド進出の中心としたと説明される、東部の拠点都市は？","カルカッタ。","マドラス・ボンベイとともに、イギリス東インド会社の拠点だった。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","39"
"WH-27-01-007","ルイ14世のもとで1664年にフランス東インド会社を再建した人物は？","コルベール。","重商主義政策の一環として、インド貿易に進出した。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","429","39"
"WH-27-01-008","フランスがインドに設けた二つの主要拠点は？","ポンディシェリとシャンデルナゴル。","それぞれマドラス、カルカッタの近くにあり、イギリスと競争した。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","39"
"WH-27-01-009","イギリスが17世紀にヴァージニア植民地に建設した拠点は？","ジェームズタウン。","タバコ栽培などのプランテーション経営が進んだ。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","41"
"WH-27-01-010","1620年、ピルグリム＝ファーザーズが北米に建設した植民地は？","プリマス。","本国の宗教的弾圧を逃れたピューリタンが入植した。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","41"
"WH-27-01-011","プリマスへの入植後、農業移民が広がった北米東海岸の北部地域は？","ニューイングランド。","南部のヴァージニアなどとは、植民地経営の特徴が異なった。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","41"
"WH-27-01-012","第2次英蘭戦争で、イギリスがオランダから獲得した北米植民地は？","ニューネーデルラント。","中心都市ニューアムステルダムもイギリスの支配下となった。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","41"
"WH-27-01-013","イギリスがニューアムステルダムを獲得した後、どの都市名に改めたか？","ニューヨーク。","オランダの植民地からイギリスの植民地への転換を示す。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","41"
"WH-27-01-014","フランスがカナダに建設した、シャンプランの探検と関わる植民地の拠点は？","ケベック。","イギリスの北米植民地と対抗する拠点となった。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","41"
"WH-27-01-015","フランスがミシシッピ川流域に獲得した、広大な北米植民地は？","ルイジアナ。","後の条約では、ミシシッピ川の東西で帰属が分かれる。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","429","41"
"WH-27-01-016","1689年からナポレオン戦争終結まで続く、英仏の長い植民地抗争を何というか？","第2次英仏百年戦争（英仏植民地戦争）。","ヨーロッパの戦争と、北米・インドなどの戦争が連動した。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-017","資料で、第2次英仏百年戦争の期間は何年から何年とされるか？","1689年〜1815年。","ウィリアム王戦争からナポレオン戦争までの抗争を指す。","時期","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-018","ヨーロッパのファルツ継承戦争に連動して、北米で起きた戦争は？","ウィリアム王戦争。","名誉革命後のウィリアム3世時代に始まった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-019","ヨーロッパのスペイン継承戦争に連動して、北米で起きた戦争は？","アン女王戦争。","1713年のユトレヒト条約による講和につながった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-020","1713年、イギリスの北米領拡大とアシエント獲得をもたらした条約は？","ユトレヒト条約。","スペイン継承戦争とアン女王戦争に関わる講和である。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-021","ユトレヒト条約でイギリスがフランスから得た、北米の三つの主要地域は？","ニューファンドランド、アカディア、ハドソン湾地方。","1763年に獲得するカナダやルイジアナと区別する。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-022","ユトレヒト条約で、イギリスがスペインから得た地中海方面の二拠点は？","ジブラルタルとミノルカ島。","北米だけでなく、ヨーロッパの海上交通にも影響する領土獲得だった。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-023","ユトレヒト条約でイギリスが得た、スペイン政府との奴隷供給契約を何というか？","アシエント。","それ以前にフランスが持っていた契約が移った。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","430","51"
"WH-27-01-024","ヨーロッパ・西アフリカ・アメリカ大陸を結び、奴隷輸送を中心に展開した貿易は？","大西洋三角貿易。","工業製品、奴隷、プランテーション産品を結びつけた。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","430","75"
"WH-27-01-025","大西洋三角貿易で、ヨーロッパから西アフリカへ運ばれた代表的な商品は？","銃器、雑貨、インド産綿布など。","これらの商品を用いて、アフリカ側で奴隷を買い付けた。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","430","75"
"WH-27-01-026","大西洋三角貿易で、西アフリカからカリブ海・アメリカ大陸へ運ばれたものは？","プランテーションの労働力とされた黒人奴隷。","資料の用語に従うが、人々を強制的に移送する取引であった。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","430","75"
"WH-27-01-027","18世紀の大西洋三角貿易で、アメリカ大陸・カリブ海からヨーロッパへ運ばれた主な産品は？","砂糖やタバコなど。","イギリスの産業革命が進む前は、綿花プランテーションはまだ多くなかった。","内容","一問一答","","27_産業革命とアメリカ独立革命.md","430","75"
"WH-27-01-028","砂糖生産地ジャマイカ・サンドマング・キューバは、それぞれどの国の植民地だったか？","ジャマイカはイギリス、サンドマングはフランス、キューバはスペイン。","サンドマングは、のちのハイチに当たる。","関係","一問一答","","27_産業革命とアメリカ独立革命.md","430","75"
"WH-27-01-029","アシエント獲得後、奴隷貿易の主導権を握った国は？","イギリス。","大西洋貿易の利益が蓄積され、産業革命の背景の一つとなった。","主体","一問一答","","27_産業革命とアメリカ独立革命.md","430","77"
"WH-27-01-030","18世紀、イギリスの奴隷貿易の中心として繁栄した港町は？","リヴァプール。","近隣のマンチェスターでは、のちに木綿工業が発達した。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","431","83"
"WH-27-01-031","大西洋三角貿易が、イギリスの綿布生産の技術革新を促した理由は？","貿易利益で資本が蓄積され、インド産綿布を国産化して利益を増やしたいという需要が生まれたため。","資本の蓄積と、綿布国産化の動機を結びつける。","原因","一問一答","","27_産業革命とアメリカ独立革命.md","431","83"
"WH-27-01-032","資料で、ポルトガルと組んだ奴隷貿易によって栄えたと紹介される西アフリカの王国は？","ベニン王国。","大西洋貿易には、ヨーロッパ商人と協力するアフリカ側の国家も関わった。","主体","一問一答","","27_産業革命とアメリカ独立革命.md","431","85"
"WH-27-01-033","オーストリア継承戦争に連動し、北米で起きた英仏の植民地戦争は？","ジョージ王戦争。","ウィリアム王戦争・アン女王戦争より後の戦争である。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","431","102"
"WH-27-01-034","英仏が南インドで繰り返し戦った植民地戦争は？","カーナティック戦争。","オーストリア継承戦争期から七年戦争期にかけて展開した。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","431","103"
"WH-27-01-035","カーナティック戦争の初期に活躍した、フランスのインド総督は？","デュプレクス。","その召還後、フランスの優位が崩れていったと資料は説明する。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","431","104"
"WH-27-01-036","七年戦争と連動し、北米で英軍とフランス・先住民側が戦った戦争は？","フレンチ＝インディアン戦争。","イギリスの勝利により、北米での英仏抗争が決着に向かった。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","431","106"
"WH-27-01-037","1757年、イギリス東インド会社軍がフランスとベンガル太守の連合軍を破った戦いは？","プラッシーの戦い。","南インドのカーナティック戦争とは、戦場と戦いの名称が異なる。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","431","107"
"WH-27-01-038","プラッシーの戦いで、イギリス東インド会社軍を指揮した人物は？","クライヴ。","フランス側のデュプレクスと対比して整理する。","人物","一問一答","","27_産業革命とアメリカ独立革命.md","431","108"
"WH-27-01-039","1763年、英仏植民地戦争の講和でイギリスの優位を確定した条約は？","パリ条約。","1783年のアメリカ独立承認のパリ条約と区別する。","用語の特定","一問一答","","27_産業革命とアメリカ独立革命.md","431","110"
"WH-27-01-040","七年戦争と連動した植民地戦争の講和で、パリ条約が結ばれたのは何年か？","1763年。","アメリカ独立戦争後のパリ条約より20年前である。","時期","一問一答","","27_産業革命とアメリカ独立革命.md","431","110"
"WH-27-01-041","1763年のパリ条約で、イギリスがフランスから得た北米の主要領土は？","カナダと、ミシシッピ川以東のルイジアナ。","同じルイジアナでも、川の東西で帰属が異なる。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","431","111"
"WH-27-01-042","1763年のパリ条約で、イギリスがフランスから獲得した西アフリカの拠点は？","セネガル。","北米のカナダ・ルイジアナだけでなく、アフリカ方面の権益も移った。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","431","111"
"WH-27-01-043","1763年のパリ条約で、イギリスがスペインから獲得した北米の地域は？","フロリダ。","カナダ・東ルイジアナの旧宗主国フランスとは区別する。","場所","一問一答","","27_産業革命とアメリカ独立革命.md","431","112"
"WH-27-01-044","1763年のパリ条約で、ミシシッピ川以西のルイジアナを得た国は？","スペイン。","川の東側はイギリス領となった。","主体","一問一答","","27_産業革命とアメリカ独立革命.md","431","113"
"WH-27-01-045","1763年のパリ条約は、北米でのフランスの植民地支配をどう変えたか？","フランスは北米の植民地を失い、イギリスの優位が確定した。","資料では、フランスが北米から撤退したとまとめられている。","結果","一問一答","","27_産業革命とアメリカ独立革命.md","431","114"
"WH-27-01-046","ウィリアム王戦争・アン女王戦争・ジョージ王戦争・フレンチ＝インディアン戦争を、対応する欧州の戦争と結びつけなさい。","順に、ファルツ継承戦争・スペイン継承戦争・オーストリア継承戦争・七年戦争。","北米の戦争名を、ヨーロッパの勢力関係と切り離さずに覚える。","関係","一問一答","","27_産業革命とアメリカ独立革命.md","432","124"
"WH-27-01-047","1713年のユトレヒト条約と1763年のパリ条約による、イギリスの北米獲得地を区別しなさい。","前者はニューファンドランド・アカディア・ハドソン湾地方。後者はカナダ・ミシシッピ川以東のルイジアナ・フロリダ。","フロリダはスペインから、それ以外の挙げた地域はフランスから獲得した。","関係","一問一答","","27_産業革命とアメリカ独立革命.md","432","124"
"WH-27-01-048","英仏植民地抗争からイギリスの産業革命へ、どのようなつながりがあったか？","植民地戦争に勝利したイギリスは、海外市場・原料供給地・貿易利益を広げ、産業革命を進める条件を整えた。","軍事・商業上の優位と、国内の工業化を結びつけて理解する。","統合説明","一問一答","","27_産業革命とアメリカ独立革命.md","432","124"
