dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-B01,beginner,用語の特定,identify,ライン川・ドナウ川の北側でローマと接し、部族国家をつくっていたインド＝ヨーロッパ語系の民族は？,ゲルマン人,ゲルマン人,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-B02,beginner,内容,content,ゲルマン人の社会で、成人男性全員が参加して重要事項を決めた集会は？,民会,民会,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-B03,beginner,関連,relation,ゲルマン人の初期の社会を描いた、カエサルの著作は？,ガリア戦記,ガリア戦記,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-B04,beginner,関連,relation,ゲルマン人の社会を描き、ローマ貴族への批判を込めたタキトゥスの著作は？,ゲルマニア,ゲルマニア,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-B05,beginner,原因,cause,ゲルマン人の人口増加によって起き、ローマ領内への移住を促した土地の問題は？,耕地不足,耕地不足,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-B06,beginner,内容,content,ゲルマン人が大移動以前のローマ帝国内で担った、資料に挙げられた二つの立場は？,コロヌスと傭兵,コロヌスと傭兵,傭兵とコロヌス,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-R01,reverse,核心内容,reverse,「ゲルマン人」：どのように活動した？,375年の大移動以前には、ライン川・ドナウ川北側で狩猟・牧畜を中心に暮らし、**民会**で重要事項を決めた**インド＝ヨーロッパ語系**の民族。人口増加と**耕地不足**を背景に、ローマ領内へ**コロヌス**や**傭兵**として移住する者も現れた。,民会|インド＝ヨーロッパ語系|耕地不足|コロヌス|傭兵,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110101,1,共通テスト基礎・重要,民族・身分・社会集団,ゲルマン人,げるまんじん,,古代〜中世,ヨーロッパ,ライン川・ドナウ川北側／ローマ帝国領,375年の大移動以前〜,375,WH-110101-I01,integrated,統合説明,integrated,「ゲルマン人」について説明せよ。,375年の大移動以前には、ライン川・ドナウ川北側で狩猟・牧畜を中心に暮らし、**民会**で重要事項を決めた**インド＝ヨーロッパ語系**の民族。人口増加と**耕地不足**を背景に、ローマ領内へ**コロヌス**や**傭兵**として移住する者も現れた。,民会|インド＝ヨーロッパ語系|耕地不足|コロヌス|傭兵,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183–184・196,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110102,2,共通テスト基礎・重要,制度・政策・法律,従士制,じゅうしせい,,中世,ヨーロッパ,ライン川・ドナウ川北側のゲルマン人社会,375年の大移動以前,374,WH-110102-B01,beginner,用語の特定,identify,古代ゲルマン人社会で、有力な貴族が平民を保護する代わりに忠誠を誓わせ、配下の兵士とした制度は？,従士制,従士制,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183,
世界史探究 第4章 第11回-1 ゲルマン人の移動と西ローマ帝国の滅亡,WH-110102,2,共通テスト基礎・重要,制度・政策・法律,従士制,じゅうしせい,,中世,ヨーロッパ,ライン川・ドナウ川北側のゲルマン人社会,375年の大移動以前,374,WH-110102-B02,beginner,勢力・対象,actor,従士制で保護を受けて従士となった身分は？,平民,平民,,,,11_ゲルマン人の移動とフランク王国(1).md pp.183,
