"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-23-04-001","人文主義者による古典・原典研究は、宗教改革の思想にどのようにつながったか？","ギリシア語の『新約聖書』などの研究を通じ、聖書を信仰の中心とする視点が生まれた。","資料では、エラスムスの教会内部の改革論と、ルターの宗教改革につながる背景としている。","原因","一問一答","","23_宗教改革.md","379","438"
"WH-23-04-002","エラスムスが目指した教会改革と、ルターらの宗教改革は、カトリック教会との関係でどう異なるか？","エラスムスは教会内部の改革を求め、ルターらは教皇の権威を認めず新たな教会をつくった。","同じ原典研究を背景としていても、カトリック教会から分かれたかどうかが異なる。","関係","一問一答","","23_宗教改革.md","379","438"
"WH-23-04-003","すべての信者が平等に司祭であり、神に直接祈ることができるとする考え方を何というか？","万人司祭主義。","ルターやカルヴァンが唱え、聖職者を特別な仲介者とする教会の権威を否定した。","用語の特定","一問一答","","23_宗教改革.md","379","440"
"WH-23-04-004","万人司祭主義とは何か？","すべての信者が平等に司祭として、教会の特別な仲介を必要とせず神に直接向き合うという考え方。","聖書を重視し、カトリック教会や教皇の権威を否定する宗教改革の思想に結びついた。","逆向きの説明","一問一答","","23_宗教改革.md","379","440"
"WH-23-04-005","宗教改革の拡大に対し、カトリック教会が内部の立て直しと新教への反撃を進めた運動を何というか？","対抗宗教改革。","教会内部の腐敗の是正と、カトリックの教義・権威の再確認が進められた。","用語の特定","一問一答","","23_宗教改革.md","379","460"
"WH-23-04-006","1545年から開かれ、対抗宗教改革の中心となった公会議は？","トリエント公会議（トレント公会議）。","カトリックの教義と教皇の権威を確認し、内部の規律を整えた。","用語の特定","一問一答","","23_宗教改革.md","379","460"
"WH-23-04-007","対抗宗教改革の中心となったトリエント公会議が始まったのは何年か？","1545年。","ルターの宗教改革開始後、新教が拡大するなかで開かれた。","時期","一問一答","","23_宗教改革.md","379","460"
"WH-23-04-008","カール5世がトリエント公会議に当初期待した政治的な目的は何か？","ルター派との妥協を図ること。","しかし新教派は参加を拒否し、公会議ではカトリックの教義・立場が再検討された。","原因","一問一答","","23_宗教改革.md","379","462"
"WH-23-04-009","資料では、新教派がトリエント公会議への出席を拒否した理由をどう説明しているか？","聖書に根拠のない公会議の権威を認めなかったため。","信仰の根拠を聖書に求める立場が、公会議に対する態度にも表れた。","原因","一問一答","","23_宗教改革.md","379","462"
"WH-23-04-010","トリエント公会議では、教義と教会内部の運営について何が確認・整備されたか？","教皇の至上権や贖宥・秘跡などの教義を確認し、腐敗を防ぐための規律を整えた。","新教の教義を受け入れるのではなく、カトリックの立場を再確認する改革だった。","内容","一問一答","","23_宗教改革.md","380","470"
"WH-23-04-011","対抗宗教改革で、反カトリックの書物を読むことを禁止するために定められたものは？","禁書目録。","資料では、マキァヴェリやルターなどの書物が対象として挙げられている。","用語の特定","一問一答","","23_宗教改革.md","380","470"
"WH-23-04-012","対抗宗教改革で強化された、カトリックの教義に反する異端を裁く制度は？","宗教裁判（異端審問）。","禁書目録とともに、新教や異端に対する統制に用いられた。","用語の特定","一問一答","","23_宗教改革.md","380","470"
"WH-23-04-013","1534年に設立され、厳格な規律のもとで教育や海外伝道を進めたカトリックの修道会は？","イエズス会（ジェズイット教団）。","対抗宗教改革を担い、ヨーロッパ外でも布教を進めた。","用語の特定","一問一答","","23_宗教改革.md","380","474"
"WH-23-04-014","イエズス会の設立に参加し、初代総長となったスペイン出身の人物は？","イグナティウス＝ロヨラ。","騎士出身であり、教皇の意向に従って行動する厳格な組織をつくった。","人物","一問一答","","23_宗教改革.md","380","474"
"WH-23-04-015","イエズス会の組織には、指導体制と規律の面でどのような特徴があったか？","総長が全権を握り、教皇の意向に従って行動する軍隊のような厳格な規律を備えた。","教育・布教の活動も、この統制された組織のもとで進められた。","内容","一問一答","","23_宗教改革.md","380","474"
"WH-23-04-016","資料では、イエズス会の設立と教皇による認可を、それぞれ何年としているか？","設立は1534年、教皇による認可は1540年。","設立時点と、パウルス3世による認可の時点を区別する。","時期","一問一答","","23_宗教改革.md","380","474"
"WH-23-04-017","イエズス会はヨーロッパでどのような活動を行い、どの地域でカトリックの勢力を回復させたか？","学校をつくって高等教育と布教を行い、南ドイツや東欧でカトリックの勢力を回復させた。","イエズス会の活動は、海外伝道だけに限られなかった。","内容","一問一答","","23_宗教改革.md","380","474"
"WH-23-04-018","イエズス会の海外伝道は、ヨーロッパ諸国のどのような活動と結びついていたか？","スペインやポルトガルの交易・植民活動と結びついていた。","アメリカ大陸やアジアでの布教によって、カトリックの勢力拡大を目指した。","関係","一問一答","","23_宗教改革.md","380","476"
"WH-23-04-019","イエズス会士として、日本・インド・東南アジアで布教した人物は？","フランシスコ＝ザビエル。","カトリックの海外伝道を担った代表的な宣教師である。","人物","一問一答","","23_宗教改革.md","380","476"
"WH-23-04-020","明末期から中国を訪れ、官僚や知識人と交流しながら布教した宣教師を2人答えなさい。","マテオ＝リッチ、アダム＝シャール。","宗教改革・対抗宗教改革の展開は、中国史に登場する宣教師の活動ともつながる。","人物","一問一答","","23_宗教改革.md","380","476"
"WH-23-04-021","対抗宗教改革の主な取り組みを、公会議・統制・布教の3点から説明しなさい。","トリエント公会議で教義と規律を整え、禁書目録や異端審問を強化し、イエズス会などが教育・海外伝道を進めた。","内部の立て直し、新教への対抗、非キリスト教地域への拡大を区別して整理する。","統合説明","一問一答","","23_宗教改革.md","380","476"
