"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-18-01-001","一問一答","主体","1368年、朱元璋が建国した漢民族の統一王朝は？","明。","朱元璋は洪武帝と呼ばれる。江南から興った統一王朝である。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L31;L75"
"WHSO-05-18-01-002","一問一答","人物","明を建国した洪武帝の姓名と廟号は？","朱元璋。廟号は太祖。","皇帝の姓名・廟号・年号による呼び方を対応させる。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L33;L75"
"WHSO-05-18-01-003","一問一答","用語の特定","洪武帝が廃止し、その下にあった六部を皇帝直属とした中央行政機関は？","中書省。","長官である丞相も廃止し、皇帝に権限を集中させた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L34;L77"
"WHSO-05-18-01-004","一問一答","内容","洪武帝は中書省の廃止後、六部をどのような指揮系統に置いたか？","皇帝直属とした。","宰相を介さず、皇帝が直接行政を掌握する仕組みになった。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L34;L77"
"WHSO-05-18-01-005","一問一答","用語の特定","洪武帝が皇帝直属とした最高軍事機関は？","五軍都督府。","行政の六部、軍事の五軍都督府、監察の都察院を区別する。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L34;L77"
"WHSO-05-18-01-006","一問一答","用語の特定","明の中央の監察機関で、洪武帝が皇帝直属としたものは？","都察院。","官僚を監察する機関も皇帝の直接統制下に置かれた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L34;L77"
"WHSO-05-18-01-007","一問一答","用語の特定","洪武帝が官学とし、科挙による官僚登用にも用いた儒学は？","朱子学。","君臣関係などの上下秩序を重視する大義名分と結びついた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L35;L81"
"WHSO-05-18-01-008","一問一答","用語の特定","洪武帝が農民への道徳教化のために定めた、父母への孝順などを説く教訓は？","六諭。","朱子学にもとづく秩序を農村にも浸透させようとした。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L35;L81"
"WHSO-05-18-01-009","一問一答","用語の特定","明で民戸を110戸ごとの単位に組織し、徴税や治安維持を担わせた制度は？","里甲制。","民戸の戸籍・租税を掌握し、農村を再編成する制度であった。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L36;L83"
"WHSO-05-18-01-010","一問一答","用語の特定","明で軍戸を組織し、兵農一致の軍団を編成した制度は？","衛所制。","民戸を編成する里甲制と、軍戸を編成する衛所制を対応させる。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L36;L83"
"WHSO-05-18-01-011","一問一答","用語の特定","洪武帝が作成させた、地図付きの土地台帳は？","魚鱗図冊。","土地の状況を把握する台帳であり、戸籍・租税台帳とは区別する。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L37;L83"
"WHSO-05-18-01-012","一問一答","用語の特定","洪武帝が民戸の掌握のために作成させた、戸籍・租税台帳は？","賦役黄冊。","魚鱗図冊とともに、農村支配と徴税の基礎となった。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283","L37;L83"
"WHSO-05-18-01-013","一問一答","用語の特定","燕王朱棣が建文帝を倒し、永楽帝として即位することになった内乱は？","靖難の役。","建文帝による諸王の勢力削減に、燕王が反発して起こした。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L38;L112-L114"
"WHSO-05-18-01-014","一問一答","時期","靖難の役が続いた期間は？","1399〜1402年。","1399年の開始と、1402年の永楽帝即位を区別する。","","18_中華帝国の繁栄（明・清）.md","p.282","L38"
"WHSO-05-18-01-015","一問一答","人物","洪武帝の孫で、明の第2代皇帝となった人物は？","建文帝。","皇太子朱標が先に亡くなったため、その息子が洪武帝を継いだ。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L38;L112"
"WHSO-05-18-01-016","一問一答","人物","靖難の役で帝位を奪った永楽帝は、即位前には何という王で、姓名は何か？","燕王朱棣。","洪武帝の第4子で、北平を拠点とした。","","18_中華帝国の繁栄（明・清）.md","p.282;p.283;p.284","L39;L95;L114"
"WHSO-05-18-01-017","一問一答","用語の特定","永楽帝が皇帝を補佐させるために設けた組織は？","内閣。","皇帝のもとで政務を補佐する仕組みが整えられた。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L41;L120"
"WHSO-05-18-01-018","一問一答","用語の特定","明の内閣で皇帝を補佐した官職は？","内閣大学士。","主席の大学士は実質的に宰相の役割を担った。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L41;L120"
"WHSO-05-18-01-019","一問一答","場所","永楽帝が南京から遷都した都市は？","北京。","永楽帝が勢力を持っていた北平を改称した都市である。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L42;L116"
"WHSO-05-18-01-020","一問一答","時期","永楽帝が北京に遷都したのは何年か？","1421年。","1402年の即位と北京遷都の年を混同しない。","","18_中華帝国の繁栄（明・清）.md","p.282","L42;L39"
"WHSO-05-18-01-021","一問一答","内容","永楽帝は北方のモンゴル勢力に対して、どのような軍事行動をとったか？","自ら軍を率いてモンゴルへの親征をおこなった。","本文では、タタール部やオイラト部への親征を5回おこなったと説明される。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L44;L116"
"WHSO-05-18-01-022","一問一答","用語の特定","明がモンゴルへの防備のために修築・補修した長大な防壁は？","万里の長城。","資料では永楽帝の北方政策とあわせて説明されている。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L44;L116"
"WHSO-05-18-01-023","一問一答","場所","永楽帝が遠征し、一時直接支配下に置いた東南アジアの地域は？","北ベトナム。","陳朝にかわった胡朝への攻撃として説明される。","","18_中華帝国の繁栄（明・清）.md","p.282;p.284","L45;L116"
"WHSO-05-18-01-024","一問一答","場所","明は中国のどの地域から興った統一王朝か？","江南地方。","資料は、明の成立を江南の経済発展と結びつけて説明する。","","18_中華帝国の繁栄（明・清）.md","p.283","L75"
"WHSO-05-18-01-025","一問一答","用語の特定","洪武帝以降に採用された、皇帝1代につき元号を一つとする制度は？","一世一元の制。","洪武帝・永楽帝など、元号による皇帝の呼称と結びつく。","","18_中華帝国の繁栄（明・清）.md","p.283;p.282","L75;L39"
"WHSO-05-18-01-026","一問一答","逆向きの説明","一世一元の制とは何か？","1人の皇帝の在位中、元号を一つに定める制度。","明では洪武帝が採用し、以後の皇帝の呼称にも反映された。","","18_中華帝国の繁栄（明・清）.md","p.283","L75"
"WHSO-05-18-01-027","一問一答","用語の特定","洪武帝が中書省とともに廃止した、その長官の職名は？","丞相（宰相）。","六部を皇帝直属とする改革と一体の措置であった。","","18_中華帝国の繁栄（明・清）.md","p.283","L77"
"WHSO-05-18-01-028","一問一答","原因","洪武帝が中書省・丞相を廃止し、六部などを皇帝直属にした目的は？","皇帝に行政・軍事・監察の権限を集中し、君主独裁権を強めるため。","各機関を皇帝の直接命令で動かす統治を目指した。","","18_中華帝国の繁栄（明・清）.md","p.283","L77"
"WHSO-05-18-01-029","一問一答","用語の特定","洪武帝が整備した、明の律と令を何というか？","明律・明令。","儒学的秩序の復活とともに、統治の法的な基準も整備した。","","18_中華帝国の繁栄（明・清）.md","p.283","L81"
"WHSO-05-18-01-030","一問一答","用語の特定","明の官学である朱子学で重視された、君臣などの身分秩序や道徳を守る考え方は？","大義名分。","朱子学の官学化を、上下関係の秩序づけと結びつける。","","18_中華帝国の繁栄（明・清）.md","p.283","L81"
"WHSO-05-18-01-031","一問一答","内容","洪武帝の六諭には、どのような道徳が説かれていたか？","父母に孝順であることや、年長者を尊敬することなど。","農民への儒学的教化を目的としていた。","","18_中華帝国の繁栄（明・清）.md","p.283","L81"
"WHSO-05-18-01-032","一問一答","関係","明の民戸と軍戸は、主な負担と編成制度がどう異なるか？","民戸は税を負担し里甲制で編成され、軍戸は軍役を担い衛所制で編成された。","同じ戸籍にまとめず、役割に応じた戸籍と制度に分けた。","","18_中華帝国の繁栄（明・清）.md","p.283","L83"
"WHSO-05-18-01-033","一問一答","関係","魚鱗図冊と賦役黄冊は、記録する対象がどう異なるか？","魚鱗図冊は土地を、賦役黄冊は戸籍・租税を記録する。","土地台帳と戸籍・租税台帳の取り違えに注意する。","","18_中華帝国の繁栄（明・清）.md","p.283","L83"
