"question_id","question","answer","explanation","type","style","source_url","source_file","source_page","source_line"
"WH-23-02-001","資料では、スイスの宗教改革を独立運動と結びつけて説明しているのはなぜか？","自治を進めた諸州・都市が、ローマ教会や神聖ローマ皇帝の影響から宗教面でも離れようとしたため。","都市の自治と、教会の支配への反発が重なっていた。","原因","一問一答","","23_宗教改革.md","372","219"
"WH-23-02-002","カルヴァンに先立ち、チューリヒで宗教改革を進めた人物は？","ツヴィングリ。","聖書主義に基づいて贖宥状販売を批判した。","人物","一問一答","","23_宗教改革.md","372","221"
"WH-23-02-003","ツヴィングリが宗教改革を進めたスイスの都市は？","チューリヒ。","カルヴァンの活動拠点ジュネーヴとは区別する。","場所","一問一答","","23_宗教改革.md","372","221"
"WH-23-02-004","フランスからスイスに亡命し、『キリスト教綱要』を著してジュネーヴの改革を指導した人物は？","カルヴァン。","フランス出身だが、改革を進めた主な拠点はスイスだった。","人物","一問一答","","23_宗教改革.md","372","225"
"WH-23-02-005","カルヴァンがスイスのバーゼルで出版し、その名が知られるきっかけとなった著作は？","『キリスト教綱要』。","ルターの『キリスト者の自由』とは作者と題名を区別する。","用語の特定","一問一答","","23_宗教改革.md","372","225"
"WH-23-02-006","カルヴァンが招かれ、宗教改革を進めたスイスの都市は？","ジュネーヴ。","ツヴィングリのチューリヒとあわせて、人物と都市の対応を押さえる。","場所","一問一答","","23_宗教改革.md","372","225"
"WH-23-02-007","カルヴァンが、牧師と信者の代表である長老によって教会を運営するために設けた制度は？","長老制（長老主義）。","カトリックの司教制に代わる組織として設けられた。","用語の特定","一問一答","","23_宗教改革.md","372","227"
"WH-23-02-008","資料によると、カルヴァンは改革派教会と政治権力の関係をどのようにしようとしたか？","改革派教会を政治権力から自律させようとした。","牧師と長老による教会運営を整えた。","内容","一問一答","","23_宗教改革.md","372","227"
"WH-23-02-009","カルヴァンはジュネーヴ市民に、どのような生活態度を求めたか？","ぜいたくを避け、戒律を守る禁欲的な生活。","禁欲的な生活と勤労を重視した点が、職業倫理にもつながる。","内容","一問一答","","23_宗教改革.md","372","227"
"WH-23-02-010","救いは「信仰のみ」、信仰のよりどころは「聖書のみ」とする立場を、資料では何というか？","福音主義。","カルヴァンはこの立場に基づいて予定説を主張した。","用語の特定","一問一答","","23_宗教改革.md","372","229"
"WH-23-02-011","人間が救われるかどうかは、あらかじめ神によって決められているというカルヴァンの教説は？","予定説。","人間の意思や行為で、神の決定を変更できるとは考えなかった。","用語の特定","一問一答","","23_宗教改革.md","372","229"
"WH-23-02-012","予定説では、善行や祈りの回数によって、神が定めた救済の決定を変えられるか？","変えられない。","救済を得るための手段として、善行や祈りを積み重ねると考えるのではない。","内容","一問一答","","23_宗教改革.md","373","237"
"WH-23-02-013","救済が予定されているとするカルヴァン派が、それでも禁欲的な生活や勤労を求めたのはなぜか？","自分は救われる者だと信じ、神の望む生活を送り、その確信を持つため。","勤労によって神の予定を書き換えるという意味ではない。","原因","一問一答","","23_宗教改革.md","373","237"
"WH-23-02-014","カルヴァン派が、神から与えられたものとして励むべきだとした職業を何というか？","天職。","職業への努力を、神の栄光を実現する営みとして捉えた。","用語の特定","一問一答","","23_宗教改革.md","373","237"
"WH-23-02-015","カルヴァン派が営利・蓄財を認めたのは、どのように考えたためか？","天職にまじめに励んだ結果として得た利益は、神の意思だと考えたため。","ぜいたくを奨励したのではなく、禁欲的な勤労の結果としての利益を認めた。","原因","一問一答","","23_宗教改革.md","373","239"
"WH-23-02-016","カルヴァン派は、経済活動が宗教的に認められたことで、主にどの階層へ広がったか？","商人や職人などの新興市民階級。","資料では、その職業倫理を資本主義発展につながる思想として説明している。","主体","一問一答","","23_宗教改革.md","373","239"
"WH-23-02-017","プロテスタンティズムの職業倫理と資本主義発展との関係を理論化した社会学者は？","マックス＝ヴェーバー。","『プロテスタンティズムの倫理と資本主義の精神』を著した。","人物","一問一答","","23_宗教改革.md","373","239"
"WH-23-02-018","カルヴァン派などの職業倫理と資本主義の関係を論じた、マックス＝ヴェーバーの著作は？","『プロテスタンティズムの倫理と資本主義の精神』。","資料では20世紀初頭の理論として紹介されている。","用語の特定","一問一答","","23_宗教改革.md","373","239"
"WH-23-02-019","スコットランドのカルヴァン派は、何と呼ばれたか？","プレスビテリアン（長老派）。","教会を牧師と長老で運営する長老主義と結びつく呼称である。","用語の特定","一問一答","","23_宗教改革.md","373","245"
"WH-23-02-020","イングランドのカルヴァン派は、何と呼ばれたか？","ピューリタン（清教徒）。","国教会に対して、カルヴァン主義の徹底を求める勢力となった。","用語の特定","一問一答","","23_宗教改革.md","373","246"
"WH-23-02-021","フランスのカルヴァン派は、何と呼ばれたか？","ユグノー。","のちのフランスの宗教戦争を理解する基本用語である。","用語の特定","一問一答","","23_宗教改革.md","373","247"
"WH-23-02-022","オランダのカルヴァン派は、資料では何と呼ばれているか？","ゴイセン。","スペインによるカトリック強制への反発と結びついた。","用語の特定","一問一答","","23_宗教改革.md","373","248"
"WH-23-02-023","カルヴァン派の教えを、救済・職業・利益の3点から説明しなさい。","救済は神によって予定されるとし、職業を天職として禁欲的な勤労を求め、その結果の営利・蓄財を認めた。","「働いて利益を得れば救われる」という教えではない。","統合説明","一問一答","","23_宗教改革.md","373","251"
