﻿﻿dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000001,398,Deck 1｜骨格・基礎,時代・歴史区分,猿人,えんじん,,先史,アフリカ,東アフリカ・南アフリカ,約700万年前〜約200万年前,-7000000,WH-000001-B01,beginner,用語の特定,identify,直立二足歩行を始めた、人類進化の最初期にあたる人類は？,猿人(えんじん),猿人,,,,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000001,398,Deck 1｜骨格・基礎,時代・歴史区分,猿人,えんじん,,先史,アフリカ,東アフリカ・南アフリカ,約700万年前〜約200万年前,-7000000,WH-000001-B02,beginner,時期,time,「猿人(えんじん)」にあたるのはいつ？,約700万年前〜約200万年前,約700万年前〜約200万年前,,,約700万年前〜約200万年前：「な・丸々」（700）から「ふ・丸々」（200）までの猿人,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000001,398,Deck 1｜骨格・基礎,時代・歴史区分,猿人,えんじん,,先史,アフリカ,東アフリカ・南アフリカ,約700万年前〜約200万年前,-7000000,WH-000001-B03,beginner,内容,content,猿人(えんじん)の代表例は？,アウストラロピテクス,アウストラロピテクス,,,,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000001,398,Deck 1｜骨格・基礎,時代・歴史区分,猿人,えんじん,,先史,アフリカ,東アフリカ・南アフリカ,約700万年前〜約200万年前,-7000000,WH-000001-R01,reverse,複合説明,reverse,何が起きた時代・現象？,**猿人(えんじん)**は、**直立二足歩行**を行ったが、脳容量はまだ小さかった初期人類。,猿人|直立二足歩行|アウストラロピテクス|原人,,,,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000001,398,Deck 1｜骨格・基礎,時代・歴史区分,猿人,えんじん,,先史,アフリカ,東アフリカ・南アフリカ,約700万年前〜約200万年前,-7000000,WH-000001-R02,reverse,関連,relation,人類進化の中でどんな位置にある？,**原人(げんじん)**より前の段階にあたり、人類進化の出発点を示す。,猿人|直立二足歩行|アウストラロピテクス|原人,,,,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000001,398,Deck 1｜骨格・基礎,時代・歴史区分,猿人,えんじん,,先史,アフリカ,東アフリカ・南アフリカ,約700万年前〜約200万年前,-7000000,WH-000001-R03,reverse,時期,time,「猿人(えんじん)」にあたるのはいつ？,**約700万年前〜約200万年前**,約700万年前〜約200万年前,,,約700万年前〜約200万年前：「な・丸々」（700）から「ふ・丸々」（200）までの猿人,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000001,398,Deck 1｜骨格・基礎,時代・歴史区分,猿人,えんじん,,先史,アフリカ,東アフリカ・南アフリカ,約700万年前〜約200万年前,-7000000,WH-000001-I01,integrated,統合説明,integrated,「猿人(えんじん)」について説明せよ。,**猿人(えんじん)**は、約700万年前〜約200万年前、東アフリカ・南アフリカを主な舞台に、**直立二足歩行**を行ったが、脳容量はまだ小さかった初期人類。 **原人(げんじん)**より前の段階にあたり、人類進化の出発点を示す。,猿人|直立二足歩行|アウストラロピテクス|原人,,,約700万年前〜約200万年前：「な・丸々」（700）から「ふ・丸々」（200）までの猿人,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000002,325,Deck 1｜骨格・基礎,時代・歴史区分,原人,げんじん,,先史,複数地域,アフリカからユーラシア各地,約200万年前〜約20万年前,-2000000,WH-000002-B01,beginner,用語の特定,identify,火や打製石器を使い、アフリカからユーラシアへ広がった人類は？,原人(げんじん),原人,,,,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000002,325,Deck 1｜骨格・基礎,時代・歴史区分,原人,げんじん,,先史,複数地域,アフリカからユーラシア各地,約200万年前〜約20万年前,-2000000,WH-000002-B02,beginner,時期,time,「原人(げんじん)」にあたるのはいつ？,約200万年前〜約20万年前,約200万年前〜約20万年前,,,約200万年前〜約20万年前：「ふ・丸々」（200）から「ふれ」（20）までの原人,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
世界史段階別デッキ｜Deck 1｜最重要骨格400語,WH-000002,325,Deck 1｜骨格・基礎,時代・歴史区分,原人,げんじん,,先史,複数地域,アフリカからユーラシア各地,約200万年前〜約20万年前,-2000000,WH-000002-B03,beginner,内容,content,原人(げんじん)の代表例を二つ挙げると？,北京原人(ぺきんげんじん)とジャワ原人(げんじん),北京原人とジャワ原人,,,,世界史の窓（章節別用語リスト）,https://www.y-history.net/appendix/appendix-list.html
