"問題番号","問題スタイル","種類","問題文","回答","解説","出典URL","出典ファイル","出典ページ","出典行"
"WHSO-05-16-05-001","一問一答","原因","宋代に中国の南方人口が北方を上回るようになった背景は？","戦乱やキタイ・金の支配を避け、華北から江南へ移住する人びとが増えたため。","人口移動が江南の農業開発を支えた。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-002","一問一答","内容","宋代、新興地主はどのように長江下流域の水田を広げたか？","佃戸を用い、干拓によって耕地を拡大した。","資料では圩田や湖田などが挙げられる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-003","一問一答","用語の特定","宋代の江南で普及した、日照りに強く成長の早い稲は？","占城稲。","新しい耕地への導入が収穫の安定に役立った。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-004","一問一答","内容","占城稲の、宋代の農業発展に役立った特徴を二つ答えなさい。","日照りに強いことと、成長の早い早稲種であること。","品種の特徴と農業上の効果を結びつける。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-005","一問一答","関係","稲の二期作と、稲・麦の二毛作はどう違うか？","二期作は1年に稲を2回、二毛作は1年に稲と麦を栽培すること。","資料に挙げられる二つの作付方法を区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-006","一問一答","場所","宋代に「蘇湖（江浙）熟すれば天下足る」といわれた穀倉地帯は？","長江下流域の江蘇・浙江（蘇州・杭州）。","中国経済の中心が江南に移ったことを示す。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-007","一問一答","逆向きの説明","「蘇湖熟すれば天下足る」という表現は、何を示しているか？","蘇州・杭州を含む長江下流域が、中国全体を支える重要な穀倉地帯となったこと。","地名の暗記だけでなく、経済史上の意味を押さえる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-008","一問一答","内容","宋代に穀物生産が増えた要因を、耕地・品種・耕作法から答えなさい。","干拓による水田拡大、占城稲の導入、田植え農法や二期作・二毛作の発達。","複数の変化が江南の農業生産を支えた。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L442"
"WHSO-05-16-05-009","一問一答","原因","宋代に商品作物の栽培が発展した背景は？","穀物生産が拡大し、より利益の大きい作物を栽培する動きが進んだため。","農業発展が商業化につながる流れ。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L444"
"WHSO-05-16-05-010","一問一答","内容","宋代の長江下流域で栽培が盛んになり、専売や輸出の対象ともなった商品作物は？","茶。","喫茶の習慣も普及した。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L444"
"WHSO-05-16-05-011","一問一答","内容","宋代の経済発展を、農業から交易へ至る順序で説明しなさい。","穀物生産の拡大→商品作物栽培や手工業の発達→商業・交易の発展。","各産業をばらばらに覚えず、つながりを確認する。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L446"
"WHSO-05-16-05-012","一問一答","内容","宋代の手工業で、使用量の増加が生産性向上に関わった燃料は？","石炭。","陶磁器生産などの発展と関連づけられる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L450"
"WHSO-05-16-05-013","一問一答","場所","宋代、江西省で陶磁器生産の中心として発展した都市は？","景徳鎮。","蘇州の絹織物・綿織物と対応を区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L450"
"WHSO-05-16-05-014","一問一答","内容","宋磁を代表する、単色の清楚な磁器を二つ答えなさい。","青磁と白磁。","資料では唐三彩の鮮やかさと対比される。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L450"
"WHSO-05-16-05-015","一問一答","関係","資料では、唐三彩と宋磁の見た目の特徴をどう対比しているか？","唐三彩は鮮やかで、宋磁は青磁・白磁など単色で清楚。","陶磁器の特徴と時代を対応させる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L450"
"WHSO-05-16-05-016","一問一答","場所","宋代、大運河沿いで絹織物・綿織物の手工業都市として発展したのは？","蘇州。","景徳鎮は陶磁器生産で知られる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L450"
"WHSO-05-16-05-017","一問一答","原因","宋代に開封が大都市として繁栄した地理的な理由は？","黄河と大運河の接点にあり、各地の物産が河運で集まったため。","人口だけでなく物流上の位置を押さえる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L452"
"WHSO-05-16-05-018","一問一答","用語の特定","北宋の開封の繁栄を描いた絵巻物は？","『清明上河図』。","作品名と描かれた都市を対応させる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L452"
"WHSO-05-16-05-019","一問一答","結果","唐代に商業を規制した市制が廃止され、取引はどう変わったか？","商人が都市の内外で自由に取引できるようになった。","商業活動の拡大と新興都市の成長につながる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L452"
"WHSO-05-16-05-020","一問一答","用語の特定","唐末期から地方に現れた定期的な市場を何というか？","草市。","鎮・市という新しい都市の発達とあわせて押さえる。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L452"
"WHSO-05-16-05-021","一問一答","内容","宋代、地方で商業の発展にともなって生まれた新しい都市の呼称を二つ答えなさい。","鎮と市。","遠隔地商業の発達と結びついた。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L452"
"WHSO-05-16-05-022","一問一答","用語の特定","宋代の都市で、商人がつくった同業組合は？","行。","手工業者の同業組合である作と区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L452"
"WHSO-05-16-05-023","一問一答","用語の特定","宋代の都市で、手工業者がつくった同業組合は？","作。","商人の同業組合は行。","","16_中華世界の変容（五代十国〜宋）.md","p.265","L452"
"WHSO-05-16-05-024","一問一答","用語の特定","宋代の都市で、劇場や飲食店などが集まった繁華街は？","瓦市。","都市住民の娯楽や消費の場となった。","","16_中華世界の変容（五代十国〜宋）.md","p.266","L469"
"WHSO-05-16-05-025","一問一答","関係","宋代の勾欄・酒楼・茶館は、それぞれどのような施設か？","勾欄は劇場、酒楼は飲食店、茶館は喫茶店。","瓦市などの繁華街に集まった施設。","","16_中華世界の変容（五代十国〜宋）.md","p.266","L469"
"WHSO-05-16-05-026","一問一答","原因","宋代の陶磁器輸出で、船による輸送が重要だったのはなぜか？","陶磁器が重く、海上輸送が利用されたため。","輸出品の性質と交易路の発達を関連づける。","","16_中華世界の変容（五代十国〜宋）.md","p.266","L473"
"WHSO-05-16-05-027","一問一答","用語の特定","宋代の海上交易に使われた、中国式の大型外洋船は？","ジャンク。","中国商人が東南アジアやインド洋沿岸へ進出した。","","16_中華世界の変容（五代十国〜宋）.md","p.266","L473"
"WHSO-05-16-05-028","一問一答","用語の特定","陶磁器の交易が盛んになった「海の道」の別名は？","陶磁の道（セラミック＝ロード）。","オアシスの道であるシルクロードと区別する。","","16_中華世界の変容（五代十国〜宋）.md","p.266","L473"
