dataset_label,term_id,importance_rank,difficulty_label,category,term,reading,aliases,era,macro_region,region_detail,display_period,sort_year,question_id,stage,focus,question_type,question,answer,keywords,accepted_answers,answer_note,year_mnemonic,source_name,source_url
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-B01,beginner,主体,identify,220年に曹丕(そうひ)が後漢の献帝から禅譲(ぜんじょう)を受け、洛陽を都として建てた三国の一つは？,魏(ぎ),魏,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-B02,beginner,人物,person,三国時代の魏(ぎ)を建てた人物は？,曹丕(そうひ),曹丕,文帝,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-B03,beginner,場所,place,三国時代の魏(ぎ)の都は？,洛陽,洛陽,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-B04,beginner,時期,time,曹丕(そうひ)が三国時代の魏(ぎ)を建てたのは何年か？,220年,220年,,,220：「ついにおしまい　漢滅ぶ」後漢の滅亡（魏の文帝即位）,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-B05,beginner,内容,content,魏(ぎ)の曹丕(そうひ)が始めた官吏登用制度は？,九品中正(きゅうひんちゅうせい),九品中正,九品官人法,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-B06,beginner,内容,content,邪馬台国(やまたいこく)の卑弥呼(ひみこ)が魏(ぎ)への朝貢で授かった称号は？,親魏倭王(しんぎわおう),親魏倭王,,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-R01,reverse,内容,content,三国時代の魏(ぎ)はどのような王朝か？,220年に**曹丕(そうひ)**が後漢の献帝から禅譲(ぜんじょう)を受け、中国の**華北**に建てた王朝で、都は**洛陽**である。**九品中正(きゅうひんちゅうせい)**を採用し、曹丕の死後には朝貢した卑弥呼(ひみこ)に**親魏倭王(しんぎわおう)**の称号を与えた。,曹丕|華北|洛陽|九品中正|親魏倭王,,,220：「ついにおしまい　漢滅ぶ」後漢の滅亡（魏の文帝即位）,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000097,81,共通テスト基礎,国家・王朝,魏,ぎ,,古代,東アジア,中国・華北と洛陽,220年に成立,220,WH-C03-000097-I01,integrated,統合説明,integrated,「魏(ぎ)」について説明せよ。,220年に**曹丕(そうひ)**が後漢の献帝から禅譲(ぜんじょう)を受け、中国の**華北**に建てた王朝で、都は**洛陽**である。**九品中正(きゅうひんちゅうせい)**を採用し、曹丕の死後には朝貢した卑弥呼(ひみこ)に**親魏倭王(しんぎわおう)**の称号を与えた。,曹丕|華北|洛陽|九品中正|親魏倭王,,,220：「ついにおしまい　漢滅ぶ」後漢の滅亡（魏の文帝即位）,09_古代中国②（漢〜魏晋南北朝時代）.md pp.154〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000098,82,共通テスト基礎,国家・王朝,西晋,せいしん,晋,古代,東アジア,中国・洛陽,280年に統一・316年に滅亡,280,WH-C03-000098-B01,beginner,主体,identify,司馬炎(しばえん)が魏(ぎ)から禅譲(ぜんじょう)を受けて建て、280年に呉(ご)を滅ぼして中国を統一した王朝は？,西晋(せいしん),西晋,晋,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.155〜156,
第3章 古代の東アジア｜第9回 古代中国②（漢〜魏晋南北朝時代）｜3 三国時代〜西晋,WH-C03-000098,82,共通テスト基礎,国家・王朝,西晋,せいしん,晋,古代,東アジア,中国・洛陽,280年に統一・316年に滅亡,280,WH-C03-000098-B02,beginner,人物,person,西晋(せいしん)の建国者は？,司馬炎(しばえん),司馬炎,武帝,,,09_古代中国②（漢〜魏晋南北朝時代）.md pp.155〜156,
